Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
James Patterson,james-patterson-3,/cfb/players/james-patterson-3.html,LB,7,29,34,63,1.0,0.0,1,10,10.0,0,2,0,0,0,1,,Buffalo,2020
Cory Gross Jr.,cory-gross-jr-1,/cfb/players/cory-gross-jr-1.html,S,7,23,19,42,1.0,0.0,1,0,0.0,0,0,0,0,0,0,,Buffalo,2020
Tyree Thompson,tyree-thompson-1,/cfb/players/tyree-thompson-1.html,LB,7,19,13,32,1.5,0.0,0,0,,0,1,0,0,0,0,,Buffalo,2020
Tyrone Hill Jr.,tyrone-hill-jr-1,/cfb/players/tyrone-hill-jr-1.html,,7,17,14,31,0.5,0.0,0,0,,0,6,0,0,1,0,,Buffalo,2020
Malcolm Koonce,malcolm-koonce-1,/cfb/players/malcolm-koonce-1.html,DE,6,16,14,30,6.5,5.0,0,0,,0,2,0,0,0,0,,Buffalo,2020
Tyrone Hill,tyrone-hill-1,/cfb/players/tyrone-hill-1.html,S,6,16,14,30,0.5,0.0,0,0,,0,6,0,0,0,0,,Buffalo,2020
George Wolo,george-wolo-1,/cfb/players/george-wolo-1.html,DT,7,10,18,28,4.5,3.5,0,0,,0,0,0,0,0,2,,Buffalo,2020
Kadofi Wright,kadofi-wright-1,/cfb/players/kadofi-wright-1.html,LB,7,10,14,24,3.0,1.0,1,65,65.0,1,7,0,0,0,0,,Buffalo,2020
Isaiah King,isaiah-king-2,/cfb/players/isaiah-king-2.html,CB,7,18,4,22,0.5,0.0,0,0,,0,1,1,42,1,0,,Buffalo,2020
Tim Terry Jr.,tim-terry-jr-1,/cfb/players/tim-terry-jr-1.html,LB,7,12,9,21,0.0,0.0,0,0,,0,0,1,46,1,0,,Buffalo,2020
Eddie Wilson,eddie-wilson-2,/cfb/players/eddie-wilson-2.html,DT,7,6,15,21,2.0,1.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Roy Baker,roy-baker-1,/cfb/players/roy-baker-1.html,S,7,13,6,19,1.0,0.0,1,0,0.0,0,0,0,0,0,0,,Buffalo,2020
Max Michel,max-michel-1,/cfb/players/max-michel-1.html,DE,7,5,13,18,4.5,3.0,0,0,,0,0,0,0,0,1,,Buffalo,2020
E.J. Brown,ej-brown-1,/cfb/players/ej-brown-1.html,S,6,12,6,18,1.0,0.0,0,0,,0,1,0,0,0,1,,Buffalo,2020
Logic Hudgens,logic-hudgens-1,/cfb/players/logic-hudgens-1.html,S,5,10,3,13,0.0,0.0,0,0,,0,2,0,0,0,0,,Buffalo,2020
Rich Miller,rich-miller-3,/cfb/players/rich-miller-3.html,LB,7,7,6,13,1.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Eric Black,eric-black-1,/cfb/players/eric-black-1.html,DE,7,5,7,12,3.5,3.0,0,0,,0,0,0,0,0,1,,Buffalo,2020
Tyrece Woods Jr.,tyrece-woods-jr-1,/cfb/players/tyrece-woods-jr-1.html,DT,4,3,7,10,3.0,2.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Marcus Fuqua,marcus-fuqua-1,/cfb/players/marcus-fuqua-1.html,S,6,7,2,9,0.0,0.0,1,0,0.0,0,0,0,0,0,0,,Buffalo,2020
Ronald McGee,ronald-mcgee-1,/cfb/players/ronald-mcgee-1.html,DT,4,1,6,7,0.5,0.5,0,0,,0,0,0,0,0,0,,Buffalo,2020
Shaun Dolac,shaun-dolac-1,/cfb/players/shaun-dolac-1.html,LB,7,6,1,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Dom Polizzi,dom-polizzi-1,/cfb/players/dom-polizzi-1.html,DT,6,1,5,6,0.0,0.0,0,0,,0,0,1,0,0,0,,Buffalo,2020
Kyler Laing,kyler-laing-1,/cfb/players/kyler-laing-1.html,DE,6,4,1,5,3.0,2.0,0,0,,0,0,0,0,0,1,,Buffalo,2020
Caleb Tate,caleb-tate-1,/cfb/players/caleb-tate-1.html,LB,7,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Ali Abbas,ali-abbas-1,/cfb/players/ali-abbas-1.html,CB,6,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Aapri Washington,aapri-washington-1,/cfb/players/aapri-washington-1.html,CB,4,3,1,4,0.0,0.0,0,0,,0,2,0,0,0,0,,Buffalo,2020
C.J. Bazile,cj-bazile-1,/cfb/players/cj-bazile-1.html,DE,4,1,3,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Trevor Wilson,trevor-wilson-1,/cfb/players/trevor-wilson-1.html,WR,7,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Frendy Darelus,frendy-darelus-1,/cfb/players/frendy-darelus-1.html,DE,2,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Tajay Ahmed,tajay-ahmed-1,/cfb/players/tajay-ahmed-1.html,RB,3,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Eddie Zinn-Turner,eddie-zinn-turner-1,/cfb/players/eddie-zinn-turner-1.html,DT,1,0,3,3,0.0,0.0,0,0,,0,0,1,0,0,0,,Buffalo,2020
Dylan Powell,dylan-powell-2,/cfb/players/dylan-powell-2.html,S,6,3,0,3,0.0,0.0,0,0,,0,2,0,0,0,0,,Buffalo,2020
Brendan Pyne,brendan-pyne-1,/cfb/players/brendan-pyne-1.html,LB,7,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,1,,Buffalo,2020
Jordan Avissey,jordan-avissey-1,/cfb/players/jordan-avissey-1.html,DT,6,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Nick Zikuski,nick-zikuski-1,/cfb/players/nick-zikuski-1.html,OL,1,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Wankeith Akin Jr.,wankeith-akin-jr-1,/cfb/players/wankeith-akin-jr-1.html,CB,1,1,0,1,1.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Jason McCarthy,jason-mccarthy-1,/cfb/players/jason-mccarthy-1.html,LB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Shemar Hayes,shemar-hayes-1,/cfb/players/shemar-hayes-1.html,CB,1,0,1,1,0.0,0.0,1,34,34.0,0,0,0,0,0,0,,Buffalo,2020
Jovany Ruiz,jovany-ruiz-1,/cfb/players/jovany-ruiz-1.html,WR,7,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Jalen McNair,jalen-mcnair-1,/cfb/players/jalen-mcnair-1.html,S,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Jake Zimmer,jake-zimmer-1,/cfb/players/jake-zimmer-1.html,LB,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Evan Gantley,evan-gantley-1,/cfb/players/evan-gantley-1.html,S,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Dylan McDuffie,dylan-mcduffie-1,/cfb/players/dylan-mcduffie-1.html,RB,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Dominic Johnson,dominic-johnson-1,/cfb/players/dominic-johnson-1.html,WR,7,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Bryce Johnson-Maith,bryce-johnson-maith-1,/cfb/players/bryce-johnson-maith-1.html,DE,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
Alex McNulty,alex-mcnulty-1,/cfb/players/alex-mcnulty-1.html,K,7,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Buffalo,2020
