Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Nick Cook,nick-cook-1,/cfb/players/nick-cook-1.html,LB,12,49,59,108,6.5,2.0,1,1,1.0,0,5,0,0,0,0,,Charlotte,2016
Karrington King,karrington-king-1,/cfb/players/karrington-king-1.html,LB,12,28,45,73,5.0,2.0,0,0,,0,2,0,0,0,0,,Charlotte,2016
Ben DeLuca,ben-deluca-1,/cfb/players/ben-deluca-1.html,DB,12,51,17,68,1.0,0.0,2,0,0.0,0,4,1,59,1,1,,Charlotte,2016
Larry Ogunjobi,larry-ogunjobi-1,/cfb/players/larry-ogunjobi-1.html,DL,12,31,34,65,13.5,3.0,0,0,,0,2,0,0,0,0,,Charlotte,2016
Ed Rolle,ed-rolle-1,/cfb/players/ed-rolle-1.html,DB,12,30,19,49,2.0,0.0,3,24,8.0,0,3,0,0,0,0,,Charlotte,2016
Tyriq Harris,tyriq-harris-1,/cfb/players/tyriq-harris-1.html,LB,11,24,22,46,3.0,2.0,0,0,,0,2,0,0,0,0,,Charlotte,2016
AJ McDonald,aj-mcdonald-1,/cfb/players/aj-mcdonald-1.html,DB,12,28,17,45,1.5,0.0,0,0,,0,0,0,0,0,0,,Charlotte,2016
Daquan Lucas,daquan-lucas-1,/cfb/players/daquan-lucas-1.html,LB,12,22,21,43,3.0,0.0,2,33,16.5,0,3,0,0,0,0,,Charlotte,2016
Kedrick Davis,kedrick-davis-1,/cfb/players/kedrick-davis-1.html,DB,11,28,11,39,1.0,0.0,3,8,2.7,0,7,0,0,0,0,,Charlotte,2016
Anthony Covington,anthony-covington-1,/cfb/players/anthony-covington-1.html,DB,12,20,17,37,0.0,0.0,1,48,48.0,0,10,1,0,1,0,,Charlotte,2016
Brandon Banks,brandon-banks-3,/cfb/players/brandon-banks-3.html,DL,12,14,21,35,3.5,1.0,0,0,,0,0,1,0,0,2,,Charlotte,2016
Jeff Gemmell,jeff-gemmell-1,/cfb/players/jeff-gemmell-1.html,LB,12,12,15,27,0.0,0.0,0,0,,0,0,0,0,0,0,,Charlotte,2016
Alex Duncan,alex-duncan-1,/cfb/players/alex-duncan-1.html,DB,11,16,9,25,0.0,0.0,1,0,0.0,0,2,1,0,0,0,,Charlotte,2016
