Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jaylyin Minor,jaylyin-minor-1,/cfb/players/jaylyin-minor-1.html,LB,12,64,61,125,4.5,1.0,0,0,,0,2,1,0,0,0,,Cincinnati,2017
Perry Young,perry-young-1,/cfb/players/perry-young-1.html,LB,12,56,45,101,9.0,0.0,0,0,,0,3,1,0,0,1,,Cincinnati,2017
Carter Jacobs,carter-jacobs-1,/cfb/players/carter-jacobs-1.html,S,12,59,21,80,0.0,0.0,1,21,21.0,0,4,0,0,0,1,,Cincinnati,2017
Marquise Copeland,marquise-copeland-1,/cfb/players/marquise-copeland-1.html,DE,12,31,32,63,8.0,3.5,0,0,,0,1,0,0,0,0,,Cincinnati,2017
Malik Clements,malik-clements-1,/cfb/players/malik-clements-1.html,S,12,26,34,60,1.0,0.0,1,14,14.0,1,0,0,0,0,0,,Cincinnati,2017
Kevin Mouhon,kevin-mouhon-1,/cfb/players/kevin-mouhon-1.html,DE,12,31,25,56,7.0,2.0,0,0,,0,2,0,0,0,1,,Cincinnati,2017
Linden Stephens,linden-stephens-1,/cfb/players/linden-stephens-1.html,CB,12,31,20,51,0.5,0.0,1,39,39.0,0,8,0,0,0,0,,Cincinnati,2017
Jarell White,jarell-white-1,/cfb/players/jarell-white-1.html,LB,12,17,29,46,2.5,0.5,0,0,,0,1,0,0,0,0,,Cincinnati,2017
Tyrell Gilbert,tyrell-gilbert-1,/cfb/players/tyrell-gilbert-1.html,S,12,30,13,43,3.0,1.0,0,0,,0,2,2,0,0,2,,Cincinnati,2017
Cortez Broughton,cortez-broughton-1,/cfb/players/cortez-broughton-1.html,DT,12,12,22,34,3.5,1.0,0,0,,0,1,1,0,0,0,,Cincinnati,2017
Chris Murphy,chris-murphy-3,/cfb/players/chris-murphy-3.html,S,12,17,10,27,2.0,0.0,0,0,,0,3,1,0,0,0,,Cincinnati,2017
Grant Coleman,grant-coleman-1,/cfb/players/grant-coleman-1.html,CB,12,16,8,24,0.0,0.0,0,0,,0,2,0,0,0,0,,Cincinnati,2017
