Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Wade Woodaz,wade-woodaz-1,/cfb/players/wade-woodaz-1.html,LB,12,43,40,83,10.0,3.0,1,0,0.0,0,5,0,0,0,3,,Clemson,2024
Barrett Carter,barrett-carter-1,/cfb/players/barrett-carter-1.html,LB,14,42,40,82,10.5,3.5,0,0,,0,7,1,0,0,0,,Clemson,2024
Sammy Brown,sammy-brown-3,/cfb/players/sammy-brown-3.html,LB,14,47,33,80,11.5,5.0,0,0,,0,3,0,0,0,0,,Clemson,2024
R.J. Mickens,rj-mickens-1,/cfb/players/rj-mickens-1.html,S,13,44,31,75,6.0,0.0,2,6,3.0,0,7,0,0,0,0,,Clemson,2024
Khalil Barnes,khalil-barnes-1,/cfb/players/khalil-barnes-1.html,S,14,36,25,61,0.5,0.0,4,0,0.0,0,3,0,0,0,0,,Clemson,2024
Avieon Terrell,avieon-terrell-1,/cfb/players/avieon-terrell-1.html,CB,14,45,13,58,4.5,1.0,2,9,4.5,0,12,2,2,0,3,,Clemson,2024
T.J. Parker,tj-parker-1,/cfb/players/tj-parker-1.html,DE,14,35,22,57,19.5,11.0,0,0,,0,1,2,0,0,6,,Clemson,2024
Jeadyn Lukus,jeadyn-lukus-1,/cfb/players/jeadyn-lukus-1.html,CB,14,28,6,34,1.5,0.0,1,0,0.0,0,7,0,0,0,0,,Clemson,2024
Payton Page,payton-page-1,/cfb/players/payton-page-1.html,DT,14,13,19,32,2.5,0.5,1,57,57.0,1,1,0,0,0,0,,Clemson,2024
Peter Woods,peter-woods-1,/cfb/players/peter-woods-1.html,DL,11,18,10,28,8.5,3.0,0,0,,0,0,0,0,0,1,,Clemson,2024
Ashton Hampton,ashton-hampton-2,/cfb/players/ashton-hampton-2.html,CB,14,19,8,27,0.5,0.0,2,53,26.5,1,5,0,0,0,0,,Clemson,2024
Kylon Griffin,kylon-griffin-1,/cfb/players/kylon-griffin-1.html,S,13,18,7,25,0.0,0.0,1,12,12.0,0,2,0,0,0,0,,Clemson,2024
Jahiem Lawson,jahiem-lawson-1,/cfb/players/jahiem-lawson-1.html,DE,14,7,17,24,3.5,1.0,0,0,,0,3,1,0,0,0,,Clemson,2024
Demonte Capehart,demonte-capehart-1,/cfb/players/demonte-capehart-1.html,DT,11,11,10,21,1.5,0.0,0,0,,0,2,0,0,0,0,,Clemson,2024
Ricardo Jones,ricardo-jones-1,/cfb/players/ricardo-jones-1.html,S,12,10,10,20,1.0,1.0,1,0,0.0,0,0,0,0,0,0,,Clemson,2024
Dee Crayton,dee-crayton-1,/cfb/players/dee-crayton-1.html,LB,14,8,11,19,0.5,0.0,0,0,,0,0,0,0,0,0,,Clemson,2024
Cade Denhoff,cade-denhoff-1,/cfb/players/cade-denhoff-1.html,DE,14,9,7,16,3.0,2.0,0,0,,0,0,1,0,0,0,,Clemson,2024
Stephiylan Green,stephiylan-green-1,/cfb/players/stephiylan-green-1.html,DT,12,8,8,16,2.5,1.0,0,0,,0,1,0,0,0,0,,Clemson,2024
Tre Williams,tre-williams-4,/cfb/players/tre-williams-4.html,DT,14,7,7,14,3.0,2.0,0,0,,0,2,2,0,0,0,,Clemson,2024
