Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Shane Johnson,shane-johnson-3,/cfb/players/shane-johnson-3.html,LB,10,45,56,101,6.5,1.0,0,0,,0,1,0,0,0,1,,Coastal Carolina,2017
Fitz Wattley,fitz-wattley-1,/cfb/players/fitz-wattley-1.html,S,12,44,38,82,0.5,0.0,3,82,27.3,0,1,0,0,0,0,,Coastal Carolina,2017
Silas Kelly,silas-kelly-1,/cfb/players/silas-kelly-1.html,LB,11,39,36,75,5.5,1.5,0,0,,0,1,0,0,0,0,,Coastal Carolina,2017
Marcus Williamson,marcus-williamson-2,/cfb/players/marcus-williamson-2.html,DE,11,29,28,57,8.0,4.0,0,0,,0,2,0,0,0,0,,Coastal Carolina,2017
Anthony Chesley,anthony-chesley-1,/cfb/players/anthony-chesley-1.html,CB,12,37,18,55,2.0,0.0,0,0,,0,8,1,50,1,0,,Coastal Carolina,2017
Dontay Hears,dontay-hears-1,/cfb/players/dontay-hears-1.html,CB,12,36,17,53,3.5,0.0,0,0,,0,6,0,0,0,1,,Coastal Carolina,2017
Myles White,myles-white-3,/cfb/players/myles-white-3.html,DL,12,22,31,53,5.5,0.0,0,0,,0,2,1,0,0,0,,Coastal Carolina,2017
Amir Howard,amir-howard-1,/cfb/players/amir-howard-1.html,CB,10,28,23,51,0.0,0.0,0,0,,0,1,0,0,0,1,,Coastal Carolina,2017
Kerron Johnson,kerron-johnson-1,/cfb/players/kerron-johnson-1.html,LB,12,31,19,50,7.5,0.0,0,0,,0,0,0,0,0,0,,Coastal Carolina,2017
Ja'ree Tolbert,jaree-tolbert-1,/cfb/players/jaree-tolbert-1.html,DT,12,11,22,33,3.5,1.5,0,0,,0,0,0,0,0,0,,Coastal Carolina,2017
C.J. Brewer,cj-brewer-2,/cfb/players/cj-brewer-2.html,DT,12,15,18,33,2.5,2.0,0,0,,0,2,0,0,0,2,,Coastal Carolina,2017
Nicholas Clark,nicholas-clark-1,/cfb/players/nicholas-clark-1.html,S,9,14,13,27,0.5,0.0,0,0,,0,0,2,31,1,0,,Coastal Carolina,2017
Preston Carey,preston-carey-1,/cfb/players/preston-carey-1.html,CB,12,17,10,27,2.0,0.0,2,28,14.0,0,10,0,0,0,0,,Coastal Carolina,2017
Jeffrey Gunter,jeffrey-gunter-1,/cfb/players/jeffrey-gunter-1.html,DE,12,11,15,26,3.5,0.0,0,0,,0,0,0,0,0,0,,Coastal Carolina,2017
James Heft,james-heft-1,/cfb/players/james-heft-1.html,LB,11,13,10,23,2.0,1.0,0,0,,0,0,0,0,0,0,,Coastal Carolina,2017
Laqavious Paul,laqavious-paul-1,/cfb/players/laqavious-paul-1.html,LB,9,11,12,23,1.0,0.0,0,0,,0,1,0,0,0,0,,Coastal Carolina,2017
Dwayne Price,dwayne-price-1,/cfb/players/dwayne-price-1.html,DT,11,6,15,21,1.5,0.0,0,0,,0,1,0,0,0,0,,Coastal Carolina,2017
Tarron Jackson,tarron-jackson-1,/cfb/players/tarron-jackson-1.html,DT,8,11,9,20,4.5,3.5,0,0,,0,0,0,0,0,1,,Coastal Carolina,2017
Jave Brown,jave-brown-1,/cfb/players/jave-brown-1.html,S,8,10,7,17,1.0,0.0,0,0,,0,3,0,0,0,0,,Coastal Carolina,2017
Jalin Walker,jalin-walker-1,/cfb/players/jalin-walker-1.html,DL,12,5,7,12,3.0,0.0,0,0,,0,0,1,0,0,1,,Coastal Carolina,2017
Chandler Kryst,chandler-kryst-1,/cfb/players/chandler-kryst-1.html,CB,12,6,5,11,0.0,0.0,0,5,,0,0,1,0,0,1,,Coastal Carolina,2017
Lorenzo D'Angelo,lorenzo-dangelo-1,/cfb/players/lorenzo-dangelo-1.html,TE,12,5,3,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Coastal Carolina,2017
Calvin Smith,calvin-smith-4,/cfb/players/calvin-smith-4.html,S,9,5,3,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Coastal Carolina,2017
Jonathan Clayton,jonathan-clayton-1,/cfb/players/jonathan-clayton-1.html,DT,10,1,6,7,1.0,0.5,0,0,,0,0,0,0,0,0,,Coastal Carolina,2017
