Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Chidobe Awuzie,chidobe-awuzie-1,/cfb/players/chidobe-awuzie-1.html,DB,13,71,13,84,12.0,4.0,2,26,13.0,0,7,0,0,0,1,,Colorado,2015
Rick Gamboa,rick-gamboa-1,/cfb/players/rick-gamboa-1.html,LB,13,53,25,78,1.0,0.0,0,0,,0,3,0,0,0,0,,Colorado,2015
Kenneth Olugbode,kenneth-olugbode-1,/cfb/players/kenneth-olugbode-1.html,LB,11,43,21,64,2.5,0.0,1,60,60.0,1,4,1,0,0,0,,Colorado,2015
Tedric Thompson,tedric-thompson-1,/cfb/players/tedric-thompson-1.html,DB,13,54,9,63,3.5,0.0,3,112,37.3,0,5,0,0,0,0,,Colorado,2015
Jered Bell,jered-bell-1,/cfb/players/jered-bell-1.html,DB,13,33,16,49,1.5,0.0,3,19,6.3,0,2,2,0,0,1,,Colorado,2015
Derek McCartney,derek-mccartney-1,/cfb/players/derek-mccartney-1.html,DL,13,35,14,49,11.5,5.0,1,33,33.0,0,1,0,0,0,1,,Colorado,2015
Jordan Carrell,jordan-carrell-1,/cfb/players/jordan-carrell-1.html,DL,13,30,13,43,7.5,1.0,0,0,,0,0,1,0,0,2,,Colorado,2015
Justin Solis,justin-solis-1,/cfb/players/justin-solis-1.html,DL,13,25,17,42,3.0,3.0,0,0,,0,0,0,0,0,0,,Colorado,2015
Kenneth Crawley,kenneth-crawley-1,/cfb/players/kenneth-crawley-1.html,DB,13,37,3,40,1.5,0.0,1,12,12.0,0,10,1,0,0,0,,Colorado,2015
Ryan Moeller,ryan-moeller-1,/cfb/players/ryan-moeller-1.html,DB,7,32,7,39,1.0,0.0,1,0,0.0,0,2,0,0,0,1,,Colorado,2015
Ahkello Witherspoon,ahkello-witherspoon-1,/cfb/players/ahkello-witherspoon-1.html,DB,13,34,2,36,0.0,0.0,2,0,0.0,0,3,0,0,0,0,,Colorado,2015
Jimmie Gilbert,jimmie-gilbert-1,/cfb/players/jimmie-gilbert-1.html,DL,13,23,5,28,7.0,6.0,0,0,,0,0,0,0,0,1,,Colorado,2015
Samson Kafovalu,samson-kafovalu-1,/cfb/players/samson-kafovalu-1.html,DL,13,15,12,27,5.5,3.0,0,0,,0,0,1,33,1,0,,Colorado,2015
Grant Watanabe,grant-watanabe-1,/cfb/players/grant-watanabe-1.html,LB,6,19,5,24,1.0,1.0,0,0,,0,2,0,0,0,0,,Colorado,2015
Leo Jackson,leo-jackson-1,/cfb/players/leo-jackson-1.html,DL,13,14,10,24,2.0,2.0,0,0,,0,0,0,0,0,2,,Colorado,2015
Isaiah Oliver,isaiah-oliver-1,/cfb/players/isaiah-oliver-1.html,WR,13,19,3,22,0.0,0.0,0,0,,0,6,0,0,0,0,,Colorado,2015
Ryan Severson,ryan-severson-1,/cfb/players/ryan-severson-1.html,LB,9,14,5,19,0.0,0.0,0,0,,0,0,0,0,0,0,,Colorado,2015
Afolabi Laguda,afolabi-laguda-1,/cfb/players/afolabi-laguda-1.html,DB,13,13,4,17,0.0,0.0,0,0,,0,1,0,0,0,0,,Colorado,2015
Jaleel Awini,jaleel-awini-1,/cfb/players/jaleel-awini-1.html,DE,12,16,1,17,0.0,0.0,0,0,,0,0,1,0,0,1,,Colorado,2015
