Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Josh Watson,josh-watson-2,/cfb/players/josh-watson-2.html,LB,13,64,45,109,5.0,2.0,2,3,1.5,0,7,1,0,0,1,,Colorado State,2017
Jordan Fogal,jordan-fogal-1,/cfb/players/jordan-fogal-1.html,S,13,47,24,71,1.0,0.0,2,0,0.0,0,4,0,0,0,0,,Colorado State,2017
Jake Schlager,jake-schlager-1,/cfb/players/jake-schlager-1.html,S,13,40,22,62,1.5,0.0,0,0,,0,1,1,0,0,0,,Colorado State,2017
Max McDonald,max-mcdonald-1,/cfb/players/max-mcdonald-1.html,LB,13,27,30,57,5.0,1.5,0,0,,0,2,1,0,0,1,,Colorado State,2017
Evan Colorito,evan-colorito-1,/cfb/players/evan-colorito-1.html,LB,13,27,18,45,12.0,5.5,0,0,,0,0,0,0,0,2,,Colorado State,2017
Kevin Nutt Jr.,kevin-nutt-jr-1,/cfb/players/kevin-nutt-jr-1.html,CB,13,32,11,43,3.0,0.0,2,0,0.0,0,4,1,0,0,0,,Colorado State,2017
Tre Thomas,tre-thomas-2,/cfb/players/tre-thomas-2.html,LB,13,23,18,41,2.0,1.5,1,44,44.0,1,1,0,0,0,0,,Colorado State,2017
Darnell Thompson,darnell-thompson-1,/cfb/players/darnell-thompson-1.html,DL,13,8,28,36,4.0,0.0,0,0,,0,1,0,0,0,0,,Colorado State,2017
Emmanuel Jones,emmanuel-jones-2,/cfb/players/emmanuel-jones-2.html,LB,12,16,19,35,6.0,2.0,0,0,,0,0,0,0,0,0,,Colorado State,2017
Anthony Hawkins,anthony-hawkins-1,/cfb/players/anthony-hawkins-1.html,CB,13,26,7,33,0.5,0.0,3,18,6.0,0,5,0,0,0,0,,Colorado State,2017
Jamal Hicks,jamal-hicks-1,/cfb/players/jamal-hicks-1.html,S,8,24,9,33,0.0,0.0,2,11,5.5,0,0,0,0,0,1,,Colorado State,2017
Kiel Robinson,kiel-robinson-1,/cfb/players/kiel-robinson-1.html,LB,11,10,21,31,1.5,1.0,0,0,,0,0,0,0,0,0,,Colorado State,2017
Richard King,richard-king-3,/cfb/players/richard-king-3.html,DL,13,9,21,30,5.0,2.5,0,0,,0,1,1,0,0,0,,Colorado State,2017
Shun Johnson,shun-johnson-1,/cfb/players/shun-johnson-1.html,CB,11,24,5,29,1.0,0.0,0,0,,0,9,0,0,0,1,,Colorado State,2017
