Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Koby Quansah,koby-quansah-1,/cfb/players/koby-quansah-1.html,LB,12,42,63,105,12.0,2.5,0,0,,0,3,2,0,0,0,,Duke,2019
Dylan Singleton,dylan-singleton-1,/cfb/players/dylan-singleton-1.html,S,12,47,40,87,4.0,1.0,0,0,,0,1,1,0,0,2,,Duke,2019
Marquis Waters,marquis-waters-1,/cfb/players/marquis-waters-1.html,S,12,47,26,73,2.0,0.0,2,17,8.5,0,7,0,0,0,0,,Duke,2019
Shaka Heyward,shaka-heyward-1,/cfb/players/shaka-heyward-1.html,LB,12,39,29,68,6.5,3.5,1,12,12.0,0,0,2,0,0,0,,Duke,2019
Michael Carter II,michael-carter-ii-1,/cfb/players/michael-carter-ii-1.html,S,12,30,23,53,2.0,0.5,1,0,0.0,0,8,0,0,0,0,,Duke,2019
Brandon Hill,brandon-hill-3,/cfb/players/brandon-hill-3.html,LB,9,22,30,52,4.5,1.0,0,0,,0,3,0,0,0,0,,Duke,2019
Leonard Johnson,leonard-johnson-2,/cfb/players/leonard-johnson-2.html,CB,12,35,13,48,1.5,0.0,2,0,0.0,0,7,1,-5,0,1,,Duke,2019
Chris Rumph II,chris-rumph-ii-1,/cfb/players/chris-rumph-ii-1.html,DE,12,19,28,47,13.5,6.5,0,0,,0,3,0,0,0,1,,Duke,2019
Victor Dimukeje,victor-dimukeje-1,/cfb/players/victor-dimukeje-1.html,DE,12,18,23,41,9.5,8.5,0,0,,0,1,0,0,0,1,,Duke,2019
Trevon McSwain,trevon-mcswain-1,/cfb/players/trevon-mcswain-1.html,DT,12,13,21,34,7.0,4.0,0,0,,0,1,0,0,0,3,,Duke,2019
Tre Hornbuckle,tre-hornbuckle-1,/cfb/players/tre-hornbuckle-1.html,DE,11,15,19,34,5.5,4.0,0,0,,0,0,1,0,0,2,,Duke,2019
Josh Blackwell,josh-blackwell-1,/cfb/players/josh-blackwell-1.html,CB,10,22,7,29,0.0,0.0,0,0,,0,7,0,0,0,0,,Duke,2019
Edgar Cerenord,edgar-cerenord-1,/cfb/players/edgar-cerenord-1.html,DT,12,8,18,26,2.0,1.5,1,17,17.0,0,0,0,0,0,1,,Duke,2019
Derrick Tangelo,derrick-tangelo-1,/cfb/players/derrick-tangelo-1.html,DT,10,11,12,23,2.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Drew Jordan,drew-jordan-1,/cfb/players/drew-jordan-1.html,DE,12,7,11,18,3.5,1.0,0,0,,0,0,0,0,0,0,,Duke,2019
Jalen Alexander,jalen-alexander-3,/cfb/players/jalen-alexander-3.html,CB,12,13,4,17,1.0,0.0,2,42,21.0,0,0,0,0,0,0,,Duke,2019
Lummie Young IV,lummie-young-iv-1,/cfb/players/lummie-young-iv-1.html,S,8,8,8,16,1.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Tahj Rice,tahj-rice-1,/cfb/players/tahj-rice-1.html,DT,6,2,8,10,1.0,0.5,0,0,,0,0,0,0,0,0,,Duke,2019
Ben Frye,ben-frye-1,/cfb/players/ben-frye-1.html,DE,8,3,6,9,1.5,0.5,0,0,,0,0,0,0,0,0,,Duke,2019
Xander Gagnon,xander-gagnon-1,/cfb/players/xander-gagnon-1.html,LB,12,4,4,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Jeremiah Lewis,jeremiah-lewis-1,/cfb/players/jeremiah-lewis-1.html,CB,12,4,3,7,0.0,0.0,0,0,,0,1,0,0,0,0,,Duke,2019
Jacob Morgenstern,jacob-morgenstern-1,/cfb/players/jacob-morgenstern-1.html,LB,11,3,4,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Damani Neal,damani-neal-1,/cfb/players/damani-neal-1.html,S,11,2,4,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Damond Philyaw-Johnson,damond-philyaw-johnson-1,/cfb/players/damond-philyaw-johnson-1.html,WR,11,5,0,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Elijah Brown,elijah-brown-1,/cfb/players/elijah-brown-1.html,DT,6,1,4,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Mataeo Durant,mataeo-durant-1,/cfb/players/mataeo-durant-1.html,RB,12,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
AJ Reed,aj-reed-1,/cfb/players/aj-reed-1.html,K,12,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Rocky Shelton II,rocky-shelton-ii-2,/cfb/players/rocky-shelton-ii-2.html,,11,0,3,3,0.0,0.0,0,0,,0,0,1,0,0,0,,Duke,2019
Rocky Shelton II,rocky-shelton-ii-1,/cfb/players/rocky-shelton-ii-1.html,LB,2,0,3,3,0.0,0.0,0,0,,0,0,1,0,0,0,,Duke,2019
Javon Jackson,javon-jackson-2,/cfb/players/javon-jackson-2.html,S,11,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Noah Gray,noah-gray-1,/cfb/players/noah-gray-1.html,TE,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Sayyid Stevens,sayyid-stevens-1,/cfb/players/sayyid-stevens-1.html,LB,4,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Nate Thompson,nate-thompson-1,/cfb/players/nate-thompson-1.html,S,10,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Mark Birmingham,mark-birmingham-1,/cfb/players/mark-birmingham-1.html,TE,7,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Aaron Young,aaron-young-3,/cfb/players/aaron-young-3.html,WR,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
R.J. Oben,rj-oben-1,/cfb/players/rj-oben-1.html,DE,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
DeWayne Carter,dewayne-carter-2,/cfb/players/dewayne-carter-2.html,DT,3,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Eli Pancol,eli-pancol-1,/cfb/players/eli-pancol-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
Jack Wohlabaugh,jack-wohlabaugh-1,/cfb/players/jack-wohlabaugh-1.html,C,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Duke,2019
