Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Xavier Smith,xavier-smith-7,/cfb/players/xavier-smith-7.html,LB,9,39,33,72,8.0,2.5,0,0,,0,6,1,-3,0,2,,East Carolina,2020
Jireh Wilson,jireh-wilson-1,/cfb/players/jireh-wilson-1.html,DB,9,42,28,70,6.5,3.5,0,0,,0,3,1,39,0,3,,East Carolina,2020
Shawn Dourseau,shawn-dourseau-1,/cfb/players/shawn-dourseau-1.html,DB,9,35,23,58,3.0,0.0,2,5,2.5,0,4,0,0,0,1,,East Carolina,2020
Bruce Bivens,bruce-bivens-1,/cfb/players/bruce-bivens-1.html,LB,8,17,30,47,4.5,0.0,1,0,0.0,0,1,0,0,0,0,,East Carolina,2020
Ja'Quan McMillian,jaquan-mcmillian-1,/cfb/players/jaquan-mcmillian-1.html,DB,9,27,6,33,0.0,0.0,4,31,7.8,0,3,0,0,0,0,,East Carolina,2020
Nolan Johnson,nolan-johnson-1,/cfb/players/nolan-johnson-1.html,DB,9,24,7,31,0.0,0.0,0,0,,0,2,0,0,0,1,,East Carolina,2020
Juan Powell,juan-powell-1,/cfb/players/juan-powell-1.html,DB,5,19,11,30,1.0,0.0,0,0,,0,1,0,0,0,0,,East Carolina,2020
Warren Saba,warren-saba-1,/cfb/players/warren-saba-1.html,DB,8,17,13,30,1.0,1.0,2,45,22.5,1,1,0,0,0,0,,East Carolina,2020
Chris Willis,chris-willis-5,/cfb/players/chris-willis-5.html,DL,8,13,15,28,5.0,2.0,0,0,,0,0,1,0,0,0,,East Carolina,2020
Aaron Ramseur,aaron-ramseur-1,/cfb/players/aaron-ramseur-1.html,LB,8,13,14,27,3.0,1.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Malik Fleming,malik-fleming-1,/cfb/players/malik-fleming-1.html,DB,9,20,5,25,0.0,0.0,1,-1,-1.0,0,2,0,0,0,1,,East Carolina,2020
Rick D'Abreau,rick-dabreau-1,/cfb/players/rick-dabreau-1.html,,9,11,13,24,3.5,1.0,0,0,,0,0,0,0,0,1,,East Carolina,2020
Rick D'Abreu,rick-dabreu-1,/cfb/players/rick-dabreu-1.html,DL,6,11,13,24,3.5,1.0,0,0,,0,0,0,0,0,1,,East Carolina,2020
Damir Faison,damir-faison-1,/cfb/players/damir-faison-1.html,DL,8,4,15,19,1.5,0.0,0,0,,0,1,0,0,0,0,,East Carolina,2020
Elijah Morris,elijah-morris-1,/cfb/players/elijah-morris-1.html,DL,9,11,5,16,0.5,0.0,0,0,,0,0,3,0,0,0,,East Carolina,2020
Immanuel Hickman,immanuel-hickman-1,/cfb/players/immanuel-hickman-1.html,DL,8,5,9,14,0.5,0.0,0,0,,0,0,0,0,0,1,,East Carolina,2020
Robert Kennedy,robert-kennedy-2,/cfb/players/robert-kennedy-2.html,DB,5,8,5,13,0.0,0.0,0,0,,0,3,0,0,0,0,,East Carolina,2020
Chad Stephens,chad-stephens-2,/cfb/players/chad-stephens-2.html,LB,7,7,6,13,2.0,1.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Myles Berry,myles-berry-1,/cfb/players/myles-berry-1.html,LB,9,10,2,12,1.5,1.0,0,0,,0,0,1,0,0,0,,East Carolina,2020
Davondre Robinson,davondre-robinson-1,/cfb/players/davondre-robinson-1.html,DB,4,6,5,11,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Teagan Wilk,teagan-wilk-1,/cfb/players/teagan-wilk-1.html,DB,7,5,5,10,1.5,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
D'Angelo McKinnie,dangelo-mckinnie-1,/cfb/players/dangelo-mckinnie-1.html,DL,9,1,7,8,0.5,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Teylor Jackson,teylor-jackson-1,/cfb/players/teylor-jackson-1.html,LB,9,5,3,8,0.0,0.0,0,0,,0,0,1,0,0,0,,East Carolina,2020
Hozey Haji-Badri,hozey-haji-badri-1,/cfb/players/hozey-haji-badri-1.html,DL,2,3,1,4,1.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Xavier McIver,xavier-mciver-1,/cfb/players/xavier-mciver-1.html,DT,9,1,3,4,0.5,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Damel Hickman,damel-hickman-1,/cfb/players/damel-hickman-1.html,DB,5,4,0,4,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Hozey Haji-Badri,hozey-haji-badri-2,/cfb/players/hozey-haji-badri-2.html,,5,3,1,4,1.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Dre'Shuwn Terry,dreshuwn-terry-1,/cfb/players/dreshuwn-terry-1.html,LB,9,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Jonathan Johnson,jonathan-johnson-4,/cfb/players/jonathan-johnson-4.html,WR,8,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Trace Christian,trace-christian-1,/cfb/players/trace-christian-1.html,RB,8,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Sean Tucker,sean-tucker-1,/cfb/players/sean-tucker-1.html,DB,8,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Alex Angus,alex-angus-1,/cfb/players/alex-angus-1.html,LB,4,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Andre Pegues,andre-pegues-1,/cfb/players/andre-pegues-1.html,WR,6,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Audie Omotosho,audie-omotosho-1,/cfb/players/audie-omotosho-1.html,WR,7,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
David Laney,david-laney-1,/cfb/players/david-laney-1.html,DB,8,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Jonathan Coleman II,jonathan-coleman-ii-1,/cfb/players/jonathan-coleman-ii-1.html,DB,6,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Elijah Robinson,elijah-robinson-3,/cfb/players/elijah-robinson-3.html,DL,1,0,1,1,0.5,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Bailey Malovic,bailey-malovic-1,/cfb/players/bailey-malovic-1.html,OL,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Tyler Snead,tyler-snead-1,/cfb/players/tyler-snead-1.html,WR,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Traveon Freshwater,traveon-freshwater-1,/cfb/players/traveon-freshwater-1.html,DL,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Bobby Hill,bobby-hill-4,/cfb/players/bobby-hill-4.html,,9,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Cam Burnette,cam-burnette-1,/cfb/players/cam-burnette-1.html,WR,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
D'Anta Johnson,danta-johnson-2,/cfb/players/danta-johnson-2.html,DT,2,1,0,1,1.0,1.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Taji Hudson,taji-hudson-1,/cfb/players/taji-hudson-1.html,QB,9,1,0,1,1.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Delvontae Harris,delvontae-harris-1,/cfb/players/delvontae-harris-1.html,LB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Robert Hill,robert-hill-4,/cfb/players/robert-hill-4.html,LS,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Fernando Frye,fernando-frye-1,/cfb/players/fernando-frye-1.html,OL,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Grayson Lewis,grayson-lewis-1,/cfb/players/grayson-lewis-1.html,OL,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Rahjai Harris,rahjai-harris-1,/cfb/players/rahjai-harris-1.html,RB,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Holton Ahlers,holton-ahlers-1,/cfb/players/holton-ahlers-1.html,QB,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Isaiah Foote,isaiah-foote-1,/cfb/players/isaiah-foote-1.html,OL,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Jake Verity,jake-verity-1,/cfb/players/jake-verity-1.html,PK,9,0,1,1,0.5,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Kareem Stinson,kareem-stinson-1,/cfb/players/kareem-stinson-1.html,DL,7,0,1,1,0.5,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Jason Romero,jason-romero-1,/cfb/players/jason-romero-1.html,DL,5,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
Jeremy Lewis,jeremy-lewis-3,/cfb/players/jeremy-lewis-3.html,TE,6,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2020
