Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jason Beck,jason-beck-2,/cfb/players/jason-beck-2.html,LB,12,40,40,80,2.0,0.0,1,0,0.0,0,1,0,5,0,0,,Eastern Michigan,2017
Vince Calhoun,vince-calhoun-1,/cfb/players/vince-calhoun-1.html,DB,11,48,30,78,1.0,0.0,0,0,,0,2,0,0,0,0,,Eastern Michigan,2017
Brody Hoying,brody-hoying-1,/cfb/players/brody-hoying-1.html,DB,11,44,34,78,4.0,1.0,2,106,53.0,1,2,4,40,0,4,,Eastern Michigan,2017
Kyle Rachwal,kyle-rachwal-1,/cfb/players/kyle-rachwal-1.html,LB,12,34,33,67,6.5,1.5,0,0,,0,2,0,0,0,2,,Eastern Michigan,2017
Maxx Crosby,maxx-crosby-1,/cfb/players/maxx-crosby-1.html,DL,12,31,26,57,16.5,11.0,0,0,,0,1,2,14,1,4,,Eastern Michigan,2017
Justin Moody,justin-moody-2,/cfb/players/justin-moody-2.html,DB,12,33,17,50,0.5,0.0,1,11,11.0,0,2,0,0,0,1,,Eastern Michigan,2017
Ike Spearman,ike-spearman-1,/cfb/players/ike-spearman-1.html,LB,12,27,22,49,4.5,1.0,0,0,,0,0,0,0,0,1,,Eastern Michigan,2017
Jeremiah Harris,jeremiah-harris-1,/cfb/players/jeremiah-harris-1.html,DL,11,25,20,45,12.5,6.0,1,-4,-4.0,0,3,1,0,0,2,,Eastern Michigan,2017
Luke Maclean,luke-maclean-1,/cfb/players/luke-maclean-1.html,DL,12,21,22,43,7.0,4.0,0,0,,0,1,0,0,0,0,,Eastern Michigan,2017
Juan Giraldo,juan-giraldo-1,/cfb/players/juan-giraldo-1.html,DB,11,26,10,36,0.0,0.0,1,3,3.0,0,3,0,0,0,0,,Eastern Michigan,2017
Derric Williams,derric-williams-1,/cfb/players/derric-williams-1.html,LB,12,17,9,26,3.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Ross Williams,ross-williams-2,/cfb/players/ross-williams-2.html,DB,12,19,6,25,1.0,0.0,0,0,,0,7,0,0,0,0,,Eastern Michigan,2017
Kevin McGill,kevin-mcgill-1,/cfb/players/kevin-mcgill-1.html,DB,12,17,5,22,1.0,0.0,1,0,0.0,0,7,1,1,0,0,,Eastern Michigan,2017
Jalen Phelps,jalen-phelps-1,/cfb/players/jalen-phelps-1.html,DB,12,10,8,18,0.0,0.0,0,0,,0,2,0,0,0,0,,Eastern Michigan,2017
Clay Holford,clay-holford-1,/cfb/players/clay-holford-1.html,DL,11,7,9,16,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Kwanii Figueroa,kwanii-figueroa-1,/cfb/players/kwanii-figueroa-1.html,DL,11,3,13,16,2.5,1.5,0,0,,0,1,0,0,0,0,,Eastern Michigan,2017
Mathew Sexton,mathew-sexton-1,/cfb/players/mathew-sexton-1.html,WR,12,10,4,14,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Tyler LaBarbera,tyler-labarbera-1,/cfb/players/tyler-labarbera-1.html,DL,11,3,10,13,0.5,0.5,0,0,,0,1,0,0,0,0,,Eastern Michigan,2017
Oddie Granger,oddie-granger-1,/cfb/players/oddie-granger-1.html,DL,12,3,10,13,1.0,0.0,0,0,,0,1,0,0,0,0,,Eastern Michigan,2017
Dion Dawson,dion-dawson-1,/cfb/players/dion-dawson-1.html,DL,10,6,6,12,3.0,0.0,0,0,,0,1,2,3,0,0,,Eastern Michigan,2017
Jaron Johnson,jaron-johnson-1,/cfb/players/jaron-johnson-1.html,WR,12,10,1,11,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Jaylen Pickett,jaylen-pickett-1,/cfb/players/jaylen-pickett-1.html,LB,6,2,6,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Anthony Brown,anthony-brown-10,/cfb/players/anthony-brown-10.html,DB,11,5,3,8,0.0,0.0,0,0,,0,2,0,0,0,0,,Eastern Michigan,2017
Derrick Dunlap,derrick-dunlap-1,/cfb/players/derrick-dunlap-1.html,DL,12,3,5,8,1.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Chris Hendricks,chris-hendricks-1,/cfb/players/chris-hendricks-1.html,DL,12,3,4,7,2.0,1.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Desmond Kelly,desmond-kelly-1,/cfb/players/desmond-kelly-1.html,DL,9,2,5,7,0.5,0.5,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Ville Valasti,ville-valasti-1,/cfb/players/ville-valasti-1.html,DL,6,3,3,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Eddie Daugherty,eddie-daugherty-1,/cfb/players/eddie-daugherty-1.html,WR,12,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Ikie Calderon,ikie-calderon-1,/cfb/players/ikie-calderon-1.html,DB,3,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Jeff Hubbard,jeff-hubbard-1,/cfb/players/jeff-hubbard-1.html,DB,8,2,1,3,0.0,0.0,1,46,46.0,1,0,0,0,0,0,,Eastern Michigan,2017
Terry Myrick,terry-myrick-1,/cfb/players/terry-myrick-1.html,LB,9,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Jesse Kelly,jesse-kelly-1,/cfb/players/jesse-kelly-1.html,K,11,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Freddie McGee,freddie-mcgee-1,/cfb/players/freddie-mcgee-1.html,DB,5,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Justice Williams,justice-williams-3,/cfb/players/justice-williams-3.html,DL,3,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Sergio Bailey,sergio-bailey-1,/cfb/players/sergio-bailey-1.html,WR,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Hunter Andrews,hunter-andrews-1,/cfb/players/hunter-andrews-1.html,DL,8,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Jake Julien,jake-julien-1,/cfb/players/jake-julien-1.html,P,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
Ivan Oraha,ivan-oraha-1,/cfb/players/ivan-oraha-1.html,P,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Eastern Michigan,2017
