Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Levelle Bailey,levelle-bailey-1,/cfb/players/levelle-bailey-1.html,LB,14,54,34,88,5.5,0.0,0,0,,0,7,0,0,0,1,,Fresno State,2022
Evan Williams,evan-williams-3,/cfb/players/evan-williams-3.html,DB,10,54,15,69,6.0,1.0,0,0,,0,4,0,0,0,0,,Fresno State,2022
Malachi Langley,malachi-langley-1,/cfb/players/malachi-langley-1.html,LB,14,40,28,68,3.0,1.0,2,16,8.0,0,2,0,0,0,0,,Fresno State,2022
Morice Norris,morice-norris-1,/cfb/players/morice-norris-1.html,DB,14,36,21,57,8.0,1.0,0,0,,0,6,0,0,0,1,,Fresno State,2022
David Perales,david-perales-1,/cfb/players/david-perales-1.html,DE,14,31,16,47,16.0,11.5,1,21,21.0,0,5,0,0,0,2,,Fresno State,2022
Devo Bridges,devo-bridges-1,/cfb/players/devo-bridges-1.html,DE,14,27,16,43,6.5,2.0,0,0,,0,0,0,0,0,0,,Fresno State,2022
LJ Early,lj-early-1,/cfb/players/lj-early-1.html,DB,13,31,9,40,1.0,0.0,2,3,1.5,0,10,0,0,0,0,,Fresno State,2022
Cameron Lockridge,cameron-lockridge-1,/cfb/players/cameron-lockridge-1.html,DB,13,26,13,39,3.0,1.0,5,101,20.2,1,9,0,0,0,0,,Fresno State,2022
Bralyn Lux,bralyn-lux-1,/cfb/players/bralyn-lux-1.html,DB,8,30,5,35,3.0,2.0,1,0,0.0,0,7,0,0,0,1,,Fresno State,2022
Johnny Hudson Jr.,johnny-hudson-jr-1,/cfb/players/johnny-hudson-jr-1.html,DL,14,11,23,34,5.0,1.5,0,0,,0,1,1,0,0,0,,Fresno State,2022
Elijah Gates,elijah-gates-2,/cfb/players/elijah-gates-2.html,DB,7,26,8,34,1.0,1.0,0,0,,0,2,1,0,0,1,,Fresno State,2022
Cale Sanders,cale-sanders-1,/cfb/players/cale-sanders-1.html,DB,13,27,5,32,1.0,0.0,0,0,,0,6,0,0,0,2,,Fresno State,2022
