Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Trajan Stephens-McQueen,trajan-stephens-mcqueen-1,/cfb/players/trajan-stephens-mcqueen-1.html,LB,13,62,48,110,8.0,2.0,2,4,2.0,0,3,0,0,0,0,,Georgia State,2019
Victor Heyward,victor-heyward-1,/cfb/players/victor-heyward-1.html,LB,13,41,29,70,5.5,2.0,1,1,1.0,0,4,1,0,0,1,,Georgia State,2019
Remy Lazarus,remy-lazarus-1,/cfb/players/remy-lazarus-1.html,S,9,33,20,53,0.5,0.0,1,57,57.0,0,6,1,0,0,1,,Georgia State,2019
Dontae Wilson,dontae-wilson-1,/cfb/players/dontae-wilson-1.html,G,13,22,27,49,7.0,3.0,0,0,,0,0,0,0,0,2,,Georgia State,2019
Cedric Stone,cedric-stone-1,/cfb/players/cedric-stone-1.html,S,13,37,11,48,2.0,0.0,0,0,,0,4,1,0,0,0,,Georgia State,2019
Ed Curney,ed-curney-1,/cfb/players/ed-curney-1.html,LB,7,27,20,47,5.5,3.0,0,0,,0,1,1,0,0,0,,Georgia State,2019
Jaylon Jones,jaylon-jones-2,/cfb/players/jaylon-jones-2.html,CB,9,32,12,44,3.5,0.0,0,0,,0,4,0,0,0,0,,Georgia State,2019
Hardrick Willis,hardrick-willis-1,/cfb/players/hardrick-willis-1.html,DE,11,25,15,40,8.5,4.5,0,0,,0,1,0,0,0,2,,Georgia State,2019
Jhi'Shawn Taylor,jhishawn-taylor-1,/cfb/players/jhishawn-taylor-1.html,LB,13,21,19,40,3.0,1.5,0,0,,0,0,1,0,0,0,,Georgia State,2019
Quavian White,quavian-white-1,/cfb/players/quavian-white-1.html,CB,10,31,7,38,2.0,0.0,2,52,26.0,0,7,0,0,0,0,,Georgia State,2019
Zach Dixon,zach-dixon-1,/cfb/players/zach-dixon-1.html,LB,9,24,13,37,1.0,1.0,0,0,,0,1,0,0,0,0,,Georgia State,2019
Terry Thomas,terry-thomas-4,/cfb/players/terry-thomas-4.html,DE,13,17,17,34,4.5,2.0,0,0,,0,2,1,0,0,0,,Georgia State,2019
Chris Bacon,chris-bacon-1,/cfb/players/chris-bacon-1.html,S,12,18,16,34,3.0,0.0,1,34,34.0,1,1,0,0,0,0,,Georgia State,2019
Evan Jones,evan-jones-2,/cfb/players/evan-jones-2.html,CB,13,21,3,24,1.0,1.0,0,0,,0,1,0,0,0,1,,Georgia State,2019
Tyler Gore,tyler-gore-1,/cfb/players/tyler-gore-1.html,CB,13,16,7,23,0.0,0.0,2,0,0.0,0,3,0,0,0,0,,Georgia State,2019
Keon Carter,keon-carter-1,/cfb/players/keon-carter-1.html,S,9,14,7,21,0.0,0.0,0,0,,0,1,1,0,0,1,,Georgia State,2019
Jordan Veneziale,jordan-veneziale-1,/cfb/players/jordan-veneziale-1.html,LB,12,9,6,15,1.5,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Courtney Williams,courtney-williams-3,/cfb/players/courtney-williams-3.html,S,10,10,4,14,0.0,0.0,0,0,,0,1,0,0,0,0,,Georgia State,2019
TJ Arnold,tj-arnold-1,/cfb/players/tj-arnold-1.html,DE,11,6,7,13,0.5,0.0,0,0,,0,1,0,0,0,0,,Georgia State,2019
Jacorey Crawford,jacorey-crawford-1,/cfb/players/jacorey-crawford-1.html,S,9,8,4,12,0.0,0.0,0,0,,0,1,0,0,0,0,,Georgia State,2019
T.J. Smith,tj-smith-4,/cfb/players/tj-smith-4.html,LB,8,6,6,12,1.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Tre Moore,tre-moore-2,/cfb/players/tre-moore-2.html,DE,13,6,5,11,1.0,1.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Tahji Gilbert,tahji-gilbert-1,/cfb/players/tahji-gilbert-1.html,DL,11,2,8,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Blake Carroll,blake-carroll-1,/cfb/players/blake-carroll-1.html,LB,9,5,3,8,1.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Jalen Wade,jalen-wade-2,/cfb/players/jalen-wade-2.html,DE,13,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Kendrec Grady,kendrec-grady-1,/cfb/players/kendrec-grady-1.html,LB,5,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Khai Anderson,khai-anderson-1,/cfb/players/khai-anderson-1.html,CB,11,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Javonte Lain,javonte-lain-1,/cfb/players/javonte-lain-1.html,DE,13,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Antavious Lane,antavious-lane-1,/cfb/players/antavious-lane-1.html,S,4,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Brandon Wright,brandon-wright-3,/cfb/players/brandon-wright-3.html,PK,13,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Tucker Gregg,tucker-gregg-1,/cfb/players/tucker-gregg-1.html,RB,13,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,1,,Georgia State,2019
Thomas Gore,thomas-gore-1,/cfb/players/thomas-gore-1.html,DL,4,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Devin Gentry,devin-gentry-1,/cfb/players/devin-gentry-1.html,WR,13,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Mario Dungy,mario-dungy-1,/cfb/players/mario-dungy-1.html,DL,1,3,0,3,1.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Josh Ingram,josh-ingram-1,/cfb/players/josh-ingram-1.html,,6,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Nygee Williams-Mitchell,nygee-williams-mitchell-1,/cfb/players/nygee-williams-mitchell-1.html,S,11,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Hunter Atkinson,hunter-atkinson-1,/cfb/players/hunter-atkinson-1.html,T,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Jabari Aiken,jabari-aiken-1,/cfb/players/jabari-aiken-1.html,DB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Jonathan Ifedi,jonathan-ifedi-1,/cfb/players/jonathan-ifedi-1.html,WR,8,1,0,1,0.0,0.0,1,4,4.0,0,0,0,0,0,0,,Georgia State,2019
Jonathan Ifefdi,jonathan-ifefdi-1,/cfb/players/jonathan-ifefdi-1.html,,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Jontrey Hunter,jontrey-hunter-1,/cfb/players/jontrey-hunter-1.html,LB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Jordan Strachan,jordan-strachan-1,/cfb/players/jordan-strachan-1.html,LB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Cadarrius Thompson,cadarrius-thompson-1,/cfb/players/cadarrius-thompson-1.html,WR,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Akeem Smith,akeem-smith-1,/cfb/players/akeem-smith-1.html,,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Malik Sumter,malik-sumter-1,/cfb/players/malik-sumter-1.html,C,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Marcus Anderson,marcus-anderson-6,/cfb/players/marcus-anderson-6.html,LB,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Shamarious Gilmore,shamarious-gilmore-1,/cfb/players/shamarious-gilmore-1.html,G,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
Dawson Hill,dawson-hill-1,/cfb/players/dawson-hill-1.html,RB,3,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia State,2019
