Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Del'Shawn Phillips,delshawn-phillips-1,/cfb/players/delshawn-phillips-1.html,LB,11,46,39,85,4.0,1.0,0,0,,0,2,0,0,0,0,,Illinois,2017
Stanley Green,stanley-green-2,/cfb/players/stanley-green-2.html,DB,10,37,33,70,0.0,0.0,1,19,19.0,0,1,1,5,0,3,,Illinois,2017
Patrick Nelson,patrick-nelson-2,/cfb/players/patrick-nelson-2.html,DB,10,32,33,65,2.5,0.0,0,0,,0,2,1,23,0,2,,Illinois,2017
Tre Watson,tre-watson-3,/cfb/players/tre-watson-3.html,LB,9,36,29,65,4.5,1.5,1,21,21.0,0,2,1,34,0,0,,Illinois,2017
Bennett Williams,bennett-williams-1,/cfb/players/bennett-williams-1.html,DB,11,34,30,64,1.5,0.0,3,55,18.3,0,2,0,0,0,1,,Illinois,2017
Bobby Roundtree,bobby-roundtree-1,/cfb/players/bobby-roundtree-1.html,DL,12,28,22,50,4.0,4.0,0,0,,0,3,0,0,0,1,,Illinois,2017
Nate Hobbs,nate-hobbs-1,/cfb/players/nate-hobbs-1.html,DB,12,31,17,48,2.0,1.0,0,0,,0,2,0,0,0,1,,Illinois,2017
Cameron Watkins,cameron-watkins-1,/cfb/players/cameron-watkins-1.html,DB,12,24,15,39,3.5,0.0,1,0,0.0,0,3,0,0,0,1,,Illinois,2017
Tymir Oliver,tymir-oliver-1,/cfb/players/tymir-oliver-1.html,DL,12,19,14,33,4.5,3.0,0,0,,0,2,0,0,0,0,,Illinois,2017
Dele Harding,dele-harding-1,/cfb/players/dele-harding-1.html,LB,8,17,15,32,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Tito Odenigbo,tito-odenigbo-1,/cfb/players/tito-odenigbo-1.html,DL,10,10,19,29,3.5,1.0,0,0,,0,2,0,0,0,0,,Illinois,2017
Julian Jones,julian-jones-4,/cfb/players/julian-jones-4.html,LB,7,16,13,29,1.0,0.0,1,10,10.0,1,0,1,0,0,0,,Illinois,2017
Jaylen Dunlap,jaylen-dunlap-1,/cfb/players/jaylen-dunlap-1.html,DB,10,19,10,29,0.5,0.0,1,0,0.0,0,5,0,0,0,1,,Illinois,2017
James Crawford,james-crawford-3,/cfb/players/james-crawford-3.html,DL,9,16,10,26,5.5,4.0,0,0,,0,4,2,0,0,3,,Illinois,2017
Jamal Woods,jamal-woods-1,/cfb/players/jamal-woods-1.html,DL,11,12,12,24,3.5,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Jamal Milan,jamal-milan-1,/cfb/players/jamal-milan-1.html,DL,10,11,12,23,1.5,0.0,0,0,,0,0,2,0,0,0,,Illinois,2017
Kenyon Jackson,kenyon-jackson-1,/cfb/players/kenyon-jackson-1.html,DL,11,7,15,22,2.0,1.5,0,0,,0,1,0,0,0,0,,Illinois,2017
Isaiah Gay,isaiah-gay-1,/cfb/players/isaiah-gay-1.html,DL,12,12,8,20,4.0,1.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Jimmy Marchese,jimmy-marchese-1,/cfb/players/jimmy-marchese-1.html,LB,12,7,11,18,1.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Ayo Shogbonyo,ayo-shogbonyo-1,/cfb/players/ayo-shogbonyo-1.html,LB,12,7,9,16,1.0,0.0,0,0,,0,1,0,0,0,1,,Illinois,2017
Chris James,chris-james-10,/cfb/players/chris-james-10.html,DB,9,10,4,14,0.5,0.0,0,0,,0,2,0,0,0,0,,Illinois,2017
Harvey Clayton,harvey-clayton-2,/cfb/players/harvey-clayton-2.html,DB,12,6,7,13,0.5,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Dawson DeGroot,dawson-degroot-1,/cfb/players/dawson-degroot-1.html,DB,7,4,9,13,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Christian Abercrombie,christian-abercrombie-1,/cfb/players/christian-abercrombie-1.html,DL,11,6,5,11,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Sean Adesanya,sean-adesanya-1,/cfb/players/sean-adesanya-1.html,DL,7,7,3,10,1.0,1.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Ahmari Hayes,ahmari-hayes-1,/cfb/players/ahmari-hayes-1.html,DB,11,6,3,9,0.0,0.0,0,0,,0,1,1,54,1,1,,Illinois,2017
Justice Williams,justice-williams-1,/cfb/players/justice-williams-1.html,LB,11,4,5,9,0.0,0.0,0,0,,0,1,0,0,0,0,,Illinois,2017
Tony Adams,tony-adams-6,/cfb/players/tony-adams-6.html,DB,5,4,4,8,1.0,1.0,1,0,0.0,0,0,0,0,0,0,,Illinois,2017
Owen Carney Jr.,owen-carney-jr-1,/cfb/players/owen-carney-jr-1.html,DL,10,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Evan Jones,evan-jones-2,/cfb/players/evan-jones-2.html,DB,2,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Marc Mondesir,marc-mondesir-1,/cfb/players/marc-mondesir-1.html,LB,11,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
James Knight,james-knight-1,/cfb/players/james-knight-1.html,LB,12,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Caleb Reams,caleb-reams-1,/cfb/players/caleb-reams-1.html,TE,11,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,1,,Illinois,2017
Christian Bobak,christian-bobak-1,/cfb/players/christian-bobak-1.html,RB,12,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
Malik Turner,malik-turner-1,/cfb/players/malik-turner-1.html,WR,10,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2017
