Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Matt Bahr,matt-bahr-3,/cfb/players/matt-bahr-3.html,LB,12,50,41,91,7.5,3.0,1,13,13.0,0,2,0,0,0,1,,Kent State,2018
Keith Sherald Jr.,keith-sherald-1,/cfb/players/keith-sherald-1.html,CB,12,61,29,90,4.5,3.0,0,0,,0,6,1,7,0,2,,Kent State,2018
Jamal Parker,jamal-parker-1,/cfb/players/jamal-parker-1.html,CB,12,52,31,83,1.0,0.0,2,20,10.0,0,7,1,16,1,0,,Kent State,2018
Dalton Hicks,dalton-hicks-1,/cfb/players/dalton-hicks-1.html,LB,12,37,31,68,1.5,0.0,0,0,,0,1,1,-1,0,0,,Kent State,2018
Cepeda Phillips,cepeda-phillips-1,/cfb/players/cepeda-phillips-1.html,LB,12,32,18,50,3.0,0.0,0,0,,0,0,2,0,0,1,,Kent State,2018
Jim Jones,jim-jones-5,/cfb/players/jim-jones-5.html,LB,10,25,22,47,1.0,1.0,0,0,,0,1,1,0,0,1,,Kent State,2018
Kalil Morris,kalil-morris-1,/cfb/players/kalil-morris-1.html,NT,12,29,18,47,6.0,2.0,0,0,,0,0,0,0,0,0,,Kent State,2018
Jordan Silva,jordan-silva-2,/cfb/players/jordan-silva-2.html,DL,12,27,18,45,3.0,2.0,0,0,,0,1,1,0,0,1,,Kent State,2018
Elvis Hines,elvis-hines-1,/cfb/players/elvis-hines-1.html,S,11,31,10,41,2.0,1.0,1,26,26.0,0,7,0,0,0,0,,Kent State,2018
Darryl Marshall,darryl-marshall-1,/cfb/players/darryl-marshall-1.html,CB,12,32,8,40,1.0,1.0,1,0,0.0,0,5,0,0,0,1,,Kent State,2018
Kesean Gamble,kesean-gamble-1,/cfb/players/kesean-gamble-1.html,LB,12,30,9,39,2.0,0.0,1,0,0.0,0,0,0,0,0,0,,Kent State,2018
Nick Faulkner,nick-faulkner-1,/cfb/players/nick-faulkner-1.html,DE,12,17,19,36,5.0,1.0,1,8,8.0,0,1,0,0,0,0,,Kent State,2018
Theodore Eboigbe,theodore-eboigbe-1,/cfb/players/theodore-eboigbe-1.html,DE,12,14,16,30,3.0,2.0,0,0,,0,1,1,0,0,1,,Kent State,2018
Theo Majette,theo-majette-1,/cfb/players/theo-majette-1.html,DL,12,18,6,24,5.5,4.5,0,0,,0,0,0,0,0,1,,Kent State,2018
Miles Daniel,miles-daniel-1,/cfb/players/miles-daniel-1.html,CB,12,13,7,20,1.0,0.0,1,0,0.0,0,1,0,0,0,0,,Kent State,2018
Dominic Hill,dominic-hill-1,/cfb/players/dominic-hill-1.html,NT,10,9,6,15,1.0,1.0,0,0,,0,0,0,0,0,0,,Kent State,2018
Juantez McRae,juantez-mcrae-1,/cfb/players/juantez-mcrae-1.html,S,4,8,4,12,0.0,0.0,1,15,15.0,0,0,0,0,0,0,,Kent State,2018
Akeam Peters,akeam-peters-1,/cfb/players/akeam-peters-1.html,S,5,8,1,9,0.0,0.0,0,0,,0,2,0,0,0,0,,Kent State,2018
Jordan Robinson,jordan-robinson-1,/cfb/players/jordan-robinson-1.html,,3,5,3,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2018
Jeremiah Salaam,jeremiah-salaam-1,/cfb/players/jeremiah-salaam-1.html,CB,7,5,2,7,1.0,0.0,0,0,,0,1,0,0,0,0,,Kent State,2018
Quan Robinson,quan-robinson-1,/cfb/players/quan-robinson-1.html,CB,3,3,3,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2018
