Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Devin White,devin-white-1,/cfb/players/devin-white-1.html,LB,13,62,61,123,12.0,3.0,0,0,,0,6,2,29,0,3,AA,LSU,2018
Jacob Phillips,jacob-phillips-1,/cfb/players/jacob-phillips-1.html,LB,12,32,55,87,5.5,1.0,1,45,45.0,1,3,0,0,0,0,,LSU,2018
Grant Delpit,grant-delpit-1,/cfb/players/grant-delpit-1.html,S,13,46,28,74,9.5,5.0,5,1,0.2,0,9,1,0,0,1,AA,LSU,2018
Rashard Lawrence,rashard-lawrence-1,/cfb/players/rashard-lawrence-1.html,DE,13,23,31,54,10.5,4.0,0,0,,0,3,0,0,0,0,,LSU,2018
Michael Divinity Jr.,michael-divinity-jr-1,/cfb/players/michael-divinity-jr-1.html,LB,12,20,34,54,10.5,5.0,1,31,31.0,0,2,2,58,1,1,,LSU,2018
Glen Logan,glen-logan-1,/cfb/players/glen-logan-1.html,DE,13,10,36,46,4.5,4.0,0,0,,0,1,0,0,0,0,,LSU,2018
Patrick Queen,patrick-queen-1,/cfb/players/patrick-queen-1.html,LB,13,20,20,40,5.0,1.0,0,0,,0,0,0,0,0,0,,LSU,2018
John Battle,john-battle-1,/cfb/players/john-battle-1.html,S,10,13,26,39,0.0,0.0,3,29,9.7,0,2,0,0,0,0,,LSU,2018
JaCoby Stevens,jacoby-stevens-1,/cfb/players/jacoby-stevens-1.html,S,11,19,16,35,6.5,1.5,1,1,1.0,0,5,1,64,0,0,,LSU,2018
Greedy Williams,greedy-williams-1,/cfb/players/greedy-williams-1.html,CB,12,23,10,33,0.0,0.0,2,20,10.0,0,9,0,0,0,0,AA,LSU,2018
Todd Harris Jr.,todd-harris-jr-1,/cfb/players/todd-harris-jr-1.html,S,11,19,12,31,0.0,0.0,1,0,0.0,0,3,0,0,0,0,,LSU,2018
