Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Solomon Ajayi,solomon-ajayi-1,/cfb/players/solomon-ajayi-1.html,LB,13,47,47,94,5.5,1.0,0,0,,0,0,0,0,0,1,,Liberty,2019
Elijah Benton,elijah-benton-1,/cfb/players/elijah-benton-1.html,S,12,50,35,85,2.5,1.0,1,23,23.0,0,7,0,0,0,1,,Liberty,2019
Jessie Lemonier,jessie-lemonier-1,/cfb/players/jessie-lemonier-1.html,DL,13,43,37,80,15.5,10.5,0,0,,0,0,0,0,0,1,,Liberty,2019
Ralfs Rusins,ralfs-rusins-1,/cfb/players/ralfs-rusins-1.html,DL,13,15,45,60,6.5,2.0,0,0,,0,0,0,0,0,0,,Liberty,2019
Javon Scruggs,javon-scruggs-1,/cfb/players/javon-scruggs-1.html,CB,12,32,26,58,4.5,0.5,2,72,36.0,0,3,1,29,0,0,,Liberty,2019
Ceneca Espinoza Jr.,ceneca-espinoza-jr-1,/cfb/players/ceneca-espinoza-jr-1.html,S,11,31,13,44,2.5,1.5,2,45,22.5,1,2,1,0,0,1,,Liberty,2019
TreShaun Clark,treshaun-clark-1,/cfb/players/treshaun-clark-1.html,DL,13,24,14,38,7.5,4.5,0,0,,0,0,0,0,0,1,,Liberty,2019
Brandon Tillmon,brandon-tillmon-1,/cfb/players/brandon-tillmon-1.html,LB,10,21,17,38,2.0,1.0,1,5,5.0,0,0,0,0,0,0,,Liberty,2019
Kei'Trel Clark,keitrel-clark-1,/cfb/players/keitrel-clark-1.html,CB,13,33,5,38,3.0,1.0,0,0,,0,6,0,0,0,0,,Liberty,2019
Austin Lewis,austin-lewis-2,/cfb/players/austin-lewis-2.html,DL,10,15,18,33,5.5,1.5,0,0,,0,1,0,0,0,1,,Liberty,2019
Austin Lewis,austin-lewis-3,/cfb/players/austin-lewis-3.html,,12,15,18,33,5.5,1.5,0,0,,0,1,0,0,0,1,,Liberty,2019
Vincent Elefante,vincent-elefante-1,/cfb/players/vincent-elefante-1.html,DL,13,8,21,29,2.5,0.5,0,0,,0,0,0,0,0,0,,Liberty,2019
Tyren Dupree,tyren-dupree-1,/cfb/players/tyren-dupree-1.html,LB,12,13,16,29,2.0,2.0,0,0,,0,0,1,0,0,2,,Liberty,2019
Amarii Jenkins,amarii-jenkins-1,/cfb/players/amarii-jenkins-1.html,LB,13,15,12,27,1.0,1.0,0,0,,0,1,0,0,0,0,,Liberty,2019
Waylen Cozad,waylen-cozad-1,/cfb/players/waylen-cozad-1.html,LB,11,11,14,25,0.5,0.0,0,0,,0,0,0,0,0,0,,Liberty,2019
Isaac Steele,isaac-steele-2,/cfb/players/isaac-steele-2.html,S,9,16,8,24,0.5,0.0,1,0,0.0,0,2,0,0,0,0,,Liberty,2019
Tayvion Land,tayvion-land-1,/cfb/players/tayvion-land-1.html,CB,11,11,12,23,0.5,0.0,0,0,,0,0,0,0,0,1,,Liberty,2019
Elijah James,elijah-james-1,/cfb/players/elijah-james-1.html,DT,12,7,12,19,1.5,0.0,0,0,,0,0,0,0,0,0,,Liberty,2019
Benjamin Alexander,benjamin-alexander-1,/cfb/players/benjamin-alexander-1.html,S,11,9,10,19,1.0,0.0,0,0,,0,2,0,0,0,0,,Liberty,2019
Bejour Wilson,bejour-wilson-1,/cfb/players/bejour-wilson-1.html,CB,10,11,7,18,1.5,0.0,3,-1,-0.3,0,3,1,0,0,0,,Liberty,2019
Rion Davis,rion-davis-1,/cfb/players/rion-davis-1.html,S,11,11,6,17,1.0,1.0,0,0,,0,1,1,0,0,1,,Liberty,2019
Jimmy Faulks,jimmy-faulks-1,/cfb/players/jimmy-faulks-1.html,CB,13,9,8,17,0.0,0.0,1,0,0.0,0,1,0,0,0,0,,Liberty,2019
Chris Megginson,chris-megginson-1,/cfb/players/chris-megginson-1.html,S,12,10,4,14,0.0,0.0,0,0,,0,2,0,0,0,0,,Liberty,2019
Jayod Sanders,jayod-sanders-1,/cfb/players/jayod-sanders-1.html,DL,11,7,7,14,6.0,4.5,0,0,,0,1,0,0,0,0,,Liberty,2019
Micah Glaize,micah-glaize-1,/cfb/players/micah-glaize-1.html,S,11,8,3,11,0.0,0.0,0,0,,0,1,0,0,0,0,,Liberty,2019
Emanuel Dabney,emanuel-dabney-1,/cfb/players/emanuel-dabney-1.html,CB,9,8,3,11,0.5,0.0,0,0,,0,2,0,0,0,0,,Liberty,2019
Isaiah Avery,isaiah-avery-1,/cfb/players/isaiah-avery-1.html,CB,9,9,1,10,0.0,0.0,0,0,,0,1,0,0,0,0,,Liberty,2019
Devin Pearson,devin-pearson-2,/cfb/players/devin-pearson-2.html,DL,8,3,6,9,0.0,0.0,0,0,,0,0,0,0,0,0,,Liberty,2019
Elisha Mitchell,elisha-mitchell-1,/cfb/players/elisha-mitchell-1.html,DL,11,5,4,9,1.5,0.5,0,0,,0,0,0,0,0,0,,Liberty,2019
