Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Tre'Maine Lightfoot,tremaine-lightfoot-1,/cfb/players/tremaine-lightfoot-1.html,LB,13,47,54,101,7.0,2.0,0,0,,0,1,0,0,0,3,,Louisiana,2016
Otha Peters,otha-peters-1,/cfb/players/otha-peters-1.html,LB,13,47,47,94,11.0,2.0,0,0,,0,3,2,44,1,1,,Louisiana,2016
Travis Crawford,travis-crawford-2,/cfb/players/travis-crawford-2.html,DB,12,43,28,71,1.0,0.0,1,53,53.0,0,2,1,0,0,0,,Louisiana,2016
Tracy Walker,tracy-walker-1,/cfb/players/tracy-walker-1.html,DB,13,30,31,61,2.5,0.0,3,41,13.7,0,3,1,0,0,0,,Louisiana,2016
Damar'ren Mitchell,damarren-mitchell-1,/cfb/players/damarren-mitchell-1.html,DB,13,22,30,52,3.0,0.0,0,0,,0,2,0,0,0,0,,Louisiana,2016
Joe Dillon,joe-dillon-2,/cfb/players/joe-dillon-2.html,LB,13,28,23,51,12.5,7.0,0,0,,0,0,0,0,0,1,,Louisiana,2016
Christian Goodlett,christian-goodlett-1,/cfb/players/christian-goodlett-1.html,DB,12,31,18,49,1.0,0.0,0,0,,0,3,0,0,0,0,,Louisiana,2016
Simeon Thomas,simeon-thomas-1,/cfb/players/simeon-thomas-1.html,DB,13,24,16,40,0.0,0.0,2,0,0.0,0,5,1,0,0,1,,Louisiana,2016
Karmichael Dunbar,karmichael-dunbar-1,/cfb/players/karmichael-dunbar-1.html,DL,13,18,22,40,4.0,2.0,0,0,,0,2,0,0,0,2,,Louisiana,2016
Taboris Lee,taboris-lee-1,/cfb/players/taboris-lee-1.html,DL,13,21,18,39,5.5,2.0,1,17,17.0,1,1,0,0,0,0,,Louisiana,2016
Denarius Howard,denarius-howard-1,/cfb/players/denarius-howard-1.html,DB,13,23,9,32,1.0,0.0,1,0,0.0,0,1,1,0,0,1,,Louisiana,2016
Reginald Miles Jr.,reginald-miles-jr-1,/cfb/players/reginald-miles-jr-1.html,S,13,20,10,30,2.0,0.0,0,0,,0,0,0,0,0,1,,Louisiana,2016
Kevon Perry,kevon-perry-1,/cfb/players/kevon-perry-1.html,DL,13,16,11,27,6.0,2.5,0,0,,0,3,0,0,0,1,,Louisiana,2016
Trey Granier,trey-granier-1,/cfb/players/trey-granier-1.html,LB,11,10,14,24,1.0,1.0,1,9,9.0,0,0,0,0,0,0,,Louisiana,2016
Jarvis Jeffries,jarvis-jeffries-1,/cfb/players/jarvis-jeffries-1.html,DL,13,13,10,23,1.5,0.5,0,0,,0,1,1,0,0,0,,Louisiana,2016
Roderick Stephens,roderick-stephens-1,/cfb/players/roderick-stephens-1.html,DL,13,7,13,20,1.5,0.0,0,0,,0,0,0,0,0,1,,Louisiana,2016
Levarious Varnado,levarious-varnado-1,/cfb/players/levarious-varnado-1.html,DB,13,11,7,18,0.5,0.0,0,0,,0,1,0,0,0,0,,Louisiana,2016
Mario Osborne,mario-osborne-1,/cfb/players/mario-osborne-1.html,DL,8,10,7,17,3.0,1.0,0,0,,0,2,0,0,0,0,,Louisiana,2016
T.J. Posey,tj-posey-1,/cfb/players/tj-posey-1.html,LB,13,8,6,14,1.5,0.5,0,0,,0,0,0,0,0,0,,Louisiana,2016
Savion Brown,savion-brown-1,/cfb/players/savion-brown-1.html,DB,9,7,6,13,1.5,1.0,1,0,0.0,0,4,0,0,0,1,,Louisiana,2016
Troy McCollum,troy-mccollum-1,/cfb/players/troy-mccollum-1.html,DB,11,5,6,11,0.5,0.0,0,0,,0,2,0,0,0,0,,Louisiana,2016
Dominick Jones,dominick-jones-1,/cfb/players/dominick-jones-1.html,DB,11,7,4,11,0.0,0.0,0,0,,0,1,0,0,0,0,,Louisiana,2016
