Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Tavante Beckett,tavante-beckett-1,/cfb/players/tavante-beckett-1.html,LB,9,31,59,90,7.5,2.5,0,0,,0,1,4,46,1,2,,Marshall,2020
Eli Neal,eli-neal-1,/cfb/players/eli-neal-1.html,LB,10,19,56,75,5.0,1.5,1,11,11.0,0,1,1,0,0,0,,Marshall,2020
Darius Hodge,darius-hodge-1,/cfb/players/darius-hodge-1.html,DL,10,19,44,63,9.0,6.5,0,0,,0,1,1,18,0,1,,Marshall,2020
Nazeeh Johnson,nazeeh-johnson-1,/cfb/players/nazeeh-johnson-1.html,S,8,29,30,59,0.0,0.0,2,-7,-3.5,0,2,2,0,0,1,,Marshall,2020
Abraham Beauplan,abraham-beauplan-1,/cfb/players/abraham-beauplan-1.html,LB,10,16,39,55,5.5,0.0,0,0,,0,0,0,0,0,3,,Marshall,2020
Brandon Drayton,brandon-drayton-1,/cfb/players/brandon-drayton-1.html,S,8,19,26,45,1.0,1.0,1,0,0.0,0,1,0,0,0,1,,Marshall,2020
Derrek Pitts,derrek-pitts-1,/cfb/players/derrek-pitts-1.html,S,9,18,24,42,1.5,0.0,0,0,,0,3,0,0,0,0,,Marshall,2020
Steven Gilmore,steven-gilmore-1,/cfb/players/steven-gilmore-1.html,DB,10,25,14,39,1.5,1.5,1,0,0.0,0,12,0,0,0,2,,Marshall,2020
Jaylon McClain-Sapp,jaylon-mcclain-sapp-1,/cfb/players/jaylon-mcclain-sapp-1.html,DB,10,23,8,31,0.5,0.0,0,0,,0,6,0,0,0,0,,Marshall,2020
Jamare Edwards,jamare-edwards-1,/cfb/players/jamare-edwards-1.html,DL,10,5,25,30,3.5,2.0,0,0,,0,1,0,0,0,1,,Marshall,2020
Koby Cumberlander,koby-cumberlander-1,/cfb/players/koby-cumberlander-1.html,DL,9,8,20,28,3.0,3.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Rodney Croom,rodney-croom-1,/cfb/players/rodney-croom-1.html,DL,10,2,24,26,1.5,1.5,0,0,,0,0,0,0,0,0,,Marshall,2020
Joshua Bowers,joshua-bowers-1,/cfb/players/joshua-bowers-1.html,DB,10,12,10,22,0.0,0.0,0,0,,0,1,1,0,0,0,,Marshall,2020
Immanuel Bush,immanuel-bush-1,/cfb/players/immanuel-bush-1.html,DL,10,3,15,18,2.5,2.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Brian Cavicante,brian-cavicante-1,/cfb/players/brian-cavicante-1.html,LB,10,7,10,17,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Naquan Renalds,naquan-renalds-1,/cfb/players/naquan-renalds-1.html,S,7,10,6,16,0.0,0.0,0,0,,0,1,0,0,0,0,,Marshall,2020
TJ Johnson,tj-johnson-3,/cfb/players/tj-johnson-3.html,DL,10,6,9,15,3.5,1.0,0,0,,0,0,0,0,0,1,,Marshall,2020
Owen Porter,owen-porter-1,/cfb/players/owen-porter-1.html,DL,10,3,11,14,2.0,0.5,0,0,,0,1,0,0,0,0,,Marshall,2020
Charlie Gray,charlie-gray-1,/cfb/players/charlie-gray-1.html,DL,10,5,8,13,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Sam Burton,sam-burton-1,/cfb/players/sam-burton-1.html,DL,5,2,7,9,1.5,1.5,0,0,,0,0,0,0,0,0,,Marshall,2020
Esaias Carpenter,esaias-carpenter-1,/cfb/players/esaias-carpenter-1.html,DL,9,0,9,9,0.5,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Micah Abraham,micah-abraham-1,/cfb/players/micah-abraham-1.html,DB,10,6,3,9,0.0,0.0,0,0,,0,1,0,0,0,1,,Marshall,2020
E.J. Jackson,ej-jackson-1,/cfb/players/ej-jackson-1.html,S,9,2,5,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Elijah Alston,elijah-alston-1,/cfb/players/elijah-alston-1.html,DL,4,1,5,6,0.5,0.5,0,0,,0,0,0,0,0,0,,Marshall,2020
Stone Scarcelle,stone-scarcelle-1,/cfb/players/stone-scarcelle-1.html,WR,9,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Kerion Martin,kerion-martin-1,/cfb/players/kerion-martin-1.html,S,4,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
J'coryan Anderson,jcoryan-anderson-1,/cfb/players/jcoryan-anderson-1.html,LB,8,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Jayshaun Coffman,jayshaun-coffman-1,/cfb/players/jayshaun-coffman-1.html,DL,4,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Charles Bell,charles-bell-2,/cfb/players/charles-bell-2.html,DB,5,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Daniel Foster,daniel-foster-2,/cfb/players/daniel-foster-2.html,DL,8,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Sheldon Evans,sheldon-evans-1,/cfb/players/sheldon-evans-1.html,RB,9,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Jojo Evans,jojo-evans-1,/cfb/players/jojo-evans-1.html,S,4,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Kyron Taylor,kyron-taylor-1,/cfb/players/kyron-taylor-1.html,DL,4,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Lawrence Papillon,lawrence-papillon-1,/cfb/players/lawrence-papillon-1.html,RB,6,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Rasheen Ali,rasheen-ali-1,/cfb/players/rasheen-ali-1.html,RB,6,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Kentreaz Coston,kentreaz-coston-1,/cfb/players/kentreaz-coston-1.html,DB,2,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Grant Wells,grant-wells-1,/cfb/players/grant-wells-1.html,QB,10,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Devin Miller,devin-miller-1,/cfb/players/devin-miller-1.html,TE,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Corey Gammage,corey-gammage-1,/cfb/players/corey-gammage-1.html,WR,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Cameron Shirkey,cameron-shirkey-1,/cfb/players/cameron-shirkey-1.html,K,8,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Brenden Knox,brenden-knox-1,/cfb/players/brenden-knox-1.html,RB,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Willie Johnson,willie-johnson-5,/cfb/players/willie-johnson-5.html,WR,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Xavier Gaines,xavier-gaines-2,/cfb/players/xavier-gaines-2.html,TE,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
Zach Appio,zach-appio-1,/cfb/players/zach-appio-1.html,LS,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2020
