Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jordan Mosley,jordan-mosley-1,/cfb/players/jordan-mosley-1.html,DB,13,56,27,83,0.5,0.0,0,0,,0,8,0,0,0,1,,Maryland,2021
Nick Cross,nick-cross-1,/cfb/players/nick-cross-1.html,DB,13,45,22,67,3.5,3.0,3,55,18.3,0,4,0,0,0,2,,Maryland,2021
Ruban Hyppolite II,ruban-hyppolite-ii-1,/cfb/players/ruban-hyppolite-ii-1.html,LB,13,39,23,62,1.0,0.0,0,0,,0,2,0,0,0,1,,Maryland,2021
Tarheeb Still,tarheeb-still-1,/cfb/players/tarheeb-still-1.html,DB,13,40,15,55,3.0,2.0,0,0,,0,11,2,14,0,0,,Maryland,2021
Sam Okuayinonu,sam-okuayinonu-1,/cfb/players/sam-okuayinonu-1.html,DL,13,36,19,55,8.5,6.0,0,0,,0,0,0,0,0,0,,Maryland,2021
Ami Finau,ami-finau-1,/cfb/players/ami-finau-1.html,DL,13,27,13,40,5.0,1.0,0,0,,0,0,0,0,0,1,,Maryland,2021
Mosiah Nasili-Kite,mosiah-nasili-kite-1,/cfb/players/mosiah-nasili-kite-1.html,DL,11,25,12,37,7.0,4.0,0,0,,0,2,0,0,0,0,,Maryland,2021
Lawtez Rogers,lawtez-rogers-1,/cfb/players/lawtez-rogers-1.html,DL,13,20,13,33,4.5,0.0,0,0,,0,0,1,0,0,0,,Maryland,2021
Ahmad Mccullough,ahmad-mccullough-1,/cfb/players/ahmad-mccullough-1.html,LB,12,14,15,29,0.0,0.0,0,0,,0,0,0,0,0,0,,Maryland,2021
Greg Rose,greg-rose-2,/cfb/players/greg-rose-2.html,DL,13,19,9,28,5.5,5.0,0,0,,0,0,1,0,1,0,,Maryland,2021
