Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Corey Flagg Jr.,corey-flagg-jr-1,/cfb/players/corey-flagg-jr-1.html,LB,12,35,25,60,7.0,3.0,1,9,9.0,0,0,0,0,0,0,,Miami (FL),2021
Waynmon Steed,waynmon-steed-1,/cfb/players/waynmon-steed-1.html,LB,12,24,30,54,3.5,1.0,0,0,,0,0,0,0,0,0,,Miami (FL),2021
Amari Carter,amari-carter-1,/cfb/players/amari-carter-1.html,S,10,19,26,45,3.0,0.5,1,0,0.0,0,1,0,0,0,0,,Miami (FL),2021
Kamren Kinchens,kamren-kinchens-1,/cfb/players/kamren-kinchens-1.html,S,12,25,19,44,1.0,0.0,0,0,,0,4,0,0,0,1,,Miami (FL),2021
Tyrique Stevenson,tyrique-stevenson-1,/cfb/players/tyrique-stevenson-1.html,CB,11,29,14,43,2.5,0.5,1,39,39.0,0,4,0,0,0,0,,Miami (FL),2021
Bubba Bolden,bubba-bolden-1,/cfb/players/bubba-bolden-1.html,S,7,26,16,42,3.5,1.0,0,0,,0,2,0,0,0,0,,Miami (FL),2021
Gilbert Frierson,gilbert-frierson-1,/cfb/players/gilbert-frierson-1.html,DB,12,24,17,41,3.5,1.0,0,0,,0,0,0,0,0,0,,Miami (FL),2021
Keontra Smith,keontra-smith-1,/cfb/players/keontra-smith-1.html,DB,10,18,20,38,5.0,3.0,0,0,,0,0,0,0,0,1,,Miami (FL),2021
Nesta Jade Silvera,nesta-jade-silvera-1,/cfb/players/nesta-jade-silvera-1.html,DL,11,15,23,38,5.5,0.0,0,0,,0,0,1,0,0,0,,Miami (FL),2021
Te'cory Couch,tecory-couch-1,/cfb/players/tecory-couch-1.html,CB,11,27,9,36,1.5,0.0,0,0,,0,5,0,0,0,0,,Miami (FL),2021
Gurvan Hall Jr.,gurvan-hall-jr-1,/cfb/players/gurvan-hall-jr-1.html,S,7,23,8,31,1.0,0.0,0,0,,0,0,0,0,0,0,,Miami (FL),2021
James Williams,james-williams-16,/cfb/players/james-williams-16.html,S,10,20,11,31,0.5,0.0,2,0,0.0,0,2,0,0,0,0,,Miami (FL),2021
Zach McCloud,zach-mccloud-1,/cfb/players/zach-mccloud-1.html,DL,12,13,15,28,7.5,5.5,0,0,,0,0,0,0,0,1,,Miami (FL),2021
Deandre Johnson,deandre-johnson-5,/cfb/players/deandre-johnson-5.html,DE,12,14,12,26,8.5,4.5,0,0,,0,0,0,0,0,1,,Miami (FL),2021
Jahfari Harvey,jahfari-harvey-1,/cfb/players/jahfari-harvey-1.html,DL,12,12,14,26,7.0,2.5,1,33,33.0,1,1,0,0,0,0,,Miami (FL),2021
DJ Ivey,dj-ivey-1,/cfb/players/dj-ivey-1.html,CB,12,16,9,25,2.0,1.0,0,0,,0,1,0,0,0,0,,Miami (FL),2021
Marcus Clarke,marcus-clarke-1,/cfb/players/marcus-clarke-1.html,CB,10,16,8,24,0.0,0.0,1,0,0.0,0,2,1,0,0,0,,Miami (FL),2021
Leonard Taylor,leonard-taylor-3,/cfb/players/leonard-taylor-3.html,DL,9,7,14,21,9.5,2.0,0,0,,0,1,0,0,0,0,,Miami (FL),2021
Jordan Miller,jordan-miller-4,/cfb/players/jordan-miller-4.html,DL,11,10,9,19,4.5,1.5,0,0,,0,0,1,0,0,0,,Miami (FL),2021
Jared Harrison-Hunte,jared-harrison-hunte-1,/cfb/players/jared-harrison-hunte-1.html,,11,11,8,19,7.5,2.0,0,0,,0,1,0,0,0,0,,Miami (FL),2021
Avantae Williams,avantae-williams-1,/cfb/players/avantae-williams-1.html,S,6,15,3,18,0.0,0.0,1,32,32.0,0,0,0,0,0,0,,Miami (FL),2021
Jared Harrioson-Hunte,jared-harrioson-hunte-1,/cfb/players/jared-harrioson-hunte-1.html,DL,9,9,8,17,6.5,2.0,0,0,,0,1,0,0,0,0,,Miami (FL),2021
Chantz Williams,chantz-williams-1,/cfb/players/chantz-williams-1.html,DL,12,9,8,17,2.5,2.5,0,0,,0,2,0,0,0,1,,Miami (FL),2021
