Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Tau Lotulelei,tau-lotulelei-1,/cfb/players/tau-lotulelei-1.html,LB,12,62,55,117,16.5,3.5,0,0,,0,3,0,0,0,1,,Nevada-Las Vegas,2016
Troy Hawthorne,troy-hawthorne-1,/cfb/players/troy-hawthorne-1.html,DB,12,57,50,107,5.5,0.0,1,0,0.0,0,3,2,0,0,5,,Nevada-Las Vegas,2016
Ryan McAleenan,ryan-mcaleenan-1,/cfb/players/ryan-mcaleenan-1.html,LB,12,42,47,89,3.5,0.5,0,0,,0,3,1,0,0,0,,Nevada-Las Vegas,2016
Kenny Keys,kenny-keys-1,/cfb/players/kenny-keys-1.html,DB,11,44,22,66,1.5,0.0,0,0,,0,5,0,0,0,1,,Nevada-Las Vegas,2016
Darius Mouton,darius-mouton-1,/cfb/players/darius-mouton-1.html,DB,12,39,12,51,2.0,0.0,1,59,59.0,0,13,1,0,0,1,,Nevada-Las Vegas,2016
Torry McTyer,torry-mctyer-1,/cfb/players/torry-mctyer-1.html,DB,11,34,15,49,3.5,0.0,3,43,14.3,1,12,0,0,0,0,,Nevada-Las Vegas,2016
Mike Hughes,mike-hughes-3,/cfb/players/mike-hughes-3.html,DL,12,17,20,37,3.5,2.0,0,0,,0,0,0,0,0,0,,Nevada-Las Vegas,2016
Matt Lea,matt-lea-1,/cfb/players/matt-lea-1.html,LB,12,17,13,30,1.0,1.0,0,0,,0,0,0,0,0,0,,Nevada-Las Vegas,2016
Tim Hough,tim-hough-1,/cfb/players/tim-hough-1.html,DB,11,21,7,28,1.0,0.0,0,0,,0,1,0,0,0,0,,Nevada-Las Vegas,2016
Kendal Keys,kendal-keys-1,/cfb/players/kendal-keys-1.html,WR,6,18,9,27,1.5,0.0,0,0,,0,1,0,0,0,0,,Nevada-Las Vegas,2016
Dalton Baker,dalton-baker-1,/cfb/players/dalton-baker-1.html,DB,12,17,8,25,0.0,0.0,0,0,,0,3,0,0,0,0,,Nevada-Las Vegas,2016
Jeremiah Valoaga,jeremiah-valoaga-1,/cfb/players/jeremiah-valoaga-1.html,DL,10,14,10,24,5.5,4.0,0,0,,0,2,0,0,0,1,,Nevada-Las Vegas,2016
