Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Alec Morenco,alec-morenco-1,/cfb/players/alec-morenco-1.html,LB,12,32,34,66,3.5,0.5,0,0,,0,3,0,0,0,1,,New Mexico,2023
Christian Ellis,christian-ellis-1,/cfb/players/christian-ellis-1.html,S,12,34,25,59,1.0,0.0,0,0,,0,4,0,0,0,0,,New Mexico,2023
Syaire Riley,syaire-riley-1,/cfb/players/syaire-riley-1.html,LB,10,22,27,49,4.0,1.0,0,0,,0,0,0,0,0,0,,New Mexico,2023
Dereck Moore,dereck-moore-1,/cfb/players/dereck-moore-1.html,S,9,24,25,49,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2023
Dimitri Johnson,dimitri-johnson-1,/cfb/players/dimitri-johnson-1.html,LB,12,25,23,48,2.0,0.5,0,0,,0,4,2,37,0,1,,New Mexico,2023
Tavian Combs,tavian-combs-1,/cfb/players/tavian-combs-1.html,DB,5,29,17,46,3.0,0.0,0,0,,0,1,0,0,0,1,,New Mexico,2023
Jer'Marius Lewis,jermarius-lewis-1,/cfb/players/jermarius-lewis-1.html,S,12,27,18,45,3.5,1.0,3,-2,-0.7,0,4,0,0,0,1,,New Mexico,2023
Zach Morris,zach-morris-2,/cfb/players/zach-morris-2.html,CB,12,28,8,36,2.0,0.0,1,5,5.0,0,10,0,0,0,1,,New Mexico,2023
Noa Pola-Gates,noa-pola-gates-1,/cfb/players/noa-pola-gates-1.html,DB,12,15,12,27,0.0,0.0,0,0,,0,2,0,0,0,0,,New Mexico,2023
Gabriel Lopez,gabriel-lopez-1,/cfb/players/gabriel-lopez-1.html,DE,12,10,16,26,4.0,2.0,0,0,,0,1,1,0,0,1,,New Mexico,2023
Kyler Drake,kyler-drake-1,/cfb/players/kyler-drake-1.html,DL,12,11,14,25,6.0,3.5,0,0,,0,0,0,0,0,0,,New Mexico,2023
Donte Martin,donte-martin-1,/cfb/players/donte-martin-1.html,DB,12,19,5,24,1.5,0.0,0,0,,0,7,0,0,0,1,,New Mexico,2023
Destin Gainer,destin-gainer-1,/cfb/players/destin-gainer-1.html,DL,12,9,12,21,1.5,0.0,0,0,,0,1,0,0,0,0,,New Mexico,2023
Hunter Rapolla,hunter-rapolla-1,/cfb/players/hunter-rapolla-1.html,DL,12,4,16,20,3.5,1.5,0,0,,0,1,0,0,0,0,,New Mexico,2023
Mihalis Santorineos,mihalis-santorineos-1,/cfb/players/mihalis-santorineos-1.html,LB,10,12,8,20,2.5,1.5,0,0,,0,0,0,0,0,0,,New Mexico,2023
Tyler Kiehne,tyler-kiehne-1,/cfb/players/tyler-kiehne-1.html,DL,12,8,9,17,2.0,1.0,0,0,,0,3,0,0,0,1,,New Mexico,2023
Aaron Smith,aaron-smith-9,/cfb/players/aaron-smith-9.html,S,11,10,4,14,0.0,0.0,0,0,,0,2,0,0,0,0,,New Mexico,2023
Hunter Sellers,hunter-sellers-1,/cfb/players/hunter-sellers-1.html,DB,8,9,4,13,0.0,0.0,0,0,,0,1,0,0,0,0,,New Mexico,2023
Tate Zimmerman,tate-zimmerman-1,/cfb/players/tate-zimmerman-1.html,LB,11,8,4,12,1.0,1.0,0,0,,0,0,0,0,0,0,,New Mexico,2023
Bryce Santana,bryce-santana-1,/cfb/players/bryce-santana-1.html,DL,12,3,8,11,0.5,0.5,0,0,,0,0,0,0,0,0,,New Mexico,2023
Jayden Wilson,jayden-wilson-1,/cfb/players/jayden-wilson-1.html,LB,12,3,7,10,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2023
Marvin Covington,marvin-covington-1,/cfb/players/marvin-covington-1.html,S,8,5,3,8,0.5,0.0,0,0,,0,3,0,0,0,0,,New Mexico,2023
Bryson Taylor,bryson-taylor-1,/cfb/players/bryson-taylor-1.html,S,10,5,3,8,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2023
Ja'Shon Lowery,jashon-lowery-1,/cfb/players/jashon-lowery-1.html,LB,4,3,4,7,2.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2023
Ray Leutele,ray-leutele-1,/cfb/players/ray-leutele-1.html,LB,3,2,5,7,0.0,0.0,0,0,,0,1,0,0,0,1,,New Mexico,2023
