Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Germaine Pratt,germaine-pratt-1,/cfb/players/germaine-pratt-1.html,LB,11,55,49,104,10.5,6.0,0,0,,0,3,1,0,0,2,,North Carolina State,2018
Jarius Morehead,jarius-morehead-1,/cfb/players/jarius-morehead-1.html,S,13,45,36,81,0.0,0.0,3,84,28.0,1,4,0,0,0,0,,North Carolina State,2018
Isaiah Moore,isaiah-moore-1,/cfb/players/isaiah-moore-1.html,LB,12,37,32,69,7.5,2.5,0,0,,0,2,1,0,0,0,,North Carolina State,2018
Nick McCloud,nick-mccloud-1,/cfb/players/nick-mccloud-1.html,CB,11,34,17,51,0.0,0.0,2,23,11.5,0,8,1,12,0,0,,North Carolina State,2018
Dexter Wright,dexter-wright-1,/cfb/players/dexter-wright-1.html,S,13,24,26,50,3.5,0.5,1,1,1.0,0,3,0,0,0,0,,North Carolina State,2018
Tanner Ingle,tanner-ingle-1,/cfb/players/tanner-ingle-1.html,DB,13,34,10,44,3.0,1.0,0,0,,0,1,0,0,0,2,,North Carolina State,2018
Stephen Griffin,stephen-griffin-1,/cfb/players/stephen-griffin-1.html,DB,13,31,10,41,1.0,0.0,0,0,,0,5,0,0,0,1,,North Carolina State,2018
Chris Ingram,chris-ingram-2,/cfb/players/chris-ingram-2.html,CB,13,30,9,39,0.5,0.0,1,0,0.0,0,9,0,0,0,0,,North Carolina State,2018
James Smith-Williams,james-smith-williams-1,/cfb/players/james-smith-williams-1.html,DE,12,16,21,37,9.5,6.0,0,0,,0,2,1,0,0,1,,North Carolina State,2018
Darian Roseboro,darian-roseboro-1,/cfb/players/darian-roseboro-1.html,DE,12,15,22,37,7.5,1.0,0,0,,0,1,0,0,0,0,,North Carolina State,2018
Larrell Murchison,larrell-murchison-1,/cfb/players/larrell-murchison-1.html,DT,13,16,18,34,8.0,4.0,1,0,0.0,0,2,1,0,0,0,,North Carolina State,2018
Tim Kidd-Glass,tim-kidd-glass-1,/cfb/players/tim-kidd-glass-1.html,S,13,19,12,31,4.5,1.0,0,0,,0,2,0,0,0,2,,North Carolina State,2018
Louis Acceus,louis-acceus-1,/cfb/players/louis-acceus-1.html,LB,12,9,16,25,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Eurndraus Bryant,eurndraus-bryant-1,/cfb/players/eurndraus-bryant-1.html,DT,11,9,16,25,4.5,2.5,1,0,0.0,0,0,1,21,0,0,,North Carolina State,2018
Alim McNeill,alim-mcneill-1,/cfb/players/alim-mcneill-1.html,DT,13,14,10,24,5.5,3.5,0,0,,0,3,0,0,0,1,,North Carolina State,2018
Brock Miller,brock-miller-1,/cfb/players/brock-miller-1.html,LB,13,13,9,22,0.0,0.0,0,0,,0,1,1,12,0,1,,North Carolina State,2018
Deonte Holden,deonte-holden-1,/cfb/players/deonte-holden-1.html,DE,13,9,12,21,9.5,3.5,0,0,,0,0,0,0,0,1,,North Carolina State,2018
Ibrahim Kante,ibrahim-kante-1,/cfb/players/ibrahim-kante-1.html,DE,13,2,11,13,3.5,1.0,0,0,,0,0,0,0,0,1,,North Carolina State,2018
Teshaun Smith,teshaun-smith-1,/cfb/players/teshaun-smith-1.html,CB,11,9,2,11,0.0,0.0,1,5,5.0,0,1,0,0,0,0,,North Carolina State,2018
Ben Frazier,ben-frazier-1,/cfb/players/ben-frazier-1.html,DT,9,1,8,9,0.0,0.0,0,0,,0,1,0,0,0,0,,North Carolina State,2018
Isaiah Stallings,isaiah-stallings-1,/cfb/players/isaiah-stallings-1.html,S,13,2,7,9,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Kishawn Miller,kishawn-miller-1,/cfb/players/kishawn-miller-1.html,CB,9,7,1,8,1.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Stephen Morrison,stephen-morrison-1,/cfb/players/stephen-morrison-1.html,DB,13,2,6,8,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Brady Bodine,brady-bodine-1,/cfb/players/brady-bodine-1.html,RB,13,3,4,7,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Val Martin,val-martin-1,/cfb/players/val-martin-1.html,DT,4,0,6,6,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Tyler Baker-Williams,tyler-baker-williams-1,/cfb/players/tyler-baker-williams-1.html,DB,8,3,2,5,0.0,0.0,0,0,,0,1,0,0,0,0,,North Carolina State,2018
Kyle Bambard,kyle-bambard-1,/cfb/players/kyle-bambard-1.html,PK,13,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Ricky Person Jr.,ricky-person-jr-1,/cfb/players/ricky-person-jr-1.html,RB,9,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Xavier Lyas,xavier-lyas-1,/cfb/players/xavier-lyas-1.html,DE,6,3,1,4,2.5,2.5,0,0,,0,1,0,0,0,0,,North Carolina State,2018
Freddie Phillips Jr.,freddie-phillips-jr-1,/cfb/players/freddie-phillips-jr-1.html,DB,13,2,2,4,1.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Damontay Rhem,damontay-rhem-1,/cfb/players/damontay-rhem-1.html,RB,8,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
De'Von Graves,devon-graves-1,/cfb/players/devon-graves-1.html,CB,8,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
David Pierson,david-pierson-1,/cfb/players/david-pierson-1.html,LB,5,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
C.J. Riley,cj-riley-1,/cfb/players/cj-riley-1.html,WR,13,3,0,3,0.0,0.0,0,0,,0,0,1,0,0,0,,North Carolina State,2018
Dalton Counts,dalton-counts-1,/cfb/players/dalton-counts-1.html,S,6,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Maurice Trowell,maurice-trowell-1,/cfb/players/maurice-trowell-1.html,CB,13,0,2,2,0.0,0.0,0,0,,0,1,1,17,0,0,,North Carolina State,2018
Emeka Emezie,emeka-emezie-1,/cfb/players/emeka-emezie-1.html,WR,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
Stephen Louis,stephen-louis-1,/cfb/players/stephen-louis-1.html,WR,5,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,North Carolina State,2018
