Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
KD Davis,kd-davis-1,/cfb/players/kd-davis-1.html,LB,12,37,51,88,7.0,3.5,0,0,,0,1,2,0,0,0,,North Texas,2019
Tyreke Davis,tyreke-davis-1,/cfb/players/tyreke-davis-1.html,LB,12,43,37,80,14.0,4.5,0,0,,0,1,1,0,0,0,,North Texas,2019
Khairi Muhammad,khairi-muhammad-1,/cfb/players/khairi-muhammad-1.html,S,12,31,37,68,0.5,0.0,1,0,0.0,0,4,0,0,0,1,,North Texas,2019
Nick Harvey,nick-harvey-1,/cfb/players/nick-harvey-1.html,DB,12,44,20,64,1.5,0.0,1,0,0.0,0,7,1,0,0,0,,North Texas,2019
Taylor Robinson,taylor-robinson-1,/cfb/players/taylor-robinson-1.html,DB,11,37,26,63,1.0,0.0,1,39,39.0,0,7,0,0,0,1,,North Texas,2019
Dion Novil,dion-novil-1,/cfb/players/dion-novil-1.html,DL,12,28,33,61,13.0,3.5,0,0,,0,1,0,0,0,0,,North Texas,2019
Cameron Johnson,cameron-johnson-2,/cfb/players/cameron-johnson-2.html,DB,12,39,19,58,2.5,0.5,0,0,,0,4,0,0,0,0,,North Texas,2019
JoJo Ozougwu,jojo-ozougwu-1,/cfb/players/jojo-ozougwu-1.html,LB,10,23,19,42,5.0,3.0,0,0,,0,1,0,0,0,0,,North Texas,2019
LaDarius Hamilton,ladarius-hamilton-1,/cfb/players/ladarius-hamilton-1.html,DE,12,23,16,39,10.5,8.5,0,0,,0,0,0,0,0,1,,North Texas,2019
Makyle Sanders,makyle-sanders-1,/cfb/players/makyle-sanders-1.html,S,10,21,17,38,3.0,0.0,1,0,0.0,0,3,1,0,0,0,,North Texas,2019
Jameel Moore,jameel-moore-1,/cfb/players/jameel-moore-1.html,DB,12,24,11,35,1.0,0.0,0,0,,0,5,0,0,0,0,,North Texas,2019
Dayton LeBlanc,dayton-leblanc-1,/cfb/players/dayton-leblanc-1.html,DL,12,13,17,30,2.5,1.0,0,0,,0,0,0,0,0,0,,North Texas,2019
Jaxson Gibbs,jaxson-gibbs-1,/cfb/players/jaxson-gibbs-1.html,S,8,15,5,20,2.0,1.0,0,0,,0,0,0,0,0,1,,North Texas,2019
Jamie King,jamie-king-1,/cfb/players/jamie-king-1.html,LB,12,9,9,18,2.5,1.0,0,0,,0,3,1,0,0,0,,North Texas,2019
Larry Nixon III,larry-nixon-iii-1,/cfb/players/larry-nixon-iii-1.html,LB,10,7,10,17,0.0,0.0,0,0,,0,1,0,0,0,1,,North Texas,2019
Kevin Wood,kevin-wood-8,/cfb/players/kevin-wood-8.html,LB,12,10,7,17,2.0,0.0,0,0,,0,0,2,0,0,1,,North Texas,2019
Alex Morris,alex-morris-2,/cfb/players/alex-morris-2.html,S,12,7,8,15,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2019
Mike Linehan,mike-linehan-1,/cfb/players/mike-linehan-1.html,LB,9,5,5,10,1.5,1.5,0,0,,0,0,0,0,0,0,,North Texas,2019
Keelan Crosby,keelan-crosby-1,/cfb/players/keelan-crosby-1.html,DB,5,5,4,9,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2019
Asher Frow,asher-frow-1,/cfb/players/asher-frow-1.html,DL,11,8,1,9,2.0,2.0,0,0,,0,0,0,0,0,0,,North Texas,2019
