Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Boomer Mays,boomer-mays-1,/cfb/players/boomer-mays-1.html,LB,14,73,41,114,5.0,0.5,1,0,0.0,0,4,0,0,0,1,,Northern Illinois,2015
Marlon Moore,marlon-moore-3,/cfb/players/marlon-moore-3.html,S,14,67,38,105,1.5,0.0,2,0,0.0,0,7,1,0,0,2,,Northern Illinois,2015
Brandon Mayes,brandon-mayes-2,/cfb/players/brandon-mayes-2.html,S,14,61,26,87,1.0,0.0,3,28,9.3,0,4,0,0,0,0,,Northern Illinois,2015
Sean Folliard,sean-folliard-1,/cfb/players/sean-folliard-1.html,LB,13,49,35,84,8.5,1.0,1,19,19.0,0,4,1,0,0,1,,Northern Illinois,2015
Renard Cheren,renard-cheren-1,/cfb/players/renard-cheren-1.html,LB,13,40,23,63,5.5,1.5,0,0,,0,1,0,0,0,0,,Northern Illinois,2015
Bobby Jones IV,bobby-jones-iv-1,/cfb/players/bobby-jones-iv-1.html,LB,14,36,20,56,4.0,2.0,0,0,,0,1,1,0,0,0,,Northern Illinois,2015
Paris Logan,paris-logan-1,/cfb/players/paris-logan-1.html,CB,12,39,12,51,2.0,0.0,1,0,0.0,0,11,0,0,0,0,,Northern Illinois,2015
Shawun Lurry,shawun-lurry-1,/cfb/players/shawun-lurry-1.html,CB,14,36,9,45,0.5,0.0,9,273,30.3,1,15,0,0,0,0,,Northern Illinois,2015
Jamaal Payton,jamaal-payton-1,/cfb/players/jamaal-payton-1.html,LB,14,26,16,42,4.5,1.0,0,0,,0,1,0,0,0,0,,Northern Illinois,2015
Perez Ford,perez-ford-1,/cfb/players/perez-ford-1.html,DE,13,24,18,42,6.5,5.0,0,0,,0,0,0,0,0,1,,Northern Illinois,2015
Albert Smalls,albert-smalls-1,/cfb/players/albert-smalls-1.html,CB,14,29,8,37,0.0,0.0,1,0,0.0,0,10,0,0,0,0,,Northern Illinois,2015
Cameron Clinton-Earl,cameron-clinton-earl-1,/cfb/players/cameron-clinton-earl-1.html,DE,14,23,14,37,7.0,3.0,0,0,,0,1,1,0,0,0,,Northern Illinois,2015
Ladell Fleming,ladell-fleming-1,/cfb/players/ladell-fleming-1.html,DE,14,18,13,31,5.0,3.0,0,0,,0,0,0,0,0,1,,Northern Illinois,2015
Jawuan Johnson,jawuan-johnson-1,/cfb/players/jawuan-johnson-1.html,LB,13,17,14,31,2.5,1.0,1,0,0.0,0,0,1,0,0,0,,Northern Illinois,2015
Corey Thomas,corey-thomas-2,/cfb/players/corey-thomas-2.html,DT,11,12,14,26,1.5,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Mycial Allen,mycial-allen-1,/cfb/players/mycial-allen-1.html,S,13,19,6,25,2.0,0.0,2,27,13.5,0,0,0,0,0,0,,Northern Illinois,2015
William Lee,william-lee-3,/cfb/players/william-lee-3.html,DT,14,14,9,23,1.0,1.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Ben Compton,ben-compton-2,/cfb/players/ben-compton-2.html,DE,13,14,8,22,5.0,3.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Mario Jones,mario-jones-1,/cfb/players/mario-jones-1.html,DT,13,8,11,19,1.5,0.5,0,0,,0,1,0,0,0,0,,Northern Illinois,2015
Ruben Dunbar,ruben-dunbar-1,/cfb/players/ruben-dunbar-1.html,DE,11,8,9,17,1.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Anthony Brooks,anthony-brooks-1,/cfb/players/anthony-brooks-1.html,CB,11,13,2,15,0.0,0.0,0,0,,0,4,0,0,0,0,,Northern Illinois,2015
Alex Schwab,alex-schwab-1,/cfb/players/alex-schwab-1.html,LB,13,7,5,12,1.0,0.0,0,0,,0,0,1,0,0,0,,Northern Illinois,2015
Josh Corcoran,josh-corcoran-1,/cfb/players/josh-corcoran-1.html,LB,14,9,1,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Austin Smaha,austin-smaha-1,/cfb/players/austin-smaha-1.html,DE,8,6,3,9,2.0,1.0,0,0,,0,0,1,0,0,0,,Northern Illinois,2015
Clayton Glasper,clayton-glasper-1,/cfb/players/clayton-glasper-1.html,WR,14,5,3,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Keith Harris Jr.,keith-harris-jr-1,/cfb/players/keith-harris-jr-1.html,RB,5,5,2,7,1.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Jordan Huff,jordan-huff-1,/cfb/players/jordan-huff-1.html,RB,14,5,2,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Russell Chambers,russell-chambers-1,/cfb/players/russell-chambers-1.html,DT,10,4,3,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Aregeros Turner,aregeros-turner-1,/cfb/players/aregeros-turner-1.html,WR,14,5,1,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Rajshawn Mosley,rajshawn-mosley-1,/cfb/players/rajshawn-mosley-1.html,DE,8,5,1,6,0.5,0.5,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Kenny Golladay,kenny-golladay-1,/cfb/players/kenny-golladay-1.html,WR,14,5,0,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Herlandez Corley,herlandez-corley-1,/cfb/players/herlandez-corley-1.html,DT,7,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Elijah Campbell,elijah-campbell-1,/cfb/players/elijah-campbell-1.html,S,13,4,1,5,0.0,0.0,0,0,,0,1,0,0,0,0,,Northern Illinois,2015
Tifonte Hunt,tifonte-hunt-1,/cfb/players/tifonte-hunt-1.html,CB,10,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Marcus Jones,marcus-jones-9,/cfb/players/marcus-jones-9.html,RB,11,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Steven Lee,steven-lee-1,/cfb/players/steven-lee-1.html,WR,1,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
D.J. Brown,dj-brown-3,/cfb/players/dj-brown-3.html,RB,14,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Cody Sullivan,cody-sullivan-1,/cfb/players/cody-sullivan-1.html,LB,6,1,1,2,1.0,1.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Josh Orne,josh-orne-2,/cfb/players/josh-orne-2.html,K,8,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Ryan Stendler,ryan-stendler-2,/cfb/players/ryan-stendler-2.html,TE,14,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Chad Beebe,chad-beebe-1,/cfb/players/chad-beebe-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Shane Wimann,shane-wimann-1,/cfb/players/shane-wimann-1.html,TE,14,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Joel Bouagnon,joel-bouagnon-1,/cfb/players/joel-bouagnon-1.html,RB,14,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Levon Myers,levon-myers-1,/cfb/players/levon-myers-1.html,OL,14,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Ty Harmston,ty-harmston-1,/cfb/players/ty-harmston-1.html,DE,5,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Juwan Brescacin,juwan-brescacin-1,/cfb/players/juwan-brescacin-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Northern Illinois,2015
Mayomi Olootu,mayomi-olootu-1,/cfb/players/mayomi-olootu-1.html,CB,5,0,0,0,0.0,0.0,1,42,42.0,1,0,0,0,0,0,,Northern Illinois,2015
