Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Javon Hagan,javon-hagan-1,/cfb/players/javon-hagan-1.html,S,13,47,55,102,4.0,2.0,0,0,,0,7,1,0,0,1,,Ohio,2019
Dylan Connor,dylan-connor-1,/cfb/players/dylan-connor-1.html,LB,13,28,55,83,5.5,1.5,0,0,,0,1,0,0,0,0,,Ohio,2019
Jared Dorsa,jared-dorsa-1,/cfb/players/jared-dorsa-1.html,LB,11,34,46,80,6.0,0.5,0,0,,0,4,0,0,0,0,,Ohio,2019
Jarren Hampton,jarren-hampton-1,/cfb/players/jarren-hampton-1.html,S,13,44,27,71,1.0,0.0,0,0,,0,5,1,0,0,0,,Ohio,2019
Marlin Brooks,marlin-brooks-1,/cfb/players/marlin-brooks-1.html,CB,13,37,17,54,0.0,0.0,1,0,0.0,0,5,2,0,0,1,,Ohio,2019
Eric Popp,eric-popp-1,/cfb/players/eric-popp-1.html,LB,10,23,29,52,2.5,1.0,0,0,,0,1,0,0,0,1,,Ohio,2019
Keye Thompson,keye-thompson-1,/cfb/players/keye-thompson-1.html,LB,13,19,32,51,5.5,0.5,0,0,,0,2,1,0,0,1,,Ohio,2019
Ilyaas Motley,ilyaas-motley-1,/cfb/players/ilyaas-motley-1.html,CB,13,25,13,38,2.0,0.5,1,14,14.0,0,6,0,0,0,1,,Ohio,2019
Austin Conrad,austin-conrad-1,/cfb/players/austin-conrad-1.html,DL,13,20,16,36,6.5,4.0,0,0,,0,2,0,0,0,2,,Ohio,2019
Will Evans,will-evans-2,/cfb/players/will-evans-2.html,DL,13,20,15,35,7.5,1.0,0,0,,0,0,0,0,0,1,,Ohio,2019
Kaieem Caesar,kaieem-caesar-1,/cfb/players/kaieem-caesar-1.html,DL,13,10,21,31,2.0,1.0,0,0,,0,0,1,0,0,0,,Ohio,2019
Cole Baker,cole-baker-1,/cfb/players/cole-baker-1.html,DL,12,10,21,31,4.5,3.0,0,0,,0,1,0,0,0,1,,Ohio,2019
Amos Ogun-Semore,amos-ogun-semore-1,/cfb/players/amos-ogun-semore-1.html,DL,13,10,15,25,3.0,2.0,0,0,,0,1,0,0,0,0,,Ohio,2019
Brian Arp,brian-arp-1,/cfb/players/brian-arp-1.html,DL,13,9,15,24,1.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
De'Vante Mitchell,devante-mitchell-1,/cfb/players/devante-mitchell-1.html,S,10,10,10,20,0.5,0.0,0,0,,0,1,0,0,0,0,,Ohio,2019
Jack McCrory,jack-mccrory-1,/cfb/players/jack-mccrory-1.html,LB,13,11,8,19,2.5,2.5,0,0,,0,0,1,0,0,0,,Ohio,2019
Xavior Motley,xavior-motley-1,/cfb/players/xavior-motley-1.html,CB,12,12,5,17,1.0,1.0,0,0,,0,5,0,0,0,0,,Ohio,2019
Alvin Floyd,alvin-floyd-1,/cfb/players/alvin-floyd-1.html,S,12,10,6,16,1.0,0.0,1,0,0.0,0,0,0,0,0,0,,Ohio,2019
Jamal Hudson,jamal-hudson-1,/cfb/players/jamal-hudson-1.html,CB,4,6,9,15,0.5,0.0,0,0,,0,1,0,0,0,0,,Ohio,2019
Marcus Coleman,marcus-coleman-5,/cfb/players/marcus-coleman-5.html,DL,12,2,13,15,1.5,0.5,0,0,,0,0,2,0,0,0,,Ohio,2019
Jeremiah Wood,jeremiah-wood-1,/cfb/players/jeremiah-wood-1.html,LB,12,9,6,15,0.5,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Sam McKnight,sam-mcknight-1,/cfb/players/sam-mcknight-1.html,DL,9,5,8,13,2.5,1.0,0,0,,0,0,0,0,0,1,,Ohio,2019
Justin Birchette,justin-birchette-1,/cfb/players/justin-birchette-1.html,CB,12,6,3,9,0.0,0.0,0,0,,0,4,0,0,0,0,,Ohio,2019
Austin Clack,austin-clack-1,/cfb/players/austin-clack-1.html,LB,13,6,2,8,1.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
D.L. Knock,dl-knock-1,/cfb/players/dl-knock-1.html,WR,13,3,4,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Chukwudi Chukwu,chukwudi-chukwu-1,/cfb/players/chukwudi-chukwu-1.html,DL,13,3,4,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Tariq Drake,tariq-drake-1,/cfb/players/tariq-drake-1.html,CB,10,5,1,6,1.0,1.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Michael Ballentine,michael-ballentine-1,/cfb/players/michael-ballentine-1.html,S,7,2,2,4,0.5,0.0,0,0,,0,2,0,0,0,0,,Ohio,2019
John Gregory,john-gregory-2,/cfb/players/john-gregory-2.html,CB,13,3,1,4,0.0,0.0,1,0,0.0,0,0,0,0,0,0,,Ohio,2019
Kaylen McCracken,kaylen-mccracken-1,/cfb/players/kaylen-mccracken-1.html,DL,6,1,3,4,1.0,1.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Zach Burks,zach-burks-1,/cfb/players/zach-burks-1.html,DL,11,2,1,3,0.5,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
T.J. Robinson,tj-robinson-1,/cfb/players/tj-robinson-1.html,LB,11,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Bryce Houston,bryce-houston-1,/cfb/players/bryce-houston-1.html,LB,9,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Jake Neatherton,jake-neatherton-1,/cfb/players/jake-neatherton-1.html,RB,7,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Jeremiah Burton,jeremiah-burton-2,/cfb/players/jeremiah-burton-2.html,DT,3,0,2,2,0.5,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Tyler Walton,tyler-walton-1,/cfb/players/tyler-walton-1.html,WR,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Jamison Collier,jamison-collier-1,/cfb/players/jamison-collier-1.html,S,7,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Bryce Stai,bryce-stai-1,/cfb/players/bryce-stai-1.html,DL,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Ryan Luehrman,ryan-luehrman-1,/cfb/players/ryan-luehrman-1.html,TE,13,0,2,2,0.5,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
Nathan Rourke,nathan-rourke-1,/cfb/players/nathan-rourke-1.html,QB,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ohio,2019
