Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Justin Phillips,justin-phillips-2,/cfb/players/justin-phillips-2.html,LB,13,71,27,98,11.0,2.0,0,0,,0,3,2,0,0,1,,Oklahoma State,2018
Malcolm Rodriguez,malcolm-rodriguez-1,/cfb/players/malcolm-rodriguez-1.html,S,13,53,30,83,5.0,0.0,0,0,,0,1,0,0,0,1,,Oklahoma State,2018
Kenneth Edison-McGruder,kenneth-edison-mcgruder-1,/cfb/players/kenneth-edison-mcgruder-1.html,LB,13,54,19,73,8.5,2.0,0,0,,0,3,1,0,0,2,,Oklahoma State,2018
Calvin Bundage,calvin-bundage-1,/cfb/players/calvin-bundage-1.html,LB,11,41,21,62,8.0,1.5,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Jarrick Bernard-Converse,jarrick-bernard-converse-1,/cfb/players/jarrick-bernard-converse-1.html,,13,49,10,59,3.5,2.0,1,15,15.0,0,1,0,0,0,1,,Oklahoma State,2018
Jarrick Bernard,jarrick-bernard-1,/cfb/players/jarrick-bernard-1.html,S,13,48,10,58,2.5,1.0,1,15,15.0,0,1,0,0,0,0,,Oklahoma State,2018
Jordan Brailford,jordan-brailford-1,/cfb/players/jordan-brailford-1.html,DE,13,37,17,54,16.0,9.0,0,0,,0,1,0,0,0,1,,Oklahoma State,2018
Kolby Harvell-Peel,kolby-harvell-peel-1,/cfb/players/kolby-harvell-peel-1.html,,13,44,8,52,5.5,1.0,0,0,,0,4,0,0,0,0,,Oklahoma State,2018
Kolby Peel,kolby-peel-1,/cfb/players/kolby-peel-1.html,S,11,44,8,52,5.5,1.0,0,0,,0,4,0,0,0,0,,Oklahoma State,2018
A.J. Green,aj-green-4,/cfb/players/aj-green-4.html,CB,13,39,10,49,0.0,0.0,1,0,0.0,0,11,0,0,0,1,,Oklahoma State,2018
Rodarius Williams,rodarius-williams-1,/cfb/players/rodarius-williams-1.html,CB,13,40,9,49,2.0,0.0,2,0,0.0,0,8,0,0,0,0,,Oklahoma State,2018
Devin Harper,devin-harper-1,/cfb/players/devin-harper-1.html,LB,13,32,12,44,5.0,2.5,1,24,24.0,1,1,0,0,0,1,,Oklahoma State,2018
Jarrell Owens,jarrell-owens-1,/cfb/players/jarrell-owens-1.html,DE,13,23,8,31,11.0,6.0,0,0,,0,0,0,0,0,1,,Oklahoma State,2018
Enoch Smith Jr.,enoch-smith-jr-1,/cfb/players/enoch-smith-jr-1.html,DT,13,21,9,30,3.0,0.0,0,0,,0,0,2,0,0,0,,Oklahoma State,2018
Trey Carter,trey-carter-1,/cfb/players/trey-carter-1.html,DT,13,15,12,27,3.0,2.0,0,0,,0,0,0,0,0,1,,Oklahoma State,2018
Thabo Mwaniki,thabo-mwaniki-1,/cfb/players/thabo-mwaniki-1.html,S,7,11,6,17,1.0,0.0,0,0,,0,1,0,0,0,0,,Oklahoma State,2018
Amen Ogbongbemiga,amen-ogbongbemiga-1,/cfb/players/amen-ogbongbemiga-1.html,LB,13,7,5,12,3.0,1.5,0,0,,0,0,1,0,0,0,,Oklahoma State,2018
Cole Walterscheid,cole-walterscheid-1,/cfb/players/cole-walterscheid-1.html,DE,13,9,2,11,3.0,2.0,0,0,,0,2,0,0,0,0,,Oklahoma State,2018
Tanner McCalister,tanner-mccalister-1,/cfb/players/tanner-mccalister-1.html,CB,12,9,2,11,0.0,0.0,0,0,,0,1,0,0,0,0,,Oklahoma State,2018
Mike Scott,mike-scott-9,/cfb/players/mike-scott-9.html,DE,12,10,0,10,3.0,3.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Kevin Henry,kevin-henry-3,/cfb/players/kevin-henry-3.html,LB,10,6,4,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Kemah Siverand,kemah-siverand-1,/cfb/players/kemah-siverand-1.html,CB,13,8,2,10,0.0,0.0,0,0,,0,1,0,0,0,0,,Oklahoma State,2018
Za'Carrius Green,zacarrius-green-1,/cfb/players/zacarrius-green-1.html,S,12,6,1,7,0.0,0.0,0,0,,0,0,1,0,0,0,,Oklahoma State,2018
Brendon Evers,brendon-evers-1,/cfb/players/brendon-evers-1.html,DT,13,7,0,7,1.0,1.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Brock Martin,brock-martin-1,/cfb/players/brock-martin-1.html,DE,13,7,0,7,1.0,1.0,0,0,,0,0,1,0,0,0,,Oklahoma State,2018
Cameron Murray,cameron-murray-1,/cfb/players/cameron-murray-1.html,DT,13,3,4,7,0.5,0.5,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Darrion Daniels,darrion-daniels-1,/cfb/players/darrion-daniels-1.html,DT,4,4,3,7,1.0,1.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Philip Redwine-Bryant,philip-redwine-bryant-1,/cfb/players/philip-redwine-bryant-1.html,LB,13,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Malik Givens,malik-givens-1,/cfb/players/malik-givens-1.html,WR,13,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Bryce Balous,bryce-balous-1,/cfb/players/bryce-balous-1.html,CB,13,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Landon Wolf,landon-wolf-1,/cfb/players/landon-wolf-1.html,WR,13,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Jake McClure,jake-mcclure-1,/cfb/players/jake-mcclure-1.html,PK,13,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Taylor Cornelius,taylor-cornelius-1,/cfb/players/taylor-cornelius-1.html,QB,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Kanion Williams,kanion-williams-1,/cfb/players/kanion-williams-1.html,S,4,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Tylan Wallace,tylan-wallace-1,/cfb/players/tylan-wallace-1.html,WR,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Trey Sterling,trey-sterling-1,/cfb/players/trey-sterling-1.html,S,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
LD Brown,ld-brown-2,/cfb/players/ld-brown-2.html,RB,10,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Dillon Stoner,dillon-stoner-1,/cfb/players/dillon-stoner-1.html,WR,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
La'Darren Brown,louis-brown-3,/cfb/players/louis-brown-3.html,RB,4,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Sam Walkingstick,sam-walkingstick-1,/cfb/players/sam-walkingstick-1.html,LS,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Larry Williams,larry-williams-5,/cfb/players/larry-williams-5.html,OL,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Logan Carter,logan-carter-2,/cfb/players/logan-carter-2.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Jalen McCleskey,jalen-mccleskey-1,/cfb/players/jalen-mccleskey-1.html,WR,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Tracin Wallace,tracin-wallace-1,/cfb/players/tracin-wallace-1.html,WR,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Adam Martin,adam-martin-2,/cfb/players/adam-martin-2.html,LB,2,1,0,1,1.0,1.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Triston Grant,triston-grant-1,/cfb/players/triston-grant-1.html,DE,2,1,0,1,1.0,1.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
Tyron Johnson,tyron-johnson-1,/cfb/players/tyron-johnson-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2018
