Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Joe Walker,joe-walker-3,/cfb/players/joe-walker-3.html,LB,12,46,41,87,6.0,2.0,1,0,0.0,0,1,2,52,1,0,,Oregon,2015
Deforest Buckner,deforest-buckner-1,/cfb/players/deforest-buckner-1.html,DL,13,45,38,83,17.0,10.5,0,0,,0,5,1,0,0,0,,Oregon,2015
Rodney Hardrick,rodney-hardrick-1,/cfb/players/rodney-hardrick-1.html,LB,13,43,38,81,6.0,2.0,1,0,0.0,0,1,0,0,0,1,,Oregon,2015
Tyree Robinson,tyree-robinson-2,/cfb/players/tyree-robinson-2.html,S,13,38,26,64,1.5,1.0,3,61,20.3,1,5,1,0,0,0,,Oregon,2015
Tyson Coleman,tyson-coleman-1,/cfb/players/tyson-coleman-1.html,LB,13,32,31,63,12.0,4.5,0,0,,0,3,1,0,0,3,,Oregon,2015
Reggie Daniels,reggie-daniels-1,/cfb/players/reggie-daniels-1.html,DB,11,40,16,56,2.5,0.0,0,0,,0,10,0,0,0,0,,Oregon,2015
Arrion Springs,arrion-springs-1,/cfb/players/arrion-springs-1.html,DB,13,35,18,53,1.0,1.0,1,0,0.0,0,12,0,7,0,2,,Oregon,2015
Torrodney Prevot,torrodney-prevot-1,/cfb/players/torrodney-prevot-1.html,LB,13,22,26,48,7.5,2.5,0,0,,0,2,1,0,0,1,,Oregon,2015
Charles Nelson,charles-nelson-2,/cfb/players/charles-nelson-2.html,S,12,35,12,47,1.0,0.0,2,5,2.5,0,4,0,0,0,0,,Oregon,2015
Alex Balducci,alex-balducci-1,/cfb/players/alex-balducci-1.html,DL,13,16,24,40,7.5,3.5,0,0,,0,0,0,0,0,0,,Oregon,2015
Tui Talia,tui-talia-1,/cfb/players/tui-talia-1.html,DL,13,17,17,34,6.0,2.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Christian French,christian-french-1,/cfb/players/christian-french-1.html,LB,8,12,17,29,5.0,2.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Khalil Oliver,khalil-oliver-1,/cfb/players/khalil-oliver-1.html,DB,10,11,16,27,0.5,0.0,1,0,0.0,0,1,1,0,0,0,,Oregon,2015
Khalil Oliver,khalil-oliver-2,/cfb/players/khalil-oliver-2.html,,13,11,16,27,0.5,0.0,1,0,0.0,0,1,1,0,0,0,,Oregon,2015
Ugo Amadi,ugo-amadi-1,/cfb/players/ugo-amadi-1.html,CB,13,20,5,25,2.0,0.0,2,31,15.5,0,3,0,0,0,0,,Oregon,2015
Danny Mattingly,danny-mattingly-1,/cfb/players/danny-mattingly-1.html,LB,11,12,13,25,0.0,0.0,0,0,,0,0,0,0,0,1,,Oregon,2015
Henry Mondeaux,henry-mondeaux-1,/cfb/players/henry-mondeaux-1.html,DL,13,16,6,22,6.5,4.0,0,0,,0,3,1,0,0,0,,Oregon,2015
Juwaan Williams,juwaan-williams-1,/cfb/players/juwaan-williams-1.html,S,7,14,7,21,1.0,0.0,1,17,17.0,0,1,1,0,0,1,,Oregon,2015
Johnny Ragin III,johnny-ragin-iii-1,/cfb/players/johnny-ragin-iii-1.html,LB,12,13,7,20,1.0,0.0,0,0,,0,1,0,0,0,0,,Oregon,2015
Chris Seisay,chris-seisay-1,/cfb/players/chris-seisay-1.html,CB,6,14,4,18,1.0,0.0,1,4,4.0,0,1,0,0,0,0,,Oregon,2015
Glen Ihenacho,glen-ihenacho-1,/cfb/players/glen-ihenacho-1.html,DB,11,12,5,17,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Jimmie Swain,jimmie-swain-1,/cfb/players/jimmie-swain-1.html,LB,13,6,9,15,0.5,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Jalen Jelks,jalen-jelks-1,/cfb/players/jalen-jelks-1.html,DL,11,6,3,9,3.0,3.0,0,0,,0,1,0,0,0,1,,Oregon,2015
Fotu Leiato,fotu-leiato-1,/cfb/players/fotu-leiato-1.html,DB,13,3,4,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Kirk Merritt,kirk-merritt-1,/cfb/players/kirk-merritt-1.html,WR,11,5,2,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Rex Manu,rex-manu-1,/cfb/players/rex-manu-1.html,DL,12,0,6,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Austin Maloata,austin-maloata-1,/cfb/players/austin-maloata-1.html,DL,12,3,3,6,0.5,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Eddie Heard,eddie-heard-1,/cfb/players/eddie-heard-1.html,LB,11,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Taylor Alie,taylor-alie-2,/cfb/players/taylor-alie-2.html,QB,12,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
T.J. Daniel,tj-daniel-1,/cfb/players/tj-daniel-1.html,DL,10,2,2,4,1.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Ty Griffin,ty-griffin-1,/cfb/players/ty-griffin-1.html,DB,6,2,2,4,0.0,0.0,0,0,,0,1,0,0,0,0,,Oregon,2015
Zac Schuller,zac-schuller-1,/cfb/players/zac-schuller-1.html,WR,10,0,4,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Kaulana Apelu,kaulana-apelu-1,/cfb/players/kaulana-apelu-1.html,LB,13,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Austin Daich,austin-diach-1,/cfb/players/austin-diach-1.html,DB,9,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Paris Bostick,paris-bostick-1,/cfb/players/paris-bostick-1.html,LB,2,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Jordan Kurahara,jordan-kurahara-1,/cfb/players/jordan-kurahara-1.html,DL,2,0,3,3,0.0,0.0,0,0,,0,1,0,0,0,0,,Oregon,2015
De'Quan McDowell,dequan-mcdowell-1,/cfb/players/dequan-mcdowell-1.html,LB,10,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Tony Brooks-James,tony-brooks-james-1,/cfb/players/tony-brooks-james-1.html,RB,10,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Canton Kaumatule,canton-kaumatule-1,/cfb/players/canton-kaumatule-1.html,DL,8,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Ian Wheeler,ian-wheeler-2,/cfb/players/ian-wheeler-2.html,P,11,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Jalen Brown,jalen-brown-2,/cfb/players/jalen-brown-2.html,WR,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Bralon Addison,bralon-addison-1,/cfb/players/bralon-addison-1.html,WR,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Cody Carriger,cody-carriger-1,/cfb/players/cody-carriger-1.html,LB,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Devon Allen,devon-allen-1,/cfb/players/devon-allen-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Jason Sloan,jason-sloan-1,/cfb/players/jason-sloan-1.html,DL,1,1,0,1,1.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Tanner Carew,tanner-carew-1,/cfb/players/tanner-carew-1.html,LS,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
John Mundt,john-mundt-1,/cfb/players/john-mundt-1.html,TE,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Justin Hunter,justin-hunter-2,/cfb/players/justin-hunter-2.html,LB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
Kani Benoit,kani-benoit-1,/cfb/players/kani-benoit-1.html,RB,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon,2015
