Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Avery Roberts,avery-roberts-1,/cfb/players/avery-roberts-1.html,LB,12,65,63,128,9.5,2.5,1,8,8.0,0,2,0,0,0,1,,Oregon State,2021
Omar Speights,omar-speights-1,/cfb/players/omar-speights-1.html,LB,13,33,56,89,5.0,0.5,2,-3,-1.5,0,1,2,0,0,0,,Oregon State,2021
Jaydon Grant,jaydon-grant-1,/cfb/players/jaydon-grant-1.html,DB,13,31,40,71,2.0,0.5,2,-2,-1.0,0,6,0,0,0,2,,Oregon State,2021
Kitan Oladapo,kitan-oladapo-1,/cfb/players/kitan-oladapo-1.html,DB,13,37,32,69,6.0,1.0,1,0,0.0,0,9,0,0,0,0,,Oregon State,2021
Andrzej Hughes-Murray,andrzej-hughes-murray-1,/cfb/players/andrzej-hughes-murray-1.html,LB,13,25,31,56,8.5,6.0,0,0,,0,1,0,0,0,1,,Oregon State,2021
Rejzohn Wright,rejzohn-wright-1,/cfb/players/rejzohn-wright-1.html,DB,13,39,13,52,2.0,1.0,2,0,0.0,0,8,1,0,0,1,,Oregon State,2021
Alex Austin,alex-austin-1,/cfb/players/alex-austin-1.html,DB,13,27,20,47,0.5,0.0,2,17,8.5,0,7,0,0,0,0,,Oregon State,2021
Keonte Schad,keonte-schad-1,/cfb/players/keonte-schad-1.html,DL,13,14,32,46,6.0,2.5,0,0,,0,2,1,0,0,0,,Oregon State,2021
Riley Sharp,riley-sharp-1,/cfb/players/riley-sharp-1.html,LB,13,21,24,45,6.0,3.0,1,-1,-1.0,0,1,0,0,0,0,,Oregon State,2021
Alton Julian,alton-julian-1,/cfb/players/alton-julian-1.html,DB,7,20,14,34,0.5,0.0,1,1,1.0,0,3,0,0,0,0,,Oregon State,2021
Akili Arnold,akili-arnold-1,/cfb/players/akili-arnold-1.html,DB,13,17,14,31,1.0,0.0,1,0,0.0,0,3,0,0,0,0,,Oregon State,2021
Kyrei Fisher,kyrei-fisher-1,/cfb/players/kyrei-fisher-1.html,LB,9,10,20,30,3.0,1.5,0,0,,0,0,0,0,0,0,,Oregon State,2021
James Rawls,james-rawls-1,/cfb/players/james-rawls-1.html,DL,13,11,13,24,4.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Ron Hardge III,ron-hardge-iii-1,/cfb/players/ron-hardge-iii-1.html,DB,9,10,10,20,0.0,0.0,0,0,,0,2,0,0,0,0,,Oregon State,2021
Simon Sandberg,simon-sandberg-1,/cfb/players/simon-sandberg-1.html,DL,11,9,9,18,3.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Easton Mascarenas,easton-mascarenas-1,/cfb/players/easton-mascarenas-1.html,LB,13,8,7,15,1.0,0.0,0,0,,0,1,0,0,0,0,,Oregon State,2021
Alexander Skelton,alexander-skelton-1,/cfb/players/alexander-skelton-1.html,DL,12,6,8,14,0.5,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Cory Stover,cory-stover-1,/cfb/players/cory-stover-1.html,DL,13,5,8,13,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Semisi Saluni,semisi-saluni-1,/cfb/players/semisi-saluni-1.html,LB,13,4,5,9,0.0,0.0,0,0,,0,1,0,0,0,0,,Oregon State,2021
Jack Colletto,jack-colletto-1,/cfb/players/jack-colletto-1.html,LB,12,7,1,8,1.0,0.0,1,19,19.0,0,0,0,0,0,1,,Oregon State,2021
Sione Lolohea,sione-lolohea-1,/cfb/players/sione-lolohea-1.html,DL,8,2,5,7,0.5,0.5,0,0,,0,0,0,0,0,0,,Oregon State,2021
Ryan Franke,ryan-franke-1,/cfb/players/ryan-franke-1.html,LB,9,4,2,6,1.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Cody Anderson,cody-anderson-1,/cfb/players/cody-anderson-1.html,DL,9,4,2,6,1.0,1.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Elijah Jones,elijah-jones-5,/cfb/players/elijah-jones-5.html,DB,5,3,2,5,0.0,0.0,0,0,,0,1,0,0,0,0,,Oregon State,2021
John Miller,john-miller-9,/cfb/players/john-miller-9.html,LB,13,4,0,4,0.0,0.0,0,0,,0,0,0,0,0,1,,Oregon State,2021
Tavis Shippen,tavis-shippen-1,/cfb/players/tavis-shippen-1.html,DL,7,1,3,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Cade Brownholtz,cade-brownholtz-1,/cfb/players/cade-brownholtz-1.html,OL,12,1,2,3,1.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Jesiah Irish,jesiah-irish-1,/cfb/players/jesiah-irish-1.html,WR,13,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Skyler Thomas,skyler-thomas-2,/cfb/players/skyler-thomas-2.html,DB,12,2,1,3,0.0,0.0,1,26,26.0,0,0,0,0,0,0,,Oregon State,2021
Everett Hayes,everett-hayes-1,/cfb/players/everett-hayes-1.html,K,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Wynston Russell,wynston-russell-1,/cfb/players/wynston-russell-1.html,DB,2,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Tyjon Lindsey,tyjon-lindsey-1,/cfb/players/tyjon-lindsey-1.html,WR,10,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Trevon Bradford,trevon-bradford-1,/cfb/players/trevon-bradford-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Tre'Shaun Harrison,treshaun-harrison-1,/cfb/players/treshaun-harrison-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Thomas Sio,thomas-sio-1,/cfb/players/thomas-sio-1.html,OL,12,0,1,1,0.0,0.0,0,0,,0,1,0,0,0,0,,Oregon State,2021
Teagan Quitoriano,teagan-quitoriano-1,/cfb/players/teagan-quitoriano-1.html,TE,13,1,0,1,1.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Sam Noyer,sam-noyer-1,/cfb/players/sam-noyer-1.html,QB,2,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Anthony Gould,anthony-gould-1,/cfb/players/anthony-gould-1.html,WR,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Noah Seumalo,noah-seumalo-1,/cfb/players/noah-seumalo-1.html,LB,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
Michael Erhart,michael-erhart-1,/cfb/players/michael-erhart-1.html,LB,7,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oregon State,2021
