Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Damar Hamlin,damar-hamlin-1,/cfb/players/damar-hamlin-1.html,DB,14,61,29,90,3.0,0.0,2,79,39.5,0,4,1,0,0,0,,Pitt,2018
Oluwaseun Idowu,oluwaseun-idowu-1,/cfb/players/oluwaseun-idowu-1.html,LB,14,55,27,82,9.5,2.5,0,0,,0,5,0,0,0,2,,Pitt,2018
Dennis Briggs,dennis-briggs-1,/cfb/players/dennis-briggs-1.html,DB,14,45,14,59,3.0,2.0,0,0,,0,3,0,0,0,1,,Pitt,2018
Elias Reynolds,elias-reynolds-1,/cfb/players/elias-reynolds-1.html,LB,11,23,26,49,3.5,1.0,0,0,,0,1,0,0,0,0,,Pitt,2018
Elijah Zeise,elijah-zeise-1,/cfb/players/elijah-zeise-1.html,LB,14,25,23,48,4.0,1.0,0,0,,0,2,0,0,0,2,,Pitt,2018
Rashad Weaver,rashad-weaver-1,/cfb/players/rashad-weaver-1.html,DL,14,31,16,47,14.0,6.5,0,0,,0,4,3,20,0,2,,Pitt,2018
Dane Jackson,dane-jackson-1,/cfb/players/dane-jackson-1.html,DB,13,38,9,47,4.0,0.0,0,0,,0,14,2,35,1,4,,Pitt,2018
Jay Stocker,jay-stocker-1,/cfb/players/jay-stocker-1.html,DB,14,30,13,43,0.0,0.0,1,15,15.0,0,4,0,0,0,1,,Pitt,2018
Quintin Wirginis,quintin-wirginis-1,/cfb/players/quintin-wirginis-1.html,LB,6,24,17,41,7.0,3.0,0,0,,0,0,0,0,0,2,,Pitt,2018
Saleem Brightwell,saleem-brightwell-1,/cfb/players/saleem-brightwell-1.html,LB,14,20,15,35,1.0,0.0,0,0,,0,0,0,0,0,0,,Pitt,2018
Shane Roy,shane-roy-1,/cfb/players/shane-roy-1.html,DL,14,12,17,29,3.0,0.5,0,0,,0,1,1,0,0,0,,Pitt,2018
Dewayne Hendrix,dewayne-hendrix-1,/cfb/players/dewayne-hendrix-1.html,DL,13,16,13,29,5.0,4.5,0,0,,0,0,1,5,0,1,,Pitt,2018
Phil Campbell,phil-campbell-1,/cfb/players/phil-campbell-1.html,DB,12,16,10,26,0.0,0.0,0,0,,0,0,0,0,0,0,,Pitt,2018
Patrick Jones II,patrick-jones-ii-1,/cfb/players/patrick-jones-ii-1.html,DL,14,15,7,22,7.0,3.5,0,0,,0,0,0,0,0,1,,Pitt,2018
Damarri Mathis,damarri-mathis-1,/cfb/players/damarri-mathis-1.html,DB,13,13,5,18,2.5,0.0,1,0,0.0,0,1,0,0,0,0,,Pitt,2018
Amir Watts,amir-watts-1,/cfb/players/amir-watts-1.html,DL,14,7,11,18,3.0,1.0,1,0,0.0,0,0,0,0,0,0,,Pitt,2018
