Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Trevor Morris,trevor-morris-1,/cfb/players/trevor-morris-1.html,LB,12,37,81,118,3.5,0.5,0,0,,0,1,0,0,0,0,,Rutgers,2017
Deonte Roberts,deonte-roberts-1,/cfb/players/deonte-roberts-1.html,LB,12,27,77,104,5.0,0.0,0,0,,0,2,0,0,0,1,,Rutgers,2017
Kemoko Turay,kemoko-turay-1,/cfb/players/kemoko-turay-1.html,DL,12,28,37,65,7.0,4.0,0,0,,0,1,2,0,0,1,,Rutgers,2017
K.J. Gray,kj-gray-1,/cfb/players/kj-gray-1.html,DB,10,33,25,58,3.0,1.5,2,0,0.0,0,5,0,0,0,0,,Rutgers,2017
Damon Hayes,damon-hayes-1,/cfb/players/damon-hayes-1.html,DB,12,28,20,48,2.0,0.0,1,0,0.0,0,10,0,0,0,0,,Rutgers,2017
Kevin Wilkins,kevin-wilkins-1,/cfb/players/kevin-wilkins-1.html,DL,12,16,31,47,5.5,0.0,0,0,,0,2,0,0,0,0,,Rutgers,2017
Jawuan Harris,jawuan-harris-1,/cfb/players/jawuan-harris-1.html,WR,11,21,20,41,1.0,0.0,3,29,9.7,0,3,0,0,0,1,,Rutgers,2017
Sebastian Joseph,sebastian-joseph-1,/cfb/players/sebastian-joseph-1.html,DL,12,15,26,41,4.5,1.5,0,0,,0,1,0,0,0,1,,Rutgers,2017
Isaiah Wharton,isaiah-wharton-1,/cfb/players/isaiah-wharton-1.html,DB,12,23,17,40,0.5,0.0,0,0,,0,9,0,0,0,0,,Rutgers,2017
Saquan Hampton,saquan-hampton-1,/cfb/players/saquan-hampton-1.html,DB,8,22,16,38,0.0,0.0,0,0,,0,3,0,0,0,0,,Rutgers,2017
Ross Douglas,ross-douglas-1,/cfb/players/ross-douglas-1.html,LB,12,14,24,38,0.0,0.0,0,0,,0,4,0,0,0,0,,Rutgers,2017
Darnell Davis Jr.,darnell-davis-jr-1,/cfb/players/darnell-davis-jr-1.html,DL,12,12,26,38,4.0,2.0,0,0,,0,0,0,0,0,2,,Rutgers,2017
Kiy Hester,kiy-hester-1,/cfb/players/kiy-hester-1.html,DB,11,16,21,37,0.5,0.0,3,95,31.7,2,10,0,0,0,0,,Rutgers,2017
Jon Bateky,jon-bateky-1,/cfb/players/jon-bateky-1.html,DL,10,6,27,33,3.0,1.5,0,0,,0,1,0,0,0,0,,Rutgers,2017
Julius Turner,julius-turner-1,/cfb/players/julius-turner-1.html,DL,12,6,17,23,2.5,1.5,0,0,,0,0,0,0,0,0,,Rutgers,2017
Tyshon Fogg,tyshon-fogg-1,/cfb/players/tyshon-fogg-1.html,LB,6,9,9,18,1.0,0.0,1,5,5.0,0,0,0,0,0,0,,Rutgers,2017
Elorm Lumor,elorm-lumor-1,/cfb/players/elorm-lumor-1.html,DL,12,7,10,17,1.5,1.0,0,0,,0,0,0,0,0,1,,Rutgers,2017
Zane Campbell,zane-campbell-1,/cfb/players/zane-campbell-1.html,DB,11,12,4,16,0.0,0.0,0,0,,0,2,0,0,0,1,,Rutgers,2017
Brandon Russell,brandon-russell-3,/cfb/players/brandon-russell-3.html,LB,12,4,9,13,0.0,0.0,0,0,,0,0,0,0,0,0,,Rutgers,2017
Willington Previlon,willington-previlon-1,/cfb/players/willington-previlon-1.html,DL,12,5,8,13,1.0,1.0,0,0,,0,2,0,0,0,0,,Rutgers,2017
Blessuan Austin,blessuan-austin-1,/cfb/players/blessuan-austin-1.html,DB,4,7,5,12,0.0,0.0,1,0,0.0,0,1,0,0,0,0,,Rutgers,2017
