Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Kyahva Tezino,kyahva-tezino-1,/cfb/players/kyahva-tezino-1.html,LB,13,43,56,99,10.5,3.5,2,17,8.5,0,3,0,0,0,2,,San Diego State,2019
Dwayne Johnson Jr.,dwayne-johnson-3,/cfb/players/dwayne-johnson-3.html,S,13,54,38,92,1.5,0.0,1,20,20.0,0,5,2,0,0,1,,San Diego State,2019
Tariq Thompson,tariq-thompson-2,/cfb/players/tariq-thompson-2.html,S,13,44,11,55,3.0,1.0,4,5,1.3,0,8,3,48,0,2,,San Diego State,2019
Luqman Barcoo,luqman-barcoo-1,/cfb/players/luqman-barcoo-1.html,CB,13,43,12,55,5.0,0.5,9,5,0.6,0,16,0,0,0,0,,San Diego State,2019
Cameron Thomas,cameron-thomas-2,/cfb/players/cameron-thomas-2.html,DL,13,20,29,49,9.0,5.5,0,0,,0,2,0,0,0,0,,San Diego State,2019
Darren Hall,darren-hall-1,/cfb/players/darren-hall-1.html,CB,12,34,15,49,3.5,1.5,1,0,0.0,0,16,1,20,1,2,,San Diego State,2019
Trenton Thompson,trenton-thompson-2,/cfb/players/trenton-thompson-2.html,S,12,33,11,44,2.0,0.0,0,0,,0,2,0,0,0,0,,San Diego State,2019
Keshawn Banks,keshawn-banks-1,/cfb/players/keshawn-banks-1.html,DL,13,21,22,43,13.5,4.5,0,0,,0,1,0,0,0,0,,San Diego State,2019
Miles Cheatum,miles-cheatum-1,/cfb/players/miles-cheatum-1.html,DL,13,20,22,42,9.5,5.0,0,0,,0,2,0,0,0,0,,San Diego State,2019
Troy Cassidy,troy-cassidy-1,/cfb/players/troy-cassidy-1.html,LB,13,18,17,35,3.0,1.0,0,0,,0,1,0,0,0,0,,San Diego State,2019
Andrew Aleki,andrew-aleki-1,/cfb/players/andrew-aleki-1.html,LB,13,14,21,35,4.5,1.0,0,0,,0,1,0,0,0,0,,San Diego State,2019
Caden McDonald,caden-mcdonald-1,/cfb/players/caden-mcdonald-1.html,LB,13,15,19,34,5.5,2.5,1,11,11.0,0,2,1,0,0,0,,San Diego State,2019
Tayler Hawkins,tayler-hawkins-1,/cfb/players/tayler-hawkins-1.html,CB,13,18,12,30,3.0,0.0,0,0,,0,0,0,0,0,0,,San Diego State,2019
Kyree Woods,kyree-woods-1,/cfb/players/kyree-woods-1.html,S,5,15,7,22,3.0,1.0,0,0,,0,2,0,0,0,1,,San Diego State,2019
Jonah Tavai,jonah-tavai-1,/cfb/players/jonah-tavai-1.html,DL,13,7,8,15,2.0,1.5,0,0,,0,0,0,0,0,0,,San Diego State,2019
