Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Nick Emmanwori,nick-emmanwori-1,/cfb/players/nick-emmanwori-1.html,DB,13,57,31,88,3.0,0.0,4,107,26.8,2,2,0,0,0,0,,South Carolina,2024
Demetrius Knight II,demetrius-knight-ii-1,/cfb/players/demetrius-knight-ii-1.html,LB,13,57,25,82,8.0,2.0,1,0,0.0,0,1,0,0,0,3,,South Carolina,2024
Bam Martin-Scott,bam-martin-scott-1,/cfb/players/bam-martin-scott-1.html,LB,13,39,28,67,9.0,2.5,0,0,,0,2,1,0,0,2,,South Carolina,2024
Debo Williams,debo-williams-1,/cfb/players/debo-williams-1.html,LB,13,39,24,63,4.5,0.5,0,0,,0,0,1,0,0,0,,South Carolina,2024
T.J. Sanders,tj-sanders-2,/cfb/players/tj-sanders-2.html,DT,13,29,21,50,7.0,4.0,0,0,,0,1,0,0,0,0,,South Carolina,2024
Jalon Kilgore,jalon-kilgore-1,/cfb/players/jalon-kilgore-1.html,DB,13,31,17,48,3.0,0.0,5,68,13.6,0,5,0,0,0,0,,South Carolina,2024
O'Donnell Fortune,odonnell-fortune-1,/cfb/players/odonnell-fortune-1.html,DB,13,41,6,47,2.0,0.0,3,2,0.7,0,3,0,0,0,1,,South Carolina,2024
DQ Smith,dq-smith-1,/cfb/players/dq-smith-1.html,DB,12,20,17,37,0.0,0.0,1,-4,-4.0,0,3,0,0,0,1,,South Carolina,2024
Kyle Kennard,kyle-kennard-1,/cfb/players/kyle-kennard-1.html,DL,12,20,8,28,15.5,11.5,0,0,,0,1,2,0,0,3,"Nagurski,AA",South Carolina,2024
Judge Collier,judge-collier-1,/cfb/players/judge-collier-1.html,DB,13,23,5,28,3.0,0.0,0,0,,0,8,0,0,0,0,,South Carolina,2024
Tonka Hemingway,tonka-hemingway-1,/cfb/players/tonka-hemingway-1.html,DL,13,17,8,25,4.0,4.0,0,0,,0,1,2,36,1,1,,South Carolina,2024
Bryan Thomas Jr.,bryan-thomas-jr-1,/cfb/players/bryan-thomas-jr-1.html,DE,12,12,11,23,6.5,4.5,0,0,,0,0,0,0,0,1,,South Carolina,2024
Dylan Stewart,dylan-stewart-1,/cfb/players/dylan-stewart-1.html,DE,13,17,6,23,10.5,6.5,0,0,,0,1,2,0,0,3,,South Carolina,2024
Peyton Williams,peyton-williams-1,/cfb/players/peyton-williams-1.html,DB,13,8,11,19,0.0,0.0,0,0,,0,2,0,0,0,0,,South Carolina,2024
Alex Huntley,alex-huntley-1,/cfb/players/alex-huntley-1.html,DL,13,7,9,16,2.0,1.0,0,0,,0,2,0,0,0,0,,South Carolina,2024
DeAndre Jules,deandre-jules-1,/cfb/players/deandre-jules-1.html,DL,9,10,5,15,0.0,0.0,0,0,,0,0,1,0,0,0,,South Carolina,2024
Monkell Goodwine,monkell-goodwine-1,/cfb/players/monkell-goodwine-1.html,DL,13,10,5,15,1.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Vicari Swain,vicari-swain-1,/cfb/players/vicari-swain-1.html,DB,13,11,2,13,1.0,1.0,0,0,,0,1,0,0,0,1,,South Carolina,2024
Gilber Edmond,gilber-edmond-1,/cfb/players/gilber-edmond-1.html,DL,9,7,3,10,2.0,1.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Bangally Kamara,bangally-kamara-1,/cfb/players/bangally-kamara-1.html,LB,4,7,2,9,1.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Jatius Geer,jatius-geer-1,/cfb/players/jatius-geer-1.html,DL,10,5,3,8,1.0,1.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Gerald Kilgore,gerald-kilgore-1,/cfb/players/gerald-kilgore-1.html,DB,13,5,2,7,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Rondarius Porter,rondarius-porter-1,/cfb/players/rondarius-porter-1.html,DL,9,5,2,7,1.0,1.0,0,0,,0,0,0,0,0,1,,South Carolina,2024
"Fred ""JayR"" Johnson",fred-jayr-johnson-1,/cfb/players/fred-jayr-johnson-1.html,LB,13,3,3,6,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Kelvin Hunter,kelvin-hunter-2,/cfb/players/kelvin-hunter-2.html,DB,3,5,1,6,1.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Colin Bryant,colin-bryant-1,/cfb/players/colin-bryant-1.html,LB,13,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Nick Barrett,nick-barrett-1,/cfb/players/nick-barrett-1.html,DL,5,1,4,5,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
King-Demenian Ford,king-demenian-ford-1,/cfb/players/king-demenian-ford-1.html,DB,13,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Buddy Mack III,buddy-mack-iii-1,/cfb/players/buddy-mack-iii-1.html,DB,12,1,3,4,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
David Bucey,david-bucey-1,/cfb/players/david-bucey-1.html,DB,13,4,0,4,0.0,0.0,0,0,,0,1,0,0,0,2,,South Carolina,2024
Ronnie Porter,ronnie-porter-1,/cfb/players/ronnie-porter-1.html,LB,13,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
David Spaulding,david-spaulding-1,/cfb/players/david-spaulding-1.html,DB,6,1,2,3,0.5,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Nyck Harbor,nyck-harbor-1,/cfb/players/nyck-harbor-1.html,WR,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Jamaal Whyce,jamaal-whyce-1,/cfb/players/jamaal-whyce-1.html,DT,2,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Alex Herrera,alex-herrera-1,/cfb/players/alex-herrera-1.html,K,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Desmond Umeozulu,desmond-umeozulu-1,/cfb/players/desmond-umeozulu-1.html,DE,12,1,1,2,0.5,0.5,0,0,,0,0,0,0,0,0,,South Carolina,2024
Maurice Brown,maurice-brown-2,/cfb/players/maurice-brown-2.html,TE,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
LaNorris Sellers,lanorris-sellers-1,/cfb/players/lanorris-sellers-1.html,QB,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Juju McDowell,juju-mcdowell-1,/cfb/players/juju-mcdowell-1.html,RB,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
Joshua Simon,joshua-simon-1,/cfb/players/joshua-simon-1.html,TE,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2024
