Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Andrew Pryts,andrew-pryts-1,/cfb/players/andrew-pryts-1.html,LB,12,40,31,71,1.0,0.0,1,0,0.0,0,0,0,0,0,0,,Stanford,2019
Curtis Robinson,curtis-robinson-1,/cfb/players/curtis-robinson-1.html,LB,12,37,27,64,3.0,2.0,0,0,,0,3,0,0,0,1,,Stanford,2019
Casey Toohill,casey-toohill-1,/cfb/players/casey-toohill-1.html,LB,12,38,22,60,11.5,8.0,0,0,,0,1,0,0,0,1,,Stanford,2019
Thomas Booker,thomas-booker-1,/cfb/players/thomas-booker-1.html,DE,12,32,18,50,8.5,4.0,0,0,,0,3,0,0,0,1,,Stanford,2019
Kendall Williamson,kendall-williamson-1,/cfb/players/kendall-williamson-1.html,CB,11,36,11,47,1.0,0.0,0,0,,0,1,1,0,0,0,,Stanford,2019
Gabe Reid,gabe-reid-1,/cfb/players/gabe-reid-1.html,LB,12,27,16,43,9.0,2.0,0,0,,0,2,0,0,0,0,,Stanford,2019
Stuart Head,stuart-head-1,/cfb/players/stuart-head-1.html,S,8,30,9,39,1.0,0.0,0,0,,0,2,0,0,0,0,,Stanford,2019
Kyu Blu Kelly,kyu-blu-kelly-1,/cfb/players/kyu-blu-kelly-1.html,CB,12,29,6,35,1.5,1.0,1,0,0.0,0,5,0,0,0,0,,Stanford,2019
Jonathan McGill,jonathan-mcgill-1,/cfb/players/jonathan-mcgill-1.html,CB,12,27,8,35,3.0,0.0,1,0,0.0,0,3,1,28,1,0,,Stanford,2019
Paulson Adebo,paulson-adebo-1,/cfb/players/paulson-adebo-1.html,CB,9,23,10,33,0.0,0.0,4,4,1.0,0,10,0,0,0,0,,Stanford,2019
Jovan Swann,jovan-swann-1,/cfb/players/jovan-swann-1.html,DE,12,21,11,32,8.0,5.5,0,0,,0,1,0,0,0,1,,Stanford,2019
Malik Antoine,malik-antoine-1,/cfb/players/malik-antoine-1.html,S,9,17,14,31,0.5,0.0,0,0,,0,4,0,0,0,0,,Stanford,2019
Mike Williams,mike-williams-27,/cfb/players/mike-williams-27.html,,12,12,12,24,6.0,1.0,0,0,,0,0,0,0,0,0,,Stanford,2019
Michael Williams,michael-williams-12,/cfb/players/michael-williams-12.html,DT,10,12,12,24,6.0,1.0,0,0,,0,0,0,0,0,0,,Stanford,2019
Obi Eboh,obi-eboh-1,/cfb/players/obi-eboh-1.html,CB,12,20,3,23,0.0,0.0,0,0,,0,1,0,0,0,0,,Stanford,2019
Jordan Fox,jordan-fox-1,/cfb/players/jordan-fox-1.html,LB,5,9,13,22,3.5,1.0,0,0,,0,1,1,0,1,0,,Stanford,2019
Ryan Beecher,ryan-beecher-1,/cfb/players/ryan-beecher-1.html,LB,12,13,3,16,0.0,0.0,0,0,,0,1,0,0,0,0,,Stanford,2019
Thomas Schaffer,thomas-schaffer-1,/cfb/players/thomas-schaffer-1.html,DE,12,6,7,13,5.0,1.0,0,0,,0,0,0,0,0,1,,Stanford,2019
Dalyn Wade-Perry,dalyn-wade-perry-1,/cfb/players/dalyn-wade-perry-1.html,DT,12,7,5,12,5.0,1.0,0,0,,0,0,0,0,0,0,,Stanford,2019
J.J. Parson,jj-parson-1,/cfb/players/jj-parson-1.html,CB,10,6,5,11,0.0,0.0,1,11,11.0,0,0,0,0,0,0,,Stanford,2019
Tristan Sinclair,tristan-sinclair-1,/cfb/players/tristan-sinclair-1.html,LB,4,5,2,7,1.0,0.0,0,0,,0,1,0,0,0,0,,Stanford,2019
Brock Jones,brock-jones-1,/cfb/players/brock-jones-1.html,S,10,2,4,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Stanford,2019
Tangaloa Kaufusi,tangaloa-kaufusi-1,/cfb/players/tangaloa-kaufusi-1.html,LB,7,2,3,5,1.0,0.0,0,0,,0,0,0,0,0,0,,Stanford,2019
Ricky Miezan,ricky-miezan-1,/cfb/players/ricky-miezan-1.html,LB,2,1,4,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Stanford,2019
Noah Williams,noah-williams-1,/cfb/players/noah-williams-1.html,S,10,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Stanford,2019
Caleb Phillips,caleb-phillips-1,/cfb/players/caleb-phillips-1.html,LB,12,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Stanford,2019
Tobe Umerah,tobe-umerah-1,/cfb/players/tobe-umerah-1.html,LB,6,1,3,4,1.0,1.0,0,0,,0,0,1,0,0,0,,Stanford,2019
Thunder Keck,thunder-keck-1,/cfb/players/thunder-keck-1.html,LB,10,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,1,,Stanford,2019
Stephen Herron,stephen-herron-1,/cfb/players/stephen-herron-1.html,LB,3,0,2,2,0.5,0.5,0,0,,0,0,0,0,0,0,,Stanford,2019
Zahran Manley,zahran-manley-1,/cfb/players/zahran-manley-1.html,CB,8,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Stanford,2019
Jacob Mangum-Farrar,jacob-mangum-farrar-1,/cfb/players/jacob-mangum-farrar-1.html,LB,2,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Stanford,2019
Anthony Trinh,anthony-trinh-1,/cfb/players/anthony-trinh-1.html,LB,9,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Stanford,2019
