Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Zaire Franklin,zaire-franklin-1,/cfb/players/zaire-franklin-1.html,LB,12,59,22,81,11.0,3.0,1,21,21.0,0,1,0,0,0,2,,Syracuse,2015
Antwan Cordy,antwan-cordy-1,/cfb/players/antwan-cordy-1.html,CB,12,50,18,68,12.0,2.0,2,0,0.0,0,2,2,44,1,1,,Syracuse,2015
Parris Bennett,parris-bennett-1,/cfb/players/parris-bennett-1.html,LB,8,32,12,44,3.5,0.0,1,5,5.0,0,0,1,0,0,0,,Syracuse,2015
Chauncey Scissum,chauncey-scissum-1,/cfb/players/chauncey-scissum-1.html,S,12,27,16,43,0.5,0.0,0,0,,0,1,0,0,0,0,,Syracuse,2015
Cordell Hudson,cordell-hudson-1,/cfb/players/cordell-hudson-1.html,CB,12,35,7,42,2.0,0.0,2,40,20.0,0,3,0,0,0,0,,Syracuse,2015
Marqez Hodge,marqez-hodge-1,/cfb/players/marqez-hodge-1.html,LB,12,23,18,41,1.0,0.0,0,0,,0,0,2,0,0,0,,Syracuse,2015
Juwan Dowels,juwan-dowels-1,/cfb/players/juwan-dowels-1.html,CB,12,29,11,40,1.5,0.0,1,0,0.0,0,5,0,0,0,0,,Syracuse,2015
Ron Thompson,ron-thompson-1,/cfb/players/ron-thompson-1.html,DE,12,30,5,35,9.5,7.0,0,0,,0,4,1,0,0,4,,Syracuse,2015
Donnie Simmons,donnie-simmons-1,/cfb/players/donnie-simmons-1.html,DE,12,25,10,35,5.0,1.0,1,41,41.0,1,1,0,0,0,2,,Syracuse,2015
Jonathan Thomas,jonathan-thomas-2,/cfb/players/jonathan-thomas-2.html,LB,12,25,9,34,1.5,0.0,0,0,,0,0,0,0,0,0,,Syracuse,2015
KIelan Whitner,kielan-whitner-1,/cfb/players/kielan-whitner-1.html,S,12,23,10,33,0.5,0.0,0,0,,0,1,0,0,0,1,,Syracuse,2015
Corey Winfield,corey-winfield-1,/cfb/players/corey-winfield-1.html,WR,8,26,4,30,2.0,2.0,2,24,12.0,1,3,0,0,0,1,,Syracuse,2015
Ted Taylor,ted-taylor-1,/cfb/players/ted-taylor-1.html,LB,12,23,4,27,5.0,2.0,0,0,,0,0,0,0,0,0,,Syracuse,2015
Chris Slayton,chris-slayton-1,/cfb/players/chris-slayton-1.html,DE,12,14,8,22,6.0,1.0,0,0,,0,1,0,0,0,1,,Syracuse,2015
Julian Whigham,julian-whigham-1,/cfb/players/julian-whigham-1.html,CB,11,16,6,22,0.5,0.0,0,0,,0,3,0,0,0,0,,Syracuse,2015
Steven Clark,steven-clark-4,/cfb/players/steven-clark-4.html,NT,12,12,9,21,1.5,0.0,0,0,,0,1,2,0,0,0,,Syracuse,2015
John Raymon,john-raymon-1,/cfb/players/john-raymon-1.html,NT,12,15,4,19,3.0,0.0,0,0,,0,0,0,0,0,0,,Syracuse,2015
Luke Arciniega,luke-arciniega-1,/cfb/players/luke-arciniega-1.html,DE,8,13,4,17,5.5,4.0,0,0,,0,0,0,0,0,1,,Syracuse,2015
Rodney Williams,rodney-williams-5,/cfb/players/rodney-williams-5.html,S,10,13,4,17,0.0,0.0,0,0,,0,0,0,0,0,0,,Syracuse,2015
Wayne Morgan,wayne-morgan-1,/cfb/players/wayne-morgan-1.html,CB,12,12,4,16,0.5,0.0,0,0,,0,2,0,0,0,0,,Syracuse,2015
Kayton Samuels,kayton-samuels-1,/cfb/players/kayton-samuels-1.html,NT,12,8,7,15,2.5,0.0,0,0,,0,0,1,0,0,0,,Syracuse,2015
Kenterius Womack,kenterius-womack-1,/cfb/players/kenterius-womack-1.html,QB,12,5,2,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Syracuse,2015
Daivon Ellison,daivon-ellison-1,/cfb/players/daivon-ellison-1.html,S,8,5,2,7,0.0,0.0,0,0,,0,1,0,0,0,1,,Syracuse,2015
Oliver Vigille,oliver-vigille-1,/cfb/players/oliver-vigille-1.html,LB,10,3,3,6,0.5,0.0,0,0,,0,0,1,29,1,0,,Syracuse,2015
Rony Charles,rony-charles-1,/cfb/players/rony-charles-1.html,DL,3,3,2,5,2.0,1.0,0,0,,0,0,0,0,0,0,,Syracuse,2015
George Morris II,george-morris-ii-1,/cfb/players/george-morris-ii-1.html,RB,12,4,0,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Syracuse,2015
