Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Travin Howard,travin-howard-1,/cfb/players/travin-howard-1.html,LB,13,72,58,130,4.0,1.5,1,5,5.0,0,2,2,0,0,1,,Texas Christian,2016
Ty Summers,ty-summers-1,/cfb/players/ty-summers-1.html,LB,13,59,62,121,5.0,1.5,0,0,,0,3,0,0,0,0,,Texas Christian,2016
Nick Orr,nick-orr-1,/cfb/players/nick-orr-1.html,S,13,47,39,86,1.0,0.0,4,47,11.8,0,6,1,0,0,0,,Texas Christian,2016
Denzel Johnson,denzel-johnson-1,/cfb/players/denzel-johnson-1.html,S,11,48,36,84,11.0,2.5,0,0,,0,6,0,0,0,1,,Texas Christian,2016
Niko Small,niko-small-1,/cfb/players/niko-small-1.html,S,13,56,27,83,1.5,0.0,2,0,0.0,0,9,0,0,0,1,,Texas Christian,2016
Sammy Douglas,sammy-douglas-1,/cfb/players/sammy-douglas-1.html,LB,13,34,26,60,5.0,0.0,0,0,,0,1,0,0,0,0,,Texas Christian,2016
Aaron Curry,aaron-curry-2,/cfb/players/aaron-curry-2.html,DT,13,28,22,50,9.0,5.5,0,0,,0,0,0,0,0,1,,Texas Christian,2016
Josh Carraway,josh-carraway-1,/cfb/players/josh-carraway-1.html,DE,13,25,24,49,11.0,8.0,0,0,,0,0,0,0,0,1,,Texas Christian,2016
Ranthony Texada,ranthony-texada-1,/cfb/players/ranthony-texada-1.html,CB,13,35,11,46,3.5,2.0,1,28,28.0,1,7,0,0,0,0,,Texas Christian,2016
Jeff Gladney,jeff-gladney-1,/cfb/players/jeff-gladney-1.html,CB,12,30,16,46,0.5,0.0,0,0,,0,6,0,0,0,0,,Texas Christian,2016
James McFarland,james-mcfarland-1,/cfb/players/james-mcfarland-1.html,DE,13,16,19,35,3.5,2.0,0,0,,0,4,0,0,0,0,,Texas Christian,2016
Chris Bradley,chris-bradley-1,/cfb/players/chris-bradley-1.html,DT,13,15,16,31,5.5,3.5,0,0,,0,1,1,0,0,1,,Texas Christian,2016
Mat Boesen,mat-boesen-1,/cfb/players/mat-boesen-1.html,DE,11,18,11,29,8.0,6.0,0,0,,0,1,0,0,0,2,,Texas Christian,2016
Ridwan Issahaku,ridwan-issahaku-1,/cfb/players/ridwan-issahaku-1.html,S,12,13,11,24,1.0,0.0,0,0,,0,1,0,0,0,0,,Texas Christian,2016
Tipa Galeai,tipa-galeai-1,/cfb/players/tipa-galeai-1.html,DE,10,8,16,24,5.5,3.5,0,0,,0,1,2,0,0,1,,Texas Christian,2016
Joseph Broadnax,joseph-broadnax-1,/cfb/players/joseph-broadnax-1.html,DT,12,10,13,23,2.5,1.5,0,0,,0,0,0,0,0,0,,Texas Christian,2016
L.J. Collier,lj-collier-1,/cfb/players/lj-collier-1.html,DT,13,8,13,21,4.5,4.5,0,0,,0,1,0,0,0,0,,Texas Christian,2016
Julius Lewis,julius-lewis-1,/cfb/players/julius-lewis-1.html,CB,6,14,2,16,1.0,1.0,0,0,,0,2,0,0,0,0,,Texas Christian,2016
Michael Downing,michael-downing-1,/cfb/players/michael-downing-1.html,S,13,9,4,13,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas Christian,2016
Deante' Gray,deante-gray-1,/cfb/players/deante-gray-1.html,WR,12,6,5,11,1.0,0.0,0,0,,0,1,0,0,0,0,,Texas Christian,2016
Alec Dunham,alec-dunham-1,/cfb/players/alec-dunham-1.html,LB,12,4,4,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas Christian,2016
