Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jordan Polk,jordan-polk-2,/cfb/players/jordan-polk-2.html,DB,13,36,33,69,5.5,2.0,0,0,,0,2,1,0,0,4,,Texas State,2024
Ryan Nolan,ryan-nolan-3,/cfb/players/ryan-nolan-3.html,S,12,30,22,52,0.5,0.0,0,0,,0,1,2,14,0,0,,Texas State,2024
James Neal,james-neal-1,/cfb/players/james-neal-1.html,LB,13,26,26,52,1.5,0.0,0,0,,0,1,0,0,0,1,,Texas State,2024
Max Harris,max-harris-1,/cfb/players/max-harris-1.html,LB,12,22,22,44,3.0,0.5,0,0,,0,0,0,0,0,1,,Texas State,2024
Brice Bass,brice-bass-1,/cfb/players/brice-bass-1.html,DE,13,20,22,42,7.0,2.5,0,0,,0,1,0,0,0,1,,Texas State,2024
Kalil Alexander,kalil-alexander-1,/cfb/players/kalil-alexander-1.html,DL,13,14,25,39,11.0,6.5,0,0,,0,2,2,0,0,0,,Texas State,2024
Kenny Haynes,kenny-haynes-1,/cfb/players/kenny-haynes-1.html,LB,13,15,19,34,1.5,0.0,0,0,,0,0,1,29,1,0,,Texas State,2024
Ronald Nunnery,ronald-nunnery-1,/cfb/players/ronald-nunnery-1.html,LB,12,13,20,33,3.0,1.0,2,76,38.0,1,2,0,0,0,1,,Texas State,2024
Jo'Laison Landry,jolaison-landry-1,/cfb/players/jolaison-landry-1.html,DL,13,19,14,33,7.5,4.5,0,0,,0,0,0,0,0,2,,Texas State,2024
Chris Mills,chris-mills-2,/cfb/players/chris-mills-2.html,CB,13,26,7,33,3.0,0.5,1,0,0.0,0,8,0,0,0,0,,Texas State,2024
Kaleb Culp,kaleb-culp-1,/cfb/players/kaleb-culp-1.html,S,11,14,15,29,0.5,0.0,0,0,,0,0,1,34,0,1,,Texas State,2024
Steven Parker,steven-parker-4,/cfb/players/steven-parker-4.html,DL,8,15,14,29,9.0,5.0,0,0,,0,1,0,0,0,1,,Texas State,2024
Treylin Payne,treylin-payne-1,/cfb/players/treylin-payne-1.html,LB,13,16,12,28,0.0,0.0,2,17,8.5,0,0,0,0,0,0,,Texas State,2024
DJ Jackson,dj-jackson-3,/cfb/players/dj-jackson-3.html,S,13,14,13,27,0.0,0.0,1,4,4.0,0,1,1,0,0,0,,Texas State,2024
