Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Nico Marley,nico-marley-1,/cfb/players/nico-marley-1.html,LB,12,62,20,82,13.0,1.0,1,7,7.0,0,0,0,0,0,1,,Tulane,2015
Jarrod Franklin,jarrod-franklin-1,/cfb/players/jarrod-franklin-1.html,DB,12,55,19,74,5.0,1.5,0,0,,0,3,1,0,0,0,,Tulane,2015
Darion Monroe,darion-monroe-1,/cfb/players/darion-monroe-1.html,S,11,53,21,74,5.5,0.0,3,14,4.7,0,4,2,8,0,0,,Tulane,2015
Eric Thomas,eric-thomas-5,/cfb/players/eric-thomas-5.html,LB,11,49,18,67,7.5,1.0,0,0,,0,1,0,0,0,1,,Tulane,2015
Tanzel Smart,tanzel-smart-1,/cfb/players/tanzel-smart-1.html,DT,12,42,20,62,15.0,2.0,0,0,,0,0,1,0,0,1,,Tulane,2015
Parry Nickerson,parry-nickerson-1,/cfb/players/parry-nickerson-1.html,CB,12,41,5,46,3.5,0.0,0,0,,0,8,1,48,1,1,,Tulane,2015
Royce Lafrance,royce-lafrance-1,/cfb/players/royce-lafrance-1.html,DE,12,31,12,43,13.5,6.5,0,0,,0,4,0,0,0,1,,Tulane,2015
Rae Juan Marbley,rae-juan-marbley-1,/cfb/players/rae-juan-marbley-1.html,LB,12,29,5,34,0.0,0.0,1,31,31.0,0,0,0,0,0,0,,Tulane,2015
Ade Aruna,ade-aruna-1,/cfb/players/ade-aruna-1.html,DE,12,24,8,32,5.0,3.0,0,0,,0,2,0,0,0,1,,Tulane,2015
Donnie Lewis,donnie-lewis-1,/cfb/players/donnie-lewis-1.html,CB,11,26,4,30,0.0,0.0,0,0,,0,3,0,0,0,0,,Tulane,2015
Sean Wilson,sean-wilson-3,/cfb/players/sean-wilson-3.html,DT,10,21,8,29,6.0,2.0,0,0,,0,1,0,0,0,0,,Tulane,2015
Corey Redwine,corey-redwine-1,/cfb/players/corey-redwine-1.html,DT,11,22,7,29,7.0,3.0,0,0,,0,0,1,0,0,1,,Tulane,2015
Roderic Teamer,roderic-teamer-1,/cfb/players/roderic-teamer-1.html,S,11,15,4,19,1.0,0.0,1,10,10.0,0,3,0,0,0,1,,Tulane,2015
Eric Bowie,eric-bowie-1,/cfb/players/eric-bowie-1.html,LB,11,12,6,18,0.0,0.0,0,0,,0,1,0,0,0,0,,Tulane,2015
Daren Williams,daren-williams-1,/cfb/players/daren-williams-1.html,DE,11,6,12,18,2.0,1.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Richard Allen,richard-allen-2,/cfb/players/richard-allen-2.html,CB,5,16,2,18,0.0,0.0,0,0,,0,4,1,36,0,0,,Tulane,2015
Taris Shenall,taris-shenall-1,/cfb/players/taris-shenall-1.html,CB,12,12,3,15,0.0,0.0,1,5,5.0,0,1,0,0,0,0,,Tulane,2015
Zachery Harris,zachery-harris-1,/cfb/players/zachery-harris-1.html,LB,3,8,4,12,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Tristan Cooper,tristan-cooper-1,/cfb/players/tristan-cooper-1.html,S,7,9,2,11,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Marshall Wadleigh,marshall-wadleigh-1,/cfb/players/marshall-wadleigh-1.html,RB,12,10,0,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Calvin Thomas,calvin-thomas-2,/cfb/players/calvin-thomas-2.html,DT,9,7,2,9,3.0,2.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Malik Eugene,malik-eugene-2,/cfb/players/malik-eugene-2.html,S,11,8,0,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Dedrick Shy,dedrick-shy-1,/cfb/players/dedrick-shy-1.html,CB,6,8,0,8,0.0,0.0,1,33,33.0,0,2,0,0,0,0,,Tulane,2015
Eldrick Washington,eldrick-washington-1,/cfb/players/eldrick-washington-1.html,DT,6,6,2,8,1.0,1.0,0,0,,0,1,0,0,0,0,,Tulane,2015
Robert Kennedy,robert-kennedy-1,/cfb/players/robert-kennedy-1.html,LB,12,4,2,6,1.0,1.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Keeyon Smart,keeyon-smart-1,/cfb/players/keeyon-smart-1.html,T,1,2,2,4,1.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Luke Jackson,luke-jackson-1,/cfb/players/luke-jackson-1.html,DE,12,2,1,3,1.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Rob Kelley,rob-kelley-1,/cfb/players/rob-kelley-1.html,RB,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Arturo Uzdavinis,arturo-uzdavinis-1,/cfb/players/arturo-uzdavinis-1.html,T,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Brian Webb,brian-webb-1,/cfb/players/brian-webb-1.html,DT,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Teddy Veal,teddy-veal-1,/cfb/players/teddy-veal-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Stephon Lofton,stephon-lofton-1,/cfb/players/stephon-lofton-1.html,CB,9,1,0,1,0.0,0.0,0,0,,0,1,0,0,0,0,,Tulane,2015
Sam Davis,sam-davis-1,/cfb/players/sam-davis-1.html,DB,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Eric Bell,eric-bell-1,/cfb/players/eric-bell-1.html,DT,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Rickey Preston,rickey-preston-1,/cfb/players/rickey-preston-1.html,WR,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
John Leglue,john-leglue-1,/cfb/players/john-leglue-1.html,T,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Josh Rounds,josh-rounds-1,/cfb/players/josh-rounds-1.html,RB,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Quinlan Carroll,quinlan-carroll-1,/cfb/players/quinlan-carroll-1.html,DE,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Peter Picerelli,peter-picerelli-1,/cfb/players/peter-picerelli-1.html,P,12,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulane,2015
Devon Breaux,devon-breaux-1,/cfb/players/devon-breaux-1.html,WR,11,0,0,0,0.0,0.0,0,0,,0,0,1,0,0,0,,Tulane,2015
