Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Cooper Edmiston,cooper-edmiston-1,/cfb/players/cooper-edmiston-1.html,LB,12,47,66,113,7.5,0.5,4,34,8.5,0,1,3,0,0,3,,Tulsa,2018
Zaven Collins,zaven-collins-1,/cfb/players/zaven-collins-1.html,LB,12,42,43,85,9.5,1.5,1,0,0.0,0,3,1,0,0,1,,Tulsa,2018
Manny Bunch,manny-bunch-1,/cfb/players/manny-bunch-1.html,S,12,41,39,80,1.5,0.0,0,0,,0,5,0,0,0,0,,Tulsa,2018
McKinley Whitfield,mckinley-whitfield-1,/cfb/players/mckinley-whitfield-1.html,S,12,38,33,71,2.5,0.0,2,39,19.5,0,7,2,0,0,0,,Tulsa,2018
Bryson Powers,bryson-powers-1,/cfb/players/bryson-powers-1.html,S,12,34,29,63,0.0,0.0,0,0,,0,4,1,0,0,1,,Tulsa,2018
Diamon Cannon,diamon-cannon-1,/cfb/players/diamon-cannon-1.html,LB,12,20,32,52,3.0,1.0,0,0,,0,3,0,0,0,0,,Tulsa,2018
Trevis Gipson,trevis-gipson-1,/cfb/players/trevis-gipson-1.html,DE,12,29,17,46,9.0,4.0,0,0,,0,1,0,0,0,5,,Tulsa,2018
Allie Green IV,allie-green-iv-1,/cfb/players/allie-green-iv-1.html,CB,11,23,13,36,2.0,0.0,0,0,,0,3,0,0,0,1,,Tulsa,2018
Shemarr Robinson,shemarr-robinson-1,/cfb/players/shemarr-robinson-1.html,DT,10,10,21,31,2.0,0.0,0,0,,0,0,2,5,0,0,,Tulsa,2018
Cullen Wick,cullen-wick-1,/cfb/players/cullen-wick-1.html,DE,12,13,16,29,5.0,2.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Tieneal Martin,tieneal-martin-1,/cfb/players/tieneal-martin-1.html,LB,12,14,14,28,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Tyarise Stevenson,tyarise-stevenson-1,/cfb/players/tyarise-stevenson-1.html,DT,12,12,13,25,4.0,1.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Myles Mouton,myles-mouton-1,/cfb/players/myles-mouton-1.html,DE,12,11,14,25,3.0,1.0,0,0,,0,0,0,0,0,1,,Tulsa,2018
Akayleb Evans,akayleb-evans-1,/cfb/players/akayleb-evans-1.html,DB,9,13,8,21,1.0,0.0,0,0,,0,4,0,0,0,0,,Tulsa,2018
Keanu Hill,keanu-hill-1,/cfb/players/keanu-hill-1.html,CB,11,14,6,20,0.0,0.0,2,0,0.0,0,3,0,0,0,0,,Tulsa,2018
Reginald Robinson II,reginald-robinson-iii-1,/cfb/players/reginald-robinson-iii-1.html,,8,13,6,19,0.0,0.0,0,0,,0,5,0,0,0,0,,Tulsa,2018
Reginald Robinson II,reginald-robinson-ii-1,/cfb/players/reginald-robinson-ii-1.html,CB,5,13,6,19,0.0,0.0,0,0,,0,5,0,0,0,0,,Tulsa,2018
Jordan Mitchell,jordan-mitchell-2,/cfb/players/jordan-mitchell-2.html,S,9,8,7,15,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Jaxon Player,jaxon-player-1,/cfb/players/jaxon-player-1.html,DT,11,5,9,14,0.5,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Treyvon Reeves,treyvon-reeves-1,/cfb/players/treyvon-reeves-1.html,LB,11,8,5,13,1.0,1.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Cristian Williams,cristian-williams-1,/cfb/players/cristian-williams-1.html,S,2,8,4,12,1.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Grant Sawyer,grant-sawyer-1,/cfb/players/grant-sawyer-1.html,LB,12,8,3,11,2.0,0.0,0,0,,0,0,1,0,0,0,,Tulsa,2018
Samuel Gottsch,samuel-gottsch-1,/cfb/players/samuel-gottsch-1.html,DB,12,7,3,10,0.0,0.0,0,0,,0,1,0,0,0,0,,Tulsa,2018
Jabari James,jabari-james-1,/cfb/players/jabari-james-1.html,CB,3,2,7,9,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Brandon Johnson,brandon-johnson-12,/cfb/players/brandon-johnson-12.html,S,12,6,3,9,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Robert Revels III,robert-revels-iii-1,/cfb/players/robert-revels-iii-1.html,LB,2,4,4,8,0.5,0.0,0,0,,0,0,1,0,0,0,,Tulsa,2018
Jacob Pugh,jacob-pugh-2,/cfb/players/jacob-pugh-2.html,DT,9,5,3,8,1.5,1.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Jajuan Blankenship,jajuan-blankenship-1,/cfb/players/jajuan-blankenship-1.html,DT,7,5,3,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Cole Neph,cole-neph-1,/cfb/players/cole-neph-1.html,TE,12,2,4,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Keylon Stokes,keylon-stokes-1,/cfb/players/keylon-stokes-1.html,WR,12,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Deven Lamp,deven-lamp-1,/cfb/players/deven-lamp-1.html,DE,12,2,2,4,2.0,1.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Garrett Flanary,garrett-flanary-1,/cfb/players/garrett-flanary-1.html,DT,3,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Daiquain Jackson,daiquain-jackson-1,/cfb/players/daiquain-jackson-1.html,S,10,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Sam Crawford Jr.,sam-crawford-jr-1,/cfb/players/sam-crawford-jr-1.html,WR,11,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Keenen Johnson,keenen-johnson-1,/cfb/players/keenen-johnson-1.html,WR,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Justin Hobbs,justin-hobbs-1,/cfb/players/justin-hobbs-1.html,WR,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Montray Norris,montray-norris-1,/cfb/players/montray-norris-1.html,CB,9,0,2,2,0.5,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
John Parker Romo,john-parker-romo-1,/cfb/players/john-parker-romo-1.html,PK,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
T.K. Wilkerson,tk-wilkerson-1,/cfb/players/tk-wilkerson-1.html,RB,3,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Javon Thomas,javon-thomas-1,/cfb/players/javon-thomas-1.html,RB,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Forrest Harrell III,forrest-harrell-iii-1,/cfb/players/forrest-harrell-iii-1.html,LB,2,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Adam Higuera,adam-higuera-1,/cfb/players/adam-higuera-1.html,LS,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Chris Minter,chris-minter-1,/cfb/players/chris-minter-1.html,TE,7,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Tom Bennett,tom-bennett-1,/cfb/players/tom-bennett-1.html,P,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Dalton May,dalton-may-1,/cfb/players/dalton-may-1.html,TE,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Christopher Ivy,christopher-ivy-1,/cfb/players/christopher-ivy-1.html,OL,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Reed Martin,reed-martin-1,/cfb/players/reed-martin-1.html,RB,8,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Marcus Mays,marcus-mays-2,/cfb/players/marcus-mays-2.html,,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Malik Welch,malik-welch-1,/cfb/players/malik-welch-1.html,CB,3,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Justin Wright,justin-wright-1,/cfb/players/justin-wright-1.html,LB,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
Jarion Anderson,jarion-anderson-1,/cfb/players/jarion-anderson-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
David Fitzwater,david-fitzwater-1,/cfb/players/david-fitzwater-1.html,TE,11,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tulsa,2018
