Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Chris Woolbright,chris-woolbright-1,/cfb/players/chris-woolbright-1.html,LB,14,47,36,83,13.5,2.0,2,33,16.5,1,3,0,0,0,0,,UAB,2018
Fitzgerald Mofor,fitzgerald-mofor-1,/cfb/players/fitzgerald-mofor-1.html,LB,14,42,33,75,7.5,1.5,0,0,,0,0,1,0,0,0,,UAB,2018
Broderick Thomas,broderick-thomas-2,/cfb/players/broderick-thomas-2.html,S,14,51,18,69,3.0,1.0,0,0,,0,3,1,0,0,1,,UAB,2018
Mar'Sean Diggs,marsean-diggs-1,/cfb/players/marsean-diggs-1.html,S,14,44,16,60,1.5,0.0,2,0,0.0,0,4,1,0,0,0,,UAB,2018
Kristopher Moll,kristopher-moll-1,/cfb/players/kristopher-moll-1.html,LB,14,40,14,54,7.5,2.0,1,8,8.0,0,4,0,0,0,2,,UAB,2018
Anthony Rush,anthony-rush-1,/cfb/players/anthony-rush-1.html,DL,14,26,17,43,11.0,2.0,0,0,,0,1,0,0,0,2,,UAB,2018
Jamell Garcia-Williams,jamell-garcia-williams-1,/cfb/players/jamell-garcia-williams-1.html,DL,14,29,14,43,15.5,9.5,0,0,,0,4,1,0,0,0,,UAB,2018
Tre' Crawford,tre-crawford-1,/cfb/players/tre-crawford-1.html,LB,12,32,10,42,12.5,8.0,0,0,,0,0,2,0,0,0,,UAB,2018
Quindarius Thagard,quindarius-thagard-1,/cfb/players/quindarius-thagard-1.html,DL,14,23,14,37,7.0,4.0,0,0,,0,1,0,0,0,0,,UAB,2018
Brontae Harris,brontae-harris-1,/cfb/players/brontae-harris-1.html,CB,12,29,5,34,3.0,0.0,2,-2,-1.0,0,11,0,0,0,0,,UAB,2018
Duke Culver,duke-culver-1,/cfb/players/duke-culver-1.html,CB,14,18,7,25,2.0,0.0,0,0,,0,3,0,0,0,0,,UAB,2018
Garrett Marino,garrett-marino-1,/cfb/players/garrett-marino-1.html,DL,13,10,9,19,6.5,3.5,0,0,,0,0,1,48,1,0,,UAB,2018
