Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Nate Evans,nate-evans-1,/cfb/players/nate-evans-1.html,LB,13,69,43,112,13.0,1.0,0,0,,0,4,1,0,0,0,,UCF,2019
Richie Grant,richie-grant-1,/cfb/players/richie-grant-1.html,DB,12,47,31,78,4.0,0.0,1,39,39.0,1,8,0,0,0,1,,UCF,2019
Eriq Gilyard,eriq-gilyard-1,/cfb/players/eriq-gilyard-1.html,LB,13,41,36,77,5.0,0.0,1,14,14.0,0,0,0,0,0,0,,UCF,2019
Eric Mitchell,eric-mitchell-2,/cfb/players/eric-mitchell-2.html,LB,13,42,35,77,11.0,3.0,0,0,,0,3,1,0,0,1,,UCF,2019
Antwan Collier,antwan-collier-1,/cfb/players/antwan-collier-1.html,DB,13,50,24,74,3.5,1.0,4,80,20.0,0,6,2,0,0,0,,UCF,2019
Aaron Robinson,aaron-robinson-2,/cfb/players/aaron-robinson-2.html,DB,13,38,16,54,5.5,0.0,3,40,13.3,0,10,0,0,0,1,,UCF,2019
Kenny Turnier,kenny-turnier-2,/cfb/players/kenny-turnier-2.html,DL,13,21,21,42,13.5,3.5,0,0,,0,0,0,0,0,0,,UCF,2019
Tay Gowan,tay-gowan-1,/cfb/players/tay-gowan-1.html,DB,12,22,9,31,1.0,0.0,2,18,9.0,0,8,1,0,0,0,,UCF,2019
Randy Charlton,randy-charlton-1,/cfb/players/randy-charlton-1.html,DL,10,12,16,28,3.5,1.0,0,0,,0,0,0,0,0,0,,UCF,2019
Kalia Davis,kalia-davis-1,/cfb/players/kalia-davis-1.html,DL,13,14,13,27,8.0,3.0,0,0,,0,1,1,0,0,1,,UCF,2019
Tre'mon Morris-Brash,tremon-morris-brash-1,/cfb/players/tremon-morris-brash-1.html,DL,13,14,11,25,9.0,3.0,0,0,,0,0,1,55,1,1,,UCF,2019
Anthony Montalvo,anthony-montalvo-1,/cfb/players/anthony-montalvo-1.html,DL,12,13,11,24,5.0,2.0,0,0,,0,0,0,0,0,0,,UCF,2019
Zamari Maxwell,zamari-maxwell-1,/cfb/players/zamari-maxwell-1.html,DB,13,14,8,22,1.0,0.0,0,0,,0,4,0,0,0,0,,UCF,2019
Nevelle Clarke,nevelle-clarke-1,/cfb/players/nevelle-clarke-1.html,DB,11,22,0,22,1.0,0.0,2,48,24.0,1,11,0,0,0,0,,UCF,2019
Brendon Hayes,brendon-hayes-1,/cfb/players/brendon-hayes-1.html,DL,12,15,5,20,10.0,7.5,0,0,,0,2,0,0,0,1,,UCF,2019
Tatum Bethune,tatum-bethune-1,/cfb/players/tatum-bethune-1.html,LB,11,15,5,20,0.5,0.0,0,0,,0,1,0,0,0,1,,UCF,2019
Stephon Zayas,stephon-zayas-1,/cfb/players/stephon-zayas-1.html,DL,13,9,9,18,1.0,1.0,0,0,,0,0,1,0,0,1,,UCF,2019
Derek Gainous,derek-gainous-1,/cfb/players/derek-gainous-1.html,DB,12,7,10,17,0.0,0.0,0,0,,0,0,0,0,0,0,,UCF,2019
Jordan Hayes,jordan-hayes-1,/cfb/players/jordan-hayes-1.html,DB,11,11,6,17,1.0,0.0,0,0,,0,1,0,0,0,0,,UCF,2019
Landon Woodson,landon-woodson-1,/cfb/players/landon-woodson-1.html,DL,9,9,6,15,3.5,2.0,0,0,,0,0,0,0,0,0,,UCF,2019
Jeremiah Jean-Baptiste,jeremiah-jean-baptiste-1,/cfb/players/jeremiah-jean-baptiste-1.html,LB,12,11,1,12,2.0,0.0,0,0,,0,1,0,0,0,0,,UCF,2019
Chris DeLoach,chris-deloach-1,/cfb/players/chris-deloach-1.html,DL,12,4,8,12,2.0,0.0,0,0,,0,1,0,0,0,0,,UCF,2019
Noah Hancock,noah-hancock-1,/cfb/players/noah-hancock-1.html,DL,11,4,7,11,3.5,1.5,0,0,,0,1,0,0,0,0,,UCF,2019
Dyllon Lester,dyllon-lester-1,/cfb/players/dyllon-lester-1.html,DB,12,9,2,11,0.0,0.0,0,0,,0,2,0,0,0,0,,UCF,2019
Mason Cholewa,mason-cholewa-1,/cfb/players/mason-cholewa-1.html,DL,10,3,8,11,4.0,1.5,0,0,,0,0,0,0,0,0,,UCF,2019
Cam Goode,cam-goode-1,/cfb/players/cam-goode-1.html,DL,10,2,7,9,0.5,0.0,0,0,,0,0,0,0,0,0,,UCF,2019
Josh Kelly,josh-kelly-1,/cfb/players/josh-kelly-1.html,DB,13,7,1,8,0.0,0.0,0,0,,0,0,0,0,0,0,,UCF,2019
Shawn Burgess-Becker,shawn-burgess-becker-1,/cfb/players/shawn-burgess-becker-1.html,LB,9,6,1,7,2.0,0.0,0,0,,0,0,0,0,0,1,,UCF,2019
Jon Powell,jon-powell-1,/cfb/players/jon-powell-1.html,DB,11,5,2,7,0.0,0.0,0,0,,0,0,0,0,0,0,,UCF,2019
Brandon Wilson,brandon-wilson-5,/cfb/players/brandon-wilson-5.html,DL,8,0,6,6,1.0,0.0,0,0,,0,0,0,0,0,0,,UCF,2019
Jalen Pinkney,jalen-pinkney-1,/cfb/players/jalen-pinkney-1.html,DL,4,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,UCF,2019
