Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
JonJon Vaughns,jonjon-vaughns-1,/cfb/players/jonjon-vaughns-1.html,LB,12,46,61,107,6.0,1.0,0,0,,0,1,1,0,0,0,,UCLA,2025
Isaiah Chisom,isaiah-chisom-1,/cfb/players/isaiah-chisom-1.html,LB,12,40,44,84,2.5,0.0,0,0,,0,1,0,0,0,2,,UCLA,2025
Key Lawrence,key-lawrence-1,/cfb/players/key-lawrence-1.html,DB,12,44,26,70,4.0,0.0,1,27,27.0,0,2,0,0,0,2,,UCLA,2025
Cole Martin,cole-martin-1,/cfb/players/cole-martin-1.html,DB,12,31,34,65,3.5,0.0,1,27,27.0,0,3,0,0,0,0,,UCLA,2025
Jalen Woods,jalen-woods-1,/cfb/players/jalen-woods-1.html,LB,12,28,19,47,4.5,1.5,0,0,,0,4,0,0,0,0,,UCLA,2025
Scooter Jackson,scooter-jackson-1,/cfb/players/scooter-jackson-1.html,DB,12,31,13,44,1.0,0.0,2,9,4.5,0,3,0,0,0,1,,UCLA,2025
Keanu Williams,keanu-williams-1,/cfb/players/keanu-williams-1.html,DL,12,17,22,39,0.0,0.0,0,0,,0,1,0,0,0,0,,UCLA,2025
Gary Smith III,gary-smith-iii-1,/cfb/players/gary-smith-iii-1.html,DL,12,18,21,39,1.5,0.5,0,0,,0,0,0,0,0,0,,UCLA,2025
Rodrick Pleasant,rodrick-pleasant-1,/cfb/players/rodrick-pleasant-1.html,DB,10,22,14,36,1.5,0.0,0,0,,0,7,1,0,0,0,,UCLA,2025
Kechaun Bennett,kechaun-bennett-1,/cfb/players/kechaun-bennett-1.html,DE,11,11,14,25,3.0,1.0,0,0,,0,0,0,0,0,0,,UCLA,2025
