Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Su'A Cravens,sua-cravens-1,/cfb/players/sua-cravens-1.html,S,14,46,40,86,15.0,5.5,2,32,16.0,0,6,0,0,0,2,,USC,2015
Cameron Smith,cameron-smith-3,/cfb/players/cameron-smith-3.html,LB,10,48,30,78,1.0,1.0,3,122,40.7,1,3,1,0,0,0,,USC,2015
Chris Hawkins,chris-hawkins-4,/cfb/players/chris-hawkins-4.html,CB,14,40,30,70,1.5,0.0,2,20,10.0,0,0,2,94,1,0,,USC,2015
Iman Marshall,iman-marshall-1,/cfb/players/iman-marshall-1.html,CB,14,39,28,67,0.0,0.0,3,15,5.0,0,9,0,0,0,0,,USC,2015
Anthony Sarao,anthony-sarao-1,/cfb/players/anthony-sarao-1.html,LB,14,32,27,59,5.0,3.0,0,0,,0,0,0,0,0,0,,USC,2015
Delvon Simmons,delvon-simmons-1,/cfb/players/delvon-simmons-1.html,DT,14,32,25,57,10.5,4.0,0,0,,0,2,0,0,0,2,,USC,2015
Greg Townsend Jr.,greg-townsend-jr-1,/cfb/players/greg-townsend-jr-1.html,DE,14,20,24,44,7.0,3.0,0,0,,0,0,0,0,0,0,,USC,2015
Antwaun Woods,antwaun-woods-1,/cfb/players/antwaun-woods-1.html,DT,13,16,25,41,7.0,3.0,0,0,,0,0,1,0,0,0,,USC,2015
Olajuwon Tucker,olajuwon-tucker-1,/cfb/players/olajuwon-tucker-1.html,LB,8,24,16,40,3.5,2.5,0,0,,0,0,0,0,0,0,,USC,2015
Marvell Tell III,marvell-tell-iii-1,/cfb/players/marvell-tell-iii-1.html,S,10,19,17,36,1.0,0.0,0,0,,0,4,0,0,0,0,,USC,2015
Adoree Jackson,adoree-jackson-1,/cfb/players/adoree-jackson-1.html,CB,14,23,12,35,0.0,0.0,1,46,46.0,1,8,0,0,0,1,,USC,2015
John Plattenburg,john-plattenburg-1,/cfb/players/john-plattenburg-1.html,CB,13,23,11,34,3.5,1.0,2,22,11.0,0,0,0,0,0,0,,USC,2015
Uchenna Nwosu,uchenna-nwosu-1,/cfb/players/uchenna-nwosu-1.html,LB,14,14,17,31,1.5,0.0,0,0,,0,1,0,0,0,0,,USC,2015
Lamar Dawson,lamar-dawson-1,/cfb/players/lamar-dawson-1.html,LB,8,15,16,31,1.0,0.5,0,0,,0,2,0,0,0,1,,USC,2015
Scott Felix,scott-felix-1,/cfb/players/scott-felix-1.html,LB,14,15,13,28,5.5,4.0,0,0,,0,0,1,0,0,0,,USC,2015
Claude Pelon,claude-pelon-1,/cfb/players/claude-pelon-1.html,DT,10,12,14,26,2.5,1.5,0,0,,0,0,0,0,0,1,,USC,2015
Osa Masina,osa-masina-1,/cfb/players/osa-masina-1.html,LB,12,17,8,25,1.5,0.0,0,0,,0,0,1,46,1,0,,USC,2015
Porter Gustin,porter-gustin-1,/cfb/players/porter-gustin-1.html,LB,14,14,11,25,6.5,5.5,0,0,,0,0,0,0,0,0,,USC,2015
Kevon Seymour,kevon-seymour-1,/cfb/players/kevon-seymour-1.html,CB,11,18,6,24,1.0,0.0,1,27,27.0,0,0,0,0,0,0,,USC,2015
Noah Jefferson,noah-jefferson-1,/cfb/players/noah-jefferson-1.html,DT,14,12,11,23,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Rasheem Green,rasheem-green-1,/cfb/players/rasheem-green-1.html,DE,14,6,13,19,1.0,0.5,0,0,,0,0,1,31,1,0,,USC,2015
Johathan Lockett,johathan-lockett-1,/cfb/players/johathan-lockett-1.html,CB,12,17,1,18,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Leon McQuay III,leon-mcquay-iii-1,/cfb/players/leon-mcquay-iii-1.html,S,9,10,8,18,1.5,0.0,0,0,,0,3,1,0,0,1,,USC,2015
Matt Lopes,matt-lopes-1,/cfb/players/matt-lopes-1.html,S,9,8,6,14,1.5,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Michael Hutchings,michael-hutchings-1,/cfb/players/michael-hutchings-1.html,LB,12,5,8,13,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Isaiah Langley,isaiah-langley-1,/cfb/players/isaiah-langley-1.html,CB,12,8,5,13,0.0,0.0,0,0,,0,1,0,0,0,0,,USC,2015
Soma Vainuku,soma-vainuku-1,/cfb/players/soma-vainuku-1.html,FB,14,7,6,13,0.0,0.0,0,0,,0,0,1,0,0,0,,USC,2015
Quinton Powell,quinton-powell-1,/cfb/players/quinton-powell-1.html,LB,13,6,6,12,0.0,0.0,0,0,,0,0,0,0,0,1,,USC,2015
Jabari Ruffin,jabari-ruffin-1,/cfb/players/jabari-ruffin-1.html,LB,14,3,8,11,0.0,0.0,0,0,,0,0,0,0,0,1,,USC,2015
Kenny Bigelow,kenny-bigelow-1,/cfb/players/kenny-bigelow-1.html,DT,13,7,3,10,3.0,3.0,0,0,,0,1,0,0,0,0,,USC,2015
Don Hill,don-hill-2,/cfb/players/don-hill-2.html,LB,5,3,4,7,0.5,0.0,0,0,,0,0,0,0,0,0,,USC,2015
James Toland IV,james-toland-iv-1,/cfb/players/james-toland-iv-1.html,RB,10,0,6,6,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
George Katrib,george-katrib-1,/cfb/players/george-katrib-1.html,WR,14,5,1,6,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Ruben Peters,ruben-peters-1,/cfb/players/ruben-peters-1.html,LB,6,1,5,6,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Cody Temple,cody-temple-1,/cfb/players/cody-temple-1.html,DT,14,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Matt Boermeester,matt-boermeester-1,/cfb/players/matt-boermeester-1.html,K,4,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Jacob Daniel,jacob-daniel-1,/cfb/players/jacob-daniel-1.html,DT,3,0,3,3,0.0,0.0,0,0,,0,1,0,0,0,0,,USC,2015
Alex Wood,alex-wood-2,/cfb/players/alex-wood-2.html,K,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Malik Dorton,malik-dorton-1,/cfb/players/malik-dorton-1.html,LB,2,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Kris Albarado,kris-albarado-1,/cfb/players/kris-albarado-1.html,P,14,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Kevin Scott,kevin-scott-4,/cfb/players/kevin-scott-4.html,DE,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
JuJu Smith-Schuster,juju-smith-1,/cfb/players/juju-smith-1.html,WR,14,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Joel Foy,joel-foy-1,/cfb/players/joel-foy-1.html,LB,7,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Grant Moore,grant-moore-1,/cfb/players/grant-moore-1.html,LB,2,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Dominic Davis,dominic-davis-1,/cfb/players/dominic-davis-1.html,WR,14,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
De'Quan Hampton,dequan-hampton-1,/cfb/players/dequan-hampton-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Damien Mama,damien-mama-1,/cfb/players/damien-mama-1.html,G,14,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Cody Kessler,cody-kessler-1,/cfb/players/cody-kessler-1.html,QB,14,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
Zach Banner,zach-banner-1,/cfb/players/zach-banner-1.html,T,14,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,USC,2015
