Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
AJ Vongphachanh,aj-vongphachanh-1,/cfb/players/aj-vongphachanh-1.html,LB,6,27,23,50,3.5,3.0,0,0,,0,1,0,0,0,1,,Utah State,2020
Shaq Bond,shaq-bond-1,/cfb/players/shaq-bond-1.html,S,6,36,11,47,6.0,0.0,1,11,11.0,0,3,0,0,0,0,,Utah State,2020
Nick Heninger,nick-heninger-1,/cfb/players/nick-heninger-1.html,LB,6,15,27,42,7.0,3.0,0,0,,0,0,0,0,0,3,,Utah State,2020
Kevin Meitzenheimer,kevin-meitzenheimer-1,/cfb/players/kevin-meitzenheimer-1.html,LB,5,13,24,37,3.5,0.5,0,0,,0,0,0,0,0,0,,Utah State,2020
Zahodri Jackson,zahodri-jackson-1,/cfb/players/zahodri-jackson-1.html,CB,5,14,6,20,0.0,0.0,0,0,,0,2,0,0,0,0,,Utah State,2020
Cam Lampkin,cam-lampkin-1,/cfb/players/cam-lampkin-1.html,CB,6,14,6,20,2.0,1.0,0,0,,0,2,0,0,0,0,,Utah State,2020
Cash Gilliam,cash-gilliam-1,/cfb/players/cash-gilliam-1.html,LB,3,7,13,20,2.5,1.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Marcus Moore,marcus-moore-2,/cfb/players/marcus-moore-2.html,DL,5,16,4,20,2.5,2.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Dominic Tatum,dominic-tatum-1,/cfb/players/dominic-tatum-1.html,S,6,13,6,19,0.5,0.0,0,0,,0,2,0,0,0,0,,Utah State,2020
Jared Reed,jared-reed-1,/cfb/players/jared-reed-1.html,S,5,10,8,18,1.0,1.0,0,0,,0,1,0,0,0,0,,Utah State,2020
Elijah Shelton,elijah-shelton-1,/cfb/players/elijah-shelton-1.html,LB,5,9,6,15,3.5,2.0,0,0,,0,1,0,0,0,0,,Utah State,2020
Ritisoni Fata,ritisoni-fata-1,/cfb/players/ritisoni-fata-1.html,DL,4,10,5,15,1.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Troy Lefeged Jr.,troy-lefeged-jr-1,/cfb/players/troy-lefeged-jr-1.html,S,2,10,3,13,0.0,0.0,0,0,,0,1,0,0,0,0,,Utah State,2020
Troy Lefeged Jr.,troy-lefeged-jr-2,/cfb/players/troy-lefeged-jr-2.html,,2,10,3,13,0.0,0.0,0,0,,0,1,0,0,0,0,,Utah State,2020
Justus Te'i,justus-tei-1,/cfb/players/justus-tei-1.html,DL,6,6,7,13,2.5,1.5,0,0,,0,0,0,0,0,0,,Utah State,2020
Andre Grayson,andre-grayson-1,/cfb/players/andre-grayson-1.html,CB,4,6,4,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Kina Maile,kina-maile-1,/cfb/players/kina-maile-1.html,LB,4,5,4,9,0.0,0.0,0,0,,0,0,1,16,1,0,,Utah State,2020
James Hansen,james-hansen-1,/cfb/players/james-hansen-1.html,DL,5,1,8,9,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Hale Motu'apuaka,hale-motuapuaka-1,/cfb/players/hale-motuapuaka-1.html,DL,6,2,6,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Jakob Robinson,jakob-robinson-1,/cfb/players/jakob-robinson-1.html,CB,4,6,2,8,1.0,1.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Ajani Carter,ajani-carter-1,/cfb/players/ajani-carter-1.html,WR,5,3,4,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Izzy Vaifo'ou,izzy-vaifoou-1,/cfb/players/izzy-vaifoou-1.html,LB,4,4,3,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Jarrod Green,jarrod-green-2,/cfb/players/jarrod-green-2.html,CB,4,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Kaleo Neves,kaleo-neves-1,/cfb/players/kaleo-neves-1.html,LB,6,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Jake Pitcher,jake-pitcher-1,/cfb/players/jake-pitcher-1.html,DL,6,2,2,4,0.0,0.0,0,0,,0,0,1,0,0,0,,Utah State,2020
Eric Munoz,eric-munoz-1,/cfb/players/eric-munoz-1.html,LB,2,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Xavion Steele,xavion-steele-1,/cfb/players/xavion-steele-1.html,CB,6,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Luke Marion,luke-marion-1,/cfb/players/luke-marion-1.html,S,3,2,1,3,0.0,0.0,1,0,0.0,0,1,0,0,0,0,,Utah State,2020
Michael Anyanwu,michael-anyanwu-1,/cfb/players/michael-anyanwu-1.html,CB,6,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Brandon Pada,brandon-pada-1,/cfb/players/brandon-pada-1.html,LS,6,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Broc Lane,broc-lane-1,/cfb/players/broc-lane-1.html,TE,6,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Taylor Compton,taylor-compton-1,/cfb/players/taylor-compton-1.html,WR,5,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Jaylin Bannerman,jaylin-bannerman-1,/cfb/players/jaylin-bannerman-1.html,DL,3,2,0,2,1.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Poukesi Vakauta,poukesi-vakauta-1,/cfb/players/poukesi-vakauta-1.html,DL,1,0,1,1,0.5,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Devonta'e Henry-Cole,devontae-henry-cole-1,/cfb/players/devontae-henry-cole-1.html,RB,5,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Mata Hola,mata-hola-1,/cfb/players/mata-hola-1.html,LB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Derek Wright,derek-wright-2,/cfb/players/derek-wright-2.html,WR,6,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Jacob South,jacob-south-1,/cfb/players/jacob-south-1.html,OL,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
Justin McGriff,justin-mcgriff-1,/cfb/players/justin-mcgriff-1.html,WR,6,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2020
