Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Dimitri Moore,dimitri-moore-2,/cfb/players/dimitri-moore-2.html,,12,48,51,99,6.0,0.5,0,0,,0,3,0,0,0,0,,Vanderbilt,2019
Dimitri Moore,dimitri-moore-1,/cfb/players/dimitri-moore-1.html,LB,12,48,51,99,6.0,0.5,0,0,,0,3,0,0,0,0,,Vanderbilt,2019
Dashaun Jerkins,dashaun-jerkins-1,/cfb/players/dashaun-jerkins-1.html,S,11,34,24,58,0.5,0.0,0,0,,0,2,1,12,0,0,,Vanderbilt,2019
Tae Daley,tae-daley-1,/cfb/players/tae-daley-1.html,DB,10,35,22,57,0.0,0.0,3,20,6.7,0,2,0,0,0,1,,Vanderbilt,2019
Brendon Harris,brendon-harris-1,/cfb/players/brendon-harris-1.html,DB,10,32,19,51,1.0,0.0,0,0,,0,2,0,0,0,0,,Vanderbilt,2019
Feleti Afemui,feleti-afemui-1,/cfb/players/feleti-afemui-1.html,LB,10,13,32,45,1.5,0.0,0,0,,0,0,0,0,0,1,,Vanderbilt,2019
Dayo Odeyingbo,dayo-odeyingbo-1,/cfb/players/dayo-odeyingbo-1.html,DL,12,20,25,45,12.0,1.5,0,0,,0,0,0,0,0,0,,Vanderbilt,2019
Andre Mintze,andre-mintze-1,/cfb/players/andre-mintze-1.html,LB,12,23,17,40,7.5,4.5,0,0,,0,0,0,0,0,1,,Vanderbilt,2019
Allan George,allen-george-1,/cfb/players/allen-george-1.html,DB,12,26,13,39,4.0,2.0,1,0,0.0,0,5,1,67,1,0,,Vanderbilt,2019
Kenny Hebert,kenny-hebert-1,/cfb/players/kenny-hebert-1.html,LB,11,19,15,34,7.0,2.0,0,0,,0,2,0,0,0,0,,Vanderbilt,2019
Cameron Tidd,cameron-tidd-1,/cfb/players/cameron-tidd-1.html,DL,12,12,21,33,2.5,1.5,0,0,,0,0,0,0,0,0,,Vanderbilt,2019
BJ Anderson,bj-anderson-1,/cfb/players/bj-anderson-1.html,DB,12,22,8,30,0.5,0.0,0,0,,0,2,0,0,0,0,,Vanderbilt,2019
Caleb Peart,caleb-peart-1,/cfb/players/caleb-peart-1.html,LB,12,15,14,29,3.0,1.0,0,0,,0,0,0,0,0,0,,Vanderbilt,2019
Elijah McAllister,elijah-mcallister-1,/cfb/players/elijah-mcallister-1.html,LB,12,15,11,26,4.5,2.5,0,0,,0,1,2,0,1,1,,Vanderbilt,2019
Cameron Watkins,cameron-watkins-1,/cfb/players/cameron-watkins-1.html,DB,12,16,7,23,1.0,0.0,0,0,,0,2,0,0,0,0,,Vanderbilt,2019
Brayden DeVault-Smith,brayden-devault-smith-1,/cfb/players/brayden-devault-smith-1.html,LB,11,13,10,23,0.0,0.0,0,0,,0,0,0,0,0,0,,Vanderbilt,2019
