Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Micah Kiser,micah-kiser-1,/cfb/players/micah-kiser-1.html,LB,12,65,69,134,10.0,6.5,1,7,7.0,0,7,2,0,0,5,,Virginia,2016
Quin Blanding,quin-blanding-1,/cfb/players/quin-blanding-1.html,S,12,70,50,120,2.0,0.0,2,30,15.0,0,6,1,0,0,0,,Virginia,2016
Kelvin Rainey,kelvin-rainey-1,/cfb/players/kelvin-rainey-1.html,S,12,46,26,72,3.0,0.0,0,0,,0,1,0,0,0,0,,Virginia,2016
Zach Bradshaw,zach-bradshaw-1,/cfb/players/zach-bradshaw-1.html,LB,12,23,39,62,5.0,1.5,0,0,,0,4,0,0,0,2,,Virginia,2016
Chris Peace,chris-peace-1,/cfb/players/chris-peace-1.html,DE,12,24,29,53,6.5,2.0,0,0,,0,2,0,0,0,0,,Virginia,2016
Donte Wilkins,donte-wilkins-1,/cfb/players/donte-wilkins-1.html,DT,12,15,32,47,2.0,0.0,0,0,,0,0,0,0,0,1,,Virginia,2016
Juan Thornhill,juan-thornhill-1,/cfb/players/juan-thornhill-1.html,S,12,29,16,45,3.0,1.0,3,32,10.7,0,7,0,0,0,1,,Virginia,2016
Jordan Mack,jordan-mack-1,/cfb/players/jordan-mack-1.html,DB,12,19,21,40,4.0,1.5,0,0,,0,0,0,0,0,2,,Virginia,2016
Andrew Brown,andrew-brown-2,/cfb/players/andrew-brown-2.html,DE,12,19,19,38,13.0,6.0,0,0,,0,2,1,0,0,0,,Virginia,2016
Eli Hanback,eli-hanback-1,/cfb/players/eli-hanback-1.html,DE,12,16,20,36,4.5,1.0,0,0,,0,0,1,0,1,0,,Virginia,2016
Matt Terrell,matt-terrell-1,/cfb/players/matt-terrell-1.html,LB,9,14,15,29,2.5,0.5,0,0,,0,0,1,0,0,0,,Virginia,2016
Bryce Hall,bryce-hall-1,/cfb/players/bryce-hall-1.html,DB,12,17,8,25,0.0,0.0,2,-4,-2.0,0,4,1,0,0,0,,Virginia,2016
Landan Word,landan-word-1,/cfb/players/landan-word-1.html,LB,11,14,7,21,3.0,2.0,0,0,,0,1,1,0,0,0,,Virginia,2016
Kirk Garner,kirk-garner-1,/cfb/players/kirk-garner-1.html,CB,8,9,6,15,1.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2016
Chris Moore,chris-moore-6,/cfb/players/chris-moore-6.html,DB,11,5,9,14,1.0,0.0,0,0,,0,2,0,0,0,0,,Virginia,2016
Kareem Gibson,kareem-gibson-1,/cfb/players/kareem-gibson-1.html,CB,6,10,4,14,0.0,0.0,1,5,5.0,0,1,0,0,0,0,,Virginia,2016
Jack Powers,jack-powers-1,/cfb/players/jack-powers-1.html,DE,12,2,11,13,0.5,0.5,0,0,,0,3,0,0,0,0,,Virginia,2016
Mark Hall,mark-hall-1,/cfb/players/mark-hall-1.html,DE,12,2,10,12,2.0,1.0,0,0,,0,2,0,0,0,0,,Virginia,2016
Myles Robinson,myles-robinson-1,/cfb/players/myles-robinson-1.html,CB,4,6,3,9,0.0,0.0,0,0,,0,2,0,0,0,0,,Virginia,2016
Steven Wright,steven-wright-1,/cfb/players/steven-wright-1.html,DE,12,5,4,9,2.0,1.0,0,0,,0,0,0,0,0,0,,Virginia,2016
Joe Reed,joe-reed-4,/cfb/players/joe-reed-4.html,WR,12,3,3,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2016
Wilfred Wahee,wilfred-wahee-1,/cfb/players/wilfred-wahee-1.html,S,12,3,2,5,0.0,0.0,0,0,,0,1,0,0,0,1,,Virginia,2016
Albert Reid,albert-reid-1,/cfb/players/albert-reid-1.html,RB,11,5,0,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2016
James Trucilla,james-trucilla-1,/cfb/players/james-trucilla-1.html,DT,6,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2016
Daniel Hamm,daniel-hamm-1,/cfb/players/daniel-hamm-1.html,RB,12,4,0,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2016
Andre Miles-Redmond,andre-miles-redmond-1,/cfb/players/andre-miles-redmond-1.html,DT,4,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2016
Juwan Moye,juwan-moye-1,/cfb/players/juwan-moye-1.html,LB,10,0,3,3,1.0,0.5,0,0,,0,1,0,0,0,0,,Virginia,2016
Tim Harris,tim-harris-4,/cfb/players/tim-harris-4.html,CB,3,2,1,3,0.0,0.0,0,0,,0,2,0,0,0,0,,Virginia,2016
Chris Sharp,chris-sharp-1,/cfb/players/chris-sharp-1.html,S,12,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2016
C.J. Stalker,cj-stalker-1,/cfb/players/cj-stalker-1.html,LB,4,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2016
Jordan Ellis,jordan-ellis-2,/cfb/players/jordan-ellis-2.html,RB,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2016
