Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Dylan Hazen,dylan-hazen-1,/cfb/players/dylan-hazen-1.html,LB,12,44,42,86,8.5,1.0,0,0,,0,0,0,0,0,0,,Wake Forest,2023
Jacob Roberts,jacob-roberts-1,/cfb/players/jacob-roberts-1.html,LB,12,40,43,83,10.0,6.0,0,0,,0,1,0,0,0,2,,Wake Forest,2023
Malik Mustapha,malik-mustapha-1,/cfb/players/malik-mustapha-1.html,DB,12,45,35,80,5.0,0.5,1,50,50.0,0,2,0,0,0,1,,Wake Forest,2023
Chelen Garnes,chelen-garnes-1,/cfb/players/chelen-garnes-1.html,DB,12,33,28,61,2.0,1.5,0,0,,0,5,2,0,0,0,,Wake Forest,2023
Jasheen Davis,jasheen-davis-1,/cfb/players/jasheen-davis-1.html,DL,12,26,23,49,17.0,7.5,0,0,,0,2,2,14,0,1,,Wake Forest,2023
Caelen Carson,caelen-carson-1,/cfb/players/caelen-carson-1.html,DB,11,29,13,42,1.0,0.0,0,0,,0,8,1,0,0,1,,Wake Forest,2023
DaShawn Jones,dashawn-jones-1,/cfb/players/dashawn-jones-1.html,DB,10,27,10,37,1.5,0.0,3,29,9.7,0,2,0,0,0,0,,Wake Forest,2023
Kevin Pointer,kevin-pointer-2,/cfb/players/kevin-pointer-2.html,DL,12,18,19,37,9.0,1.5,0,0,,0,1,1,0,0,0,,Wake Forest,2023
Kendron Wayman,kendron-wayman-1,/cfb/players/kendron-wayman-1.html,DL,12,17,18,35,4.0,2.0,0,0,,0,2,0,0,0,0,,Wake Forest,2023
Nick Andersen,nick-andersen-1,/cfb/players/nick-andersen-1.html,DB,12,19,14,33,0.5,0.5,1,0,0.0,0,3,0,0,0,0,,Wake Forest,2023
Quincey Bryant,quincey-bryant-1,/cfb/players/quincey-bryant-1.html,LB,10,16,16,32,3.0,0.5,1,6,6.0,0,2,0,0,0,0,,Wake Forest,2023
Evan Slocum,evan-slocum-1,/cfb/players/evan-slocum-1.html,DB,11,23,6,29,1.0,0.0,1,56,56.0,0,1,1,0,0,0,,Wake Forest,2023
Bryce Ganious,bryce-ganious-1,/cfb/players/bryce-ganious-1.html,DL,12,10,18,28,2.5,1.0,0,0,,0,0,0,0,0,0,,Wake Forest,2023
AJ Williams,aj-williams-2,/cfb/players/aj-williams-2.html,DB,11,16,6,22,0.0,0.0,0,0,,0,1,0,0,0,0,,Wake Forest,2023
Aiden Hall,aiden-hall-1,/cfb/players/aiden-hall-1.html,LB,12,14,8,22,2.0,1.0,0,0,,0,0,0,0,0,0,,Wake Forest,2023
Jamare Glasker,jamare-glasker-1,/cfb/players/jamare-glasker-1.html,DB,9,14,2,16,1.0,0.0,0,0,,0,0,0,0,0,0,,Wake Forest,2023
DeMarcus Rankin,demarcus-rankin-1,/cfb/players/demarcus-rankin-1.html,DB,10,10,5,15,0.0,0.0,1,0,0.0,0,0,0,0,0,0,,Wake Forest,2023
