Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Kylan Guidry,kylan-guidry-1,/cfb/players/kylan-guidry-1.html,LB,13,28,26,54,6.0,3.0,0,0,,0,0,1,0,0,0,,Western Kentucky,2023
Talique Allen,talique-allen-1,/cfb/players/talique-allen-1.html,DB,13,34,18,52,0.5,0.0,1,18,18.0,0,3,0,0,0,1,,Western Kentucky,2023
Kendrick Simpkins,kendrick-simpkins-1,/cfb/players/kendrick-simpkins-1.html,DB,12,31,19,50,10.0,6.5,0,0,,0,1,0,0,0,4,,Western Kentucky,2023
Desmyn Baker,desmyn-baker-1,/cfb/players/desmyn-baker-1.html,LB,11,24,23,47,3.0,1.0,2,8,4.0,0,1,0,0,0,1,,Western Kentucky,2023
Anthony Johnson Jr.,anthony-johnson-jr-1,/cfb/players/anthony-johnson-jr-1.html,DB,10,32,12,44,1.0,0.0,4,12,3.0,0,5,1,2,0,0,,Western Kentucky,2023
Hosea Wheeler,hosea-wheeler-1,/cfb/players/hosea-wheeler-1.html,DT,13,21,21,42,3.0,2.0,1,0,0.0,0,0,0,0,0,1,,Western Kentucky,2023
Takulve Williams,takulve-williams-1,/cfb/players/takulve-williams-1.html,DB,9,24,18,42,2.5,0.0,1,0,0.0,0,1,0,0,0,0,,Western Kentucky,2023
Deante McCray,deante-mccray-1,/cfb/players/deante-mccray-1.html,DE,12,20,22,42,3.5,1.0,0,0,,0,1,1,0,0,1,,Western Kentucky,2023
Niko Cooper,niko-cooper-1,/cfb/players/niko-cooper-1.html,LB,13,25,14,39,3.0,1.0,0,0,,0,2,0,0,0,0,,Western Kentucky,2023
Jayden Loving,jayden-loving-1,/cfb/players/jayden-loving-1.html,DL,13,16,20,36,3.0,2.0,0,0,,0,2,0,0,0,0,,Western Kentucky,2023
Kenyonte Davis,kenyonte-davis-1,/cfb/players/kenyonte-davis-1.html,DL,13,16,16,32,1.5,0.5,0,0,,0,0,0,0,0,0,,Western Kentucky,2023
Sebastian Benjamin,sebastian-benjamin-1,/cfb/players/sebastian-benjamin-1.html,LB,10,17,15,32,4.5,3.0,0,0,,0,0,0,0,0,0,,Western Kentucky,2023
JaQues Evans,jaques-evans-1,/cfb/players/jaques-evans-1.html,LB,6,16,14,30,1.0,1.0,0,0,,0,1,2,30,1,1,,Western Kentucky,2023
Aaron Key,aaron-key-1,/cfb/players/aaron-key-1.html,LB,12,17,12,29,1.5,0.0,1,0,0.0,0,0,0,0,0,0,,Western Kentucky,2023
Upton Stout,upton-stout-1,/cfb/players/upton-stout-1.html,DB,7,19,10,29,1.5,0.5,1,53,53.0,1,8,1,16,1,1,,Western Kentucky,2023
Davion Williams,davion-williams-1,/cfb/players/davion-williams-1.html,DB,13,19,9,28,0.0,0.0,1,0,0.0,0,2,0,0,0,0,,Western Kentucky,2023
Rome Weber,rome-weber-1,/cfb/players/rome-weber-1.html,DB,11,15,10,25,1.5,0.0,0,0,,0,7,0,0,0,0,,Western Kentucky,2023
Virgil Marshall,virgil-marshall-1,/cfb/players/virgil-marshall-1.html,DB,12,16,8,24,0.0,0.0,1,40,40.0,0,2,0,0,0,0,,Western Kentucky,2023
Anthony Brackenridge,anthony-brackenridge-1,/cfb/players/anthony-brackenridge-1.html,DB,11,13,10,23,1.0,0.0,0,0,,0,0,0,0,0,1,,Western Kentucky,2023
Devon Lynch,devon-lynch-1,/cfb/players/devon-lynch-1.html,LB,8,14,9,23,1.0,0.0,0,0,,0,0,0,0,0,0,,Western Kentucky,2023
