Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Andrew Wingard,andrew-wingard-1,/cfb/players/andrew-wingard-1.html,S,14,75,56,131,7.5,2.0,2,33,16.5,0,2,0,0,0,2,,Wyoming,2016
Marcus Epps,marcus-epps-1,/cfb/players/marcus-epps-1.html,DB,14,72,39,111,6.0,0.0,3,94,31.3,1,6,3,0,0,2,,Wyoming,2016
Lucas Wacha,lucas-wacha-1,/cfb/players/lucas-wacha-1.html,LB,14,59,49,108,9.0,3.0,0,0,,0,1,2,0,0,0,,Wyoming,2016
Logan Wilson,logan-wilson-1,/cfb/players/logan-wilson-1.html,LB,14,55,39,94,7.5,3.0,3,83,27.7,1,4,3,0,0,1,,Wyoming,2016
Antonio Hull,antonio-hull-1,/cfb/players/antonio-hull-1.html,CB,14,56,23,79,2.5,0.0,3,18,6.0,0,5,0,0,0,0,,Wyoming,2016
Rico Gafford,rico-gafford-1,/cfb/players/rico-gafford-1.html,CB,14,47,13,60,0.5,0.0,2,64,32.0,0,5,0,0,0,2,,Wyoming,2016
D.J. May,dj-may-1,/cfb/players/dj-may-1.html,LB,11,32,25,57,8.5,2.0,0,0,,0,3,1,15,1,1,,Wyoming,2016
Kevin Prosser,kevin-prosser-1,/cfb/players/kevin-prosser-1.html,DE,14,22,14,36,11.0,6.5,0,0,,0,0,0,0,0,0,,Wyoming,2016
Youhanna Ghaifan,youhanna-ghaifan-1,/cfb/players/youhanna-ghaifan-1.html,DT,13,15,18,33,4.5,3.0,0,0,,0,1,0,0,0,1,,Wyoming,2016
Chase Appleby,chase-appleby-1,/cfb/players/chase-appleby-1.html,NT,11,12,17,29,6.0,2.0,1,55,55.0,1,1,0,0,0,2,,Wyoming,2016
Carl Granderson,carl-granderson-1,/cfb/players/carl-granderson-1.html,DE,6,9,10,19,6.0,4.0,0,0,,0,1,0,0,0,1,,Wyoming,2016
Josiah Hall,josiah-hall-1,/cfb/players/josiah-hall-1.html,DE,13,6,13,19,0.0,0.0,0,0,,0,0,0,0,0,0,,Wyoming,2016
