player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Mason White,43872,S,OREGON ST,11,5,1,265,0,0,2,0,19
James Camden,53418,LB,W MICHIGAN,12,18,2,347,1,0,0,4,54
Iesa Jarmon,53981,CB,AKRON,1,0,0,102,0,0,0,0,0
Malik Denkins,55516,ED,C MICHIGAN,7,3,0,134,0,0,0,0,3
Shaun Myers,62235,LB,COLORADO,12,7,0,143,0,0,1,0,26
Will Whitson,64470,ED,MISS STATE,2,2,0,227,0,0,0,2,3
Mister Williams,70521,LB,S DIEGO ST,12,20,0,284,2,0,1,0,38
Ben Florentine,70644,DI,WYOMING,12,9,0,351,5,0,0,4,22
Korey Foreman,70831,ED,FRESNO ST,12,4,0,169,4,0,2,4,14
Calvin Pitcher,70877,LB,UAB,12,14,0,321,0,0,1,1,26
Tate Romney,70946,LB,ARIZONA ST,10,2,0,110,0,0,1,0,9
Domani Jackson,71370,CB,ALABAMA,13,4,0,103,0,0,1,0,33
Keanu Tanuvasa,71398,DI,BYU,12,9,0,128,2,0,0,2,12
Aaron Smith,71596,CB,NEW MEXICO,2,0,0,241,0,0,0,0,1
DJ Harvey,72089,CB,USC,7,2,0,326,0,0,1,0,3
Solomone Langi,72318,DI,S JOSE ST,11,8,0,285,2,0,0,2,9
Raider Damuni,72338,S,BYU,10,9,0,128,0,1,2,0,24
Justin Flowe,72388,LB,UNLV,9,5,0,325,0,0,1,0,5
Ian Shewell,72474,DI,ARIZONA ST,2,0,0,110,0,0,0,0,1
Jadon Pearson,72538,LB,FRESNO ST,12,20,0,169,2,0,1,0,70
Marco Notarainni,73389,LB,BOISE ST,12,14,0,120,9,0,1,1,47
Trent Whalen,73609,LB,ARKANSAS,6,0,0,111,1,0,0,0,7
Gio De Leon,73658,LB,BUFFALO,4,0,0,126,0,0,0,0,1
Cory Hall,73699,DI,UNLV,3,0,0,325,0,0,0,0,0
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,1,0,340,0,0,0,1,13
Ryan Quintanar,74152,LB,USC,2,0,0,326,0,0,0,0,0
Justin Sinclair,74258,S,HAWAII,9,3,2,180,0,0,0,0,13
Zion Branch,74395,S,GEORGIA,8,1,0,173,0,0,0,0,20
Jaymar Mundy,75041,CB,OHIO,5,0,0,259,0,0,0,0,3
Silas Walters,75263,S,MIAMI OH,10,14,0,221,0,3,4,0,38
