Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Aaron Shahriari,aaron-shahriari-1,/cfb/players/aaron-shahriari-1.html,Florida Atlantic,CUSA,9,1,1,100.0,1,1,100.0,4,,2019
Charles Campbell,charles-campbell-3,/cfb/players/charles-campbell-3.html,Indiana,Big Ten,2,1,1,100.0,2,2,100.0,7,,2019
Diego Guajardo,diego-guajardo-1,/cfb/players/diego-guajardo-1.html,South Alabama,Sun Belt,12,4,6,66.7,1,1,100.0,7,,2019
Evan Price,evan-price-1,/cfb/players/evan-price-1.html,Colorado,Pac-12,4,5,5,100.0,5,5,100.0,20,,2019
Gabe Brkic,gabe-brkic-1,/cfb/players/gabe-brkic-1.html,Oklahoma,Big 12,14,52,52,100.0,17,17,100.0,103,,2019
Harrison Martin,harrison-martin-1,/cfb/players/harrison-martin-1.html,Nebraska,Big Ten,1,0,0,,1,1,100.0,3,,2019
Jake Koehnke,jake-koehnke-1,/cfb/players/jake-koehnke-1.html,Air Force,MWC,13,51,55,92.7,13,13,100.0,90,,2019
Javan Rice,javan-rice-1,/cfb/players/javan-rice-1.html,Vanderbilt,SEC,2,4,4,100.0,1,1,100.0,7,,2019
Luke Hogan,luke-hogan-1,/cfb/players/luke-hogan-1.html,SMU,American,4,6,9,66.7,1,1,100.0,9,,2019
Matt Waldoch,matt-waldoch-1,/cfb/players/matt-waldoch-1.html,Nebraska,Big Ten,2,9,9,100.0,4,4,100.0,21,,2019
Sterling Hofrichter,sterling-hofrichter-1,/cfb/players/sterling-hofrichter-1.html,Syracuse,ACC,12,0,0,,1,1,100.0,3,,2019
Thomas Cluckey,thomas-cluckey-1,/cfb/players/thomas-cluckey-1.html,Toledo,MAC,12,4,4,100.0,3,3,100.0,13,,2019
Nick Sciba,nick-sciba-1,/cfb/players/nick-sciba-1.html,Wake Forest,ACC,13,47,47,100.0,24,25,96.0,119,,2019
Jonathan Song,jonathan-song-1,/cfb/players/jonathan-song-1.html,Texas Christian,Big 12,12,39,39,100.0,23,24,95.8,108,,2019
Blake Mazza,blake-mazza-1,/cfb/players/blake-mazza-1.html,Washington State,Pac-12,13,55,57,96.5,20,21,95.2,115,,2019
Riley Patterson,riley-patterson-1,/cfb/players/riley-patterson-1.html,Memphis,American,14,65,66,98.5,23,25,92.0,134,,2019
Jake Pinegar,jake-pinegar-1,/cfb/players/jake-pinegar-1.html,Penn State,Big Ten,13,56,58,96.6,11,12,91.7,89,,2019
Trey Wolff,trey-wolff-1,/cfb/players/trey-wolff-1.html,Texas Tech,Big 12,12,40,41,97.6,20,22,90.9,100,,2019
Blake Lynch,blake-lynch-2,/cfb/players/blake-lynch-2.html,Kansas State,Big 12,13,46,46,100.0,19,21,90.5,103,,2019
Peyton Henry,peyton-henry-1,/cfb/players/peyton-henry-1.html,Washington,Pac-12,13,49,49,100.0,19,21,90.5,106,,2019
Evan McPherson,evan-mcpherson-1,/cfb/players/evan-mcpherson-1.html,Florida,SEC,13,47,48,97.9,17,19,89.5,98,,2019
Dylan Barnas,dylan-barnas-1,/cfb/players/dylan-barnas-1.html,UCF,American,13,69,70,98.6,15,17,88.2,114,,2019
