Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Bailey Zappe,bailey-zappe-1,/cfb/players/bailey-zappe-1.html,Western Kentucky,CUSA,14,475,687,69.1,5967,62,9.0,11,1.6,8.7,9.77,12.6,426.2,168.7,,2021
Bryce Young,bryce-young-1,/cfb/players/bryce-young-1.html,Alabama,SEC,15,366,547,66.9,4872,47,8.6,7,1.3,8.9,10.05,13.3,324.8,167.5,"H-1,Maxwell,AA",2021
Will Rogers,will-rogers-1,/cfb/players/will-rogers-1.html,Mississippi State,SEC,13,505,683,73.9,4739,36,5.3,9,1.3,6.9,7.40,9.4,364.5,147.0,,2021
Brennan Armstrong,brennan-armstrong-1,/cfb/players/brennan-armstrong-1.html,Virginia,ACC,11,326,500,65.2,4449,31,6.2,10,2.0,8.9,9.24,13.6,404.5,156.4,,2021
C.J. Stroud,cj-stroud-1,/cfb/players/cj-stroud-1.html,Ohio State,Big Ten,12,317,441,71.9,4435,44,10.0,6,1.4,10.1,11.44,14.0,369.6,186.6,H-4,2021
Kenny Pickett,kenny-pickett-1,/cfb/players/kenny-pickett-1.html,Pitt,ACC,13,334,497,67.2,4319,42,8.5,7,1.4,8.7,9.75,12.9,332.2,165.3,H-3,2021
Sam Hartman,sam-hartman-1,/cfb/players/sam-hartman-1.html,Wake Forest,ACC,14,299,508,58.9,4228,39,7.7,14,2.8,8.3,8.62,14.1,302.0,148.6,,2021
Carson Strong,carson-strong-1,/cfb/players/carson-strong-1.html,Nevada,MWC,12,366,523,70.0,4175,36,6.9,8,1.5,8.0,8.67,11.4,347.9,156.7,,2021
Jake Haener,jake-haener-1,/cfb/players/jake-haener-1.html,Fresno State,MWC,13,329,490,67.1,4096,33,6.7,9,1.8,8.4,8.88,12.4,315.1,155.9,,2021
Taulia Tagovailoa,taulia-tagovailoa-1,/cfb/players/taulia-tagovailoa-1.html,Maryland,Big Ten,13,328,474,69.2,3860,26,5.5,11,2.3,8.1,8.20,11.8,296.9,151.1,,2021
Aidan O'Connell,aidan-oconnell-1,/cfb/players/aidan-oconnell-1.html,Purdue,Big Ten,12,315,439,71.8,3712,28,6.4,11,2.5,8.5,8.60,11.8,309.3,158.8,,2021
Logan Bonner,logan-bonner-1,/cfb/players/logan-bonner-1.html,Utah State,MWC,14,263,430,61.2,3628,36,8.4,12,2.8,8.4,8.86,13.8,259.1,154.1,,2021
Tanner Mordecai,tanner-mordecai-1,/cfb/players/tanner-mordecai-1.html,SMU,American,12,308,454,67.8,3628,39,8.6,12,2.6,8.0,8.52,11.8,302.3,158.0,,2021
Clayton Tune,clayton-tune-1,/cfb/players/clayton-tune-1.html,Houston,American,14,287,421,68.2,3546,30,7.1,10,2.4,8.4,8.78,12.4,253.3,157.7,,2021
Grant Wells,grant-wells-1,/cfb/players/grant-wells-1.html,Marshall,CUSA,13,295,445,66.3,3532,16,3.6,13,2.9,7.9,7.34,12.0,271.7,139.0,,2021
Devin Leary,devin-leary-1,/cfb/players/devin-leary-1.html,North Carolina State,ACC,12,283,431,65.7,3433,35,8.1,5,1.2,8.0,9.07,12.1,286.1,157.0,,2021
Matt Corral,matt-corral-1,/cfb/players/matt-corral-1.html,Ole Miss,SEC,13,262,386,67.9,3349,20,5.2,5,1.3,8.7,9.13,12.8,257.6,155.3,H-7,2021
Chase Brice,chase-brice-1,/cfb/players/chase-brice-1.html,Appalachian State,Sun Belt,14,242,390,62.1,3337,27,6.9,11,2.8,8.6,8.67,13.8,238.4,151.1,,2021
Desmond Ridder,desmond-ridder-1,/cfb/players/desmond-ridder-1.html,Cincinnati,American,14,251,387,64.9,3334,30,7.8,8,2.1,8.6,9.24,13.3,238.1,158.7,H-8,2021
Seth Henigan,seth-henigan-1,/cfb/players/seth-henigan-1.html,Memphis,American,11,235,393,59.8,3322,25,6.4,8,2.0,8.5,8.81,14.1,302.0,147.7,,2021
Kaleb Eleby,kaleb-eleby-1,/cfb/players/kaleb-eleby-1.html,Western Michigan,MAC,13,230,363,63.4,3277,23,6.3,6,1.7,9.0,9.55,14.2,252.1,156.8,,2021
Davis Brin,davis-brin-1,/cfb/players/davis-brin-1.html,Tulsa,American,13,244,411,59.4,3244,18,4.4,16,3.9,7.9,7.02,13.3,249.5,132.3,,2021
Payton Thorne,payton-thorne-1,/cfb/players/payton-thorne-1.html,Michigan State,Big Ten,13,234,388,60.3,3232,27,7.0,10,2.6,8.3,8.56,13.8,248.6,148.1,,2021
Gavin Hardison,gavin-hardison-1,/cfb/players/gavin-hardison-1.html,UTEP,CUSA,13,198,357,55.5,3217,18,5.0,13,3.6,9.0,8.38,16.2,247.5,140.5,,2021
Dustin Crum,dustin-crum-1,/cfb/players/dustin-crum-1.html,Kent State,MAC,14,244,381,64.0,3206,20,5.2,6,1.6,8.4,8.76,13.1,229.0,148.9,,2021
Brock Purdy,brock-purdy-1,/cfb/players/brock-purdy-1.html,Iowa State,Big 12,13,292,407,71.7,3188,19,4.7,8,2.0,7.8,7.88,10.9,245.2,149.0,,2021
