player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
JR Pace,10116,S,NWESTERN,10,1,0,256,0,2,2,0,3
Enoch Smith Jr.,12534,DI,OKLA STATE,11,1,0,262,2,0,0,2,8
Jeffrey Allison,12542,LB,FRESNO ST,12,28,2,169,5,0,3,2,77
Petera Wilson Jr.,12610,ED,TULSA,11,13,0,320,2,0,1,3,40
Chase Dutra,12648,S,INDIANA,12,17,1,190,0,0,3,0,68
Rashaan Falemalu,12678,LB,HAWAII,1,0,0,180,0,0,0,0,2
Marcus Edmond,12727,CB,CLEMSON,3,1,0,140,0,0,0,0,0
Robert Bullard,12729,CB,AIR FORCE,6,1,0,101,0,0,0,0,10
Hunter Crafford,12737,LB,N CAROLINA,6,4,0,245,0,0,0,0,2
Kamal Martin,12744,ED,MINNESOTA,12,9,1,225,8,1,1,2,28
Penitito Faalologo,12759,DI,HAWAII,6,2,0,180,1,0,0,0,5
Hootie Jones,12886,S,ALABAMA,12,6,0,103,1,2,1,0,37
Anthony Moten Jr.,12893,DI,MIAMI FL,10,2,0,220,1,0,0,0,4
Ken Webster,12955,CB,OLE MISS,10,3,0,226,0,0,3,0,26
Garrison Mitchell,12962,CB,UAB,12,7,0,321,2,0,6,0,28
Myles Davenport,12964,LB,NAVY,7,2,0,237,0,0,0,0,5
Tyler Watts,13089,WR,TEXAS ST,1,0,0,314,0,0,0,0,0
Reggie Robinson II,13094,CB,TULSA,12,5,0,320,0,0,7,0,37
Dalton Fields,13105,G,WYOMING,2,1,0,351,0,0,0,0,0
Ed Rolle,13172,S,CHARLOTTE,11,14,0,136,0,1,2,0,43
A.J. Coney,13242,WR,AKRON,1,0,0,102,0,0,0,0,0
Jabril Robinson,13396,DI,CLEMSON,10,8,0,140,1,0,0,0,7
Abraham Wallace,13581,CB,TEXAS TECH,1,0,0,315,0,0,0,0,1
Corey Bell Jr.,13596,CB,N CAROLINA,3,0,0,245,0,0,0,0,3
Jeremy McDuffie,13599,CB,DUKE,11,14,0,154,0,3,5,0,40
DeShawn Capers-Smith,13604,S,TEXAS A&M,12,4,0,312,2,0,0,1,13
Will Lockett,13605,S,UCLA,10,4,0,324,0,0,1,0,8
Adonis Alexander,13612,CB,VA TECH,8,1,1,337,0,1,4,1,20
Colin Samuel,13643,CB,UCLA,9,2,0,324,0,1,4,0,9
Hunter Register,13692,WR,MINNESOTA,1,0,0,225,0,0,0,0,0
Rashad Blunt,13697,LB,RUTGERS,1,0,0,278,0,0,0,0,0
Tanner Karafa,13787,LB,BOSTON COL,12,2,0,121,2,0,0,0,6
Aaron Roberson,13789,CB,LA TECH,11,4,0,208,0,1,5,0,24
Hunter Andrews,13808,DI,E MICHIGAN,1,0,0,160,0,0,0,0,1
Terez Dickerson,13811,LB,DOMINION,2,0,0,263,0,0,0,0,3
Tyrin Ferguson,13817,LB,NEBRASKA,3,0,0,238,0,1,0,0,1
Daniel Jackson,13819,ED,W MICHIGAN,8,0,0,347,1,0,0,0,1
Trevon Hill,13821,ED,VA TECH,12,9,1,337,7,1,0,6,24
Sam Beal,13822,CB,W MICHIGAN,11,5,1,347,0,2,8,0,20
Adonis Thomas,13851,LB,FLORIDA ST,4,3,0,167,0,0,0,0,6
Taylor Heflin,13878,LB,NAVY,5,3,0,237,0,0,0,0,7
Chase Johnston,13896,LB,KANSAS ST,3,0,0,199,0,0,0,0,0
Joshua McMillon,13920,ED,ALABAMA,8,0,0,103,0,0,0,0,4
Malik Thompson,13957,DI,MARSHALL,7,2,0,214,0,0,0,0,2
Darius Fullwood,13962,DI,VA TECH,3,0,0,337,0,0,0,0,0
Emmanuel Cooper,14094,DI,MEMPHIS,10,4,1,218,1,0,1,0,14
Jason Scrempos,14182,DI,WASHINGTON,3,0,0,340,0,0,0,0,0
Taaj Bakari,14246,DI,OKLA STATE,11,1,0,262,0,0,0,0,6
Anthony J. Taylor,14471,CB,TEXAS ST,9,5,0,314,2,0,4,0,26
Alex Jean Charles,15783,CB,UTEP,4,0,0,330,0,0,0,0,1
Shaq Jones,17403,ED,UAB,12,10,2,321,5,0,1,3,45
Tevin Crews,17480,LB,UAB,12,11,1,321,5,1,1,4,71
Trevon Young,18413,ED,LOUISVILLE,12,11,0,210,5,0,1,5,35
Denzel Conyers,18492,S,MARYLAND,4,1,0,215,0,0,0,0,6
Corey Thompson,18551,ED,LSU,12,7,0,211,2,0,0,7,22
Jonathan Ledbetter,18645,DI,GEORGIA,12,5,0,173,5,0,0,1,19
Jimmie Gipson III,20325,ED,S ALABAMA,11,2,0,288,3,0,0,2,13
Alex Schwab,21523,LB,N ILLINOIS,11,10,0,254,1,0,0,1,31
Skai Moore,21605,LB,S CAROLINA,12,23,0,289,3,3,0,1,67
Kemoko Turay,21702,ED,RUTGERS,12,18,0,278,8,0,0,4,36
Marquis Couch,21749,ED,MARSHALL,11,11,0,214,2,0,0,1,25
Chauntez Jackson,21949,DI,HOUSTON,4,0,0,182,0,0,0,0,0
Jordan Petty,22063,S,UAB,10,6,0,321,1,0,0,1,18
Kyle Martin,22102,CB,ARK STATE,9,3,0,113,0,2,1,0,20
