player,player_id,position,team_name,player_game_count,franchise_id
Airon Servais,41573,C,SYRACUSE,12,304
Sam Heckel,41853,G,SYRACUSE,12,304
Jamar McGloster,46875,T,SYRACUSE,12,304
Cody Conway,46284,T,SYRACUSE,12,304
Evan Adams,46802,G,SYRACUSE,12,304
Frederick Mauigoa,41388,C,WASH STATE,12,341
Andre Dillard,29250,T,WASH STATE,12,341
B.J. Salmonson,26705,G,WASH STATE,12,341
Wes Martin,46087,G,INDIANA,12,190
Cole Madison,46953,T,WASH STATE,12,341
Brian Trujillo,36927,G,NEW MEX ST,12,242
Isaac Mcclain,59928,T,NEW MEX ST,12,242
Matt Peart,46179,T,UCONN,12,146
Gerard Kough,46110,G,COLORADO,12,143
Sam Jones,38935,G,ARIZONA ST,12,110
Cody O'Connell,46154,G,WASH STATE,12,341
Tyler Jones,46378,T,NC STATE,12,248
Coy Cronk,46235,T,INDIANA,12,190
Garrett Bradbury,46013,C,NC STATE,12,248
Willie Wright,46989,T,TULSA,12,320
Tyler Bowling,46047,G,TULSA,12,320
Chandler Miller,26727,C,TULSA,12,320
Zac Uhles,26784,G,TULSA,12,320
Jimmie Sims,46991,T,W KENTUCKY,12,346
Brandon Ray,46079,G,W KENTUCKY,12,346
Aaron Cochran,28151,T,OKLA STATE,12,262
Dennis Edwards,46624,C,W KENTUCKY,12,346
Matt Jones,37327,C,W VIRGINIA,12,343
A.J. McCollum,41808,C,ARIZONA ST,12,110
Brad North,29604,C,NWESTERN,12,256
Chris Lindstrom,46692,T,BOSTON COL,12,121
Darrin Paulo,37405,T,UTAH,12,328
Trey Rutherford,27256,G,UCONN,12,146
Chris Gonzalez,46682,G,S JOSE ST,13,285
Aaron Monteiro,25693,T,BOSTON COL,12,121
Jake Curhan,38549,T,CAL,12,130
Addison Ooms,28209,C,CAL,12,130
Brian Allen,46104,C,MICH STATE,12,223
Jackson Barton,46978,T,UTAH,12,328
Austin Davis,39377,C,DUKE,12,154
Terence Steele,39461,T,TEXAS TECH,12,315
Tommy Doles,46702,G,NWESTERN,12,256
Paul Stawarz,39470,C,TEXAS TECH,12,315
Jack Anderson,60130,G,TEXAS TECH,12,315
Blake Hance,46301,T,NWESTERN,12,256
Zack Golditch,46885,T,COLO STATE,12,144
Jake Bennett,27100,C,COLO STATE,12,144
Madison Akamnonu,46971,G,TEXAS TECH,12,315
Jeremi Hall,46177,G,USF,11,327
Cameron Ruff,27785,C,USF,11,327
Jordan Steckler,39044,G,N ILLINOIS,12,254
Lo Falemaka,26505,C,UTAH,12,328
Max Scharping,46961,T,N ILLINOIS,12,254
Salesi Uhatafe,38924,G,UTAH,12,328
Michael Alves,41170,G,UCLA,12,324
Jacob Still,41563,C,ARK STATE,11,113
Evan Brown,38709,C,SMU,12,287
Scott Quessenberry,23918,C,UCLA,12,324
Brandon Smith,46856,T,E CAROLINA,12,156
Kolton Miller,47013,T,UCLA,12,324
Andre James,47058,T,UCLA,12,324
Lanard Bonner,21863,T,ARK STATE,11,113
Steven Nielsen,26265,T,E MICHIGAN,12,160
Dakota Tallman,26209,C,E MICHIGAN,12,160
Tony Adams,46610,G,NC STATE,12,248
Blake Blackmar,46057,G,BAYLOR,12,118
Arvin Fletcher,41722,G,SO MISS,12,296
Tryston Mizerak,46986,T,TEXAS ST,12,314
Marcus Keyes,46187,G,OKLA STATE,12,262
Aaron Brewer,46014,C,TEXAS ST,12,314
Devin Farrior,46646,C,SO MISS,12,296
Riley Mayfield,46910,T,N TEXAS,12,251
Kirk Barron,30032,C,PURDUE,12,273
Nico Falah,45599,C,USC,12,326
Jake Hanson,28148,C,OREGON,12,264
Patrick Lawrence,46878,T,BAYLOR,12,118
Steven Miller,25508,G,ARIZONA ST,12,110
Eric Mayes,46949,T,USF,11,327
Evan Lisle,46218,T,DUKE,12,154
Elex Woodworth,27802,G,N TEXAS,12,251
Calvin Throckmorton,28238,T,OREGON,12,264
Luke Shively,24080,C,N ILLINOIS,12,254
Shane Lemieux,28149,G,OREGON,12,264
Sam Tecklenburg,47316,C,BAYLOR,12,118
David Steinmetz,46936,T,PURDUE,12,273
Austin Labus,39269,T,BOWL GREEN,12,122
Ryan Hunter,46904,T,BOWL GREEN,12,122
J.P. Quinn,26384,C,C MICHIGAN,12,134
John Phillips,39364,G,BOSTON COL,12,121
Stewart Reese,41113,T,MISS STATE,12,227
Elgton Jenkins,46298,C,MISS STATE,12,227
Deion Calhoun,46676,G,MISS STATE,12,227
Cole Boozer,26461,T,TEMPLE,12,306
Jordan Murray,46347,T,N TEXAS,12,251
Cohl Cabral,12740,T,ARIZONA ST,12,110
Garrett McGhin,46165,G,E CAROLINA,12,156
Dezmand Candelarie,46206,G,NEW MEX ST,11,242
James O'Hagan,28134,C,BUFFALO,12,126
Najee Toran,46833,G,UCLA,12,324
Colton McKivitz,29314,T,W VIRGINIA,12,343
Marcus Norman,46968,T,USF,11,327
Chad Pursley,29897,T,SMU,12,287
Braxton Pfaff,46737,G,VA TECH,12,337
Wyatt Teller,46131,G,VA TECH,12,337
Julian Good-Jones,36624,C,IOWA STATE,12,193
Brandon Walton,41533,T,FAU,12,165
Josh Knipfel,59756,G,IOWA STATE,12,193
Jakobi Smith,46779,G,FAU,12,165
Levi Brown,36815,C,MARSHALL,12,214
Noah Johnson,46077,G,IDAHO,12,185
Eric Gallo,41666,C,VA TECH,12,337
Kyle Chung,30756,T,VA TECH,12,337
Parker Wade,29354,C,NAVY,12,237
Hakeem Adeniji,45419,T,KANSAS,12,198
Nick Gates,29476,T,NEBRASKA,12,238
Jerald Foster,45497,G,NEBRASKA,12,238
Cam DeGeorge,41469,G,UCONN,12,146
Jake Benzinger,39255,T,WAKE,12,339
Chris Brown,46037,G,USC,12,326
Jake Nelson,59915,T,NEVADA,12,239
Elijah Nkansah,46887,T,TOLEDO,12,316
Tyrell Crosby,38897,T,OREGON,12,264
Steven Gonzalez,28270,G,PENN STATE,12,266
Antonyo Woods,28275,C,FAU,12,165
Trae Moxley,27103,T,COLO STATE,12,144
Reggie Bain,28501,T,FAU,12,165
Troy Elliott,41386,G,ARK STATE,11,113
Jacob Alsadek,46691,G,ARIZONA,12,109
Chris Bukoski,28230,T,E MICHIGAN,12,160
Nathan Eldridge,45657,C,ARIZONA,12,109
Jerry Harris,46950,T,SO MISS,12,296
Layth Friekh,46357,T,ARIZONA,12,109
Ezra Cleveland,41973,T,BOISE ST,12,120
Geron Christian,46375,T,LOUISVILLE,12,210
Jack Driscoll,27064,T,UMASS,12,216
Jake Campos,39334,T,IOWA STATE,12,193
Brant Weiss,30687,T,TOLEDO,12,316
Sam Schmal,28098,G,BOSTON COL,12,121
Christian Boettcher,34823,G,ARIZONA,12,109
David Niehaus,24774,C,CINCINNATI,12,138
Kenny Thomas,47023,G,LOUISVILLE,12,210
Derek Dumais,37276,C,UMASS,12,216
Cole Chewins,36277,T,MICH STATE,12,223
Robby Garcia,28586,G,IOWA STATE,12,193
Justin Herron,46271,T,WAKE,12,339
Ryan Anderson,46883,C,WAKE,12,339
Charlie Heck,36501,T,N CAROLINA,12,245
Korey Cunningham,38555,T,CINCINNATI,12,138
Ethan Reed,27004,G,LA TECH,12,208
Kyle Saxelid,46253,T,UNLV,12,325
Terronne Prescod,46628,G,NC STATE,12,248
Erik McCoy,37347,C,TEXAS A&M,12,312
Brian O'Neill,46854,T,PITTSBURGH,12,268
Sam McCollum,46679,G,MIAMI OH,12,221
Dallas Connell,41663,G,FIU,12,166
Ben Petrula,58533,C,BOSTON COL,11,121
Keoni Taylor,26853,C,S JOSE ST,12,285
Jaypee Philbert,46356,T,ARK STATE,11,113
