Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Chris Robison,chris-robison-1,/cfb/players/chris-robison-1.html,Florida Atlantic,CUSA,12,6,328,54.7,,2018
Jake McClure,jake-mcclure-1,/cfb/players/jake-mcclure-1.html,Oklahoma State,Big 12,13,2,106,53.0,,2018
Braden Mann,braden-mann-1,/cfb/players/braden-mann-1.html,Texas A&M,SEC,13,50,2549,51.0,AA,2018
Jake Hartbarger,jake-hartbarger-1,/cfb/players/jake-hartbarger-1.html,Michigan State,Big Ten,2,6,293,48.8,,2018
Ryan Stonehouse,ryan-stonehouse-1,/cfb/players/ryan-stonehouse-1.html,Colorado State,MWC,12,65,3140,48.3,,2018
Brandon Wright,brandon-wright-3,/cfb/players/brandon-wright-3.html,Georgia State,Sun Belt,12,51,2458,48.2,,2018
Ben Hicks,ben-hicks-1,/cfb/players/ben-hicks-1.html,SMU,American,12,1,48,48.0,,2018
Carson King,carson-king-1,/cfb/players/carson-king-1.html,Clemson,ACC,1,1,48,48.0,,2018
Isaac Power,isaac-power-1,/cfb/players/isaac-power-1.html,Baylor,Big 12,1,1,47,47.0,,2018
Tyler Bass,tyler-bass-3,/cfb/players/tyler-bass-3.html,Georgia Southern,Sun Belt,13,3,141,47.0,,2018
Will Hart,will-hart-2,/cfb/players/will-hart-2.html,Michigan,Big Ten,13,43,2020,47.0,,2018
James Smith,james-smith-8,/cfb/players/james-smith-8.html,Cincinnati,American,13,59,2750,46.6,,2018
Tom Bennett,tom-bennett-1,/cfb/players/tom-bennett-1.html,Tulsa,American,12,53,2469,46.6,,2018
Stefan Flintoft,stefan-flintoft-1,/cfb/players/stefan-flintoft-1.html,UCLA,Pac-12,11,56,2565,45.8,,2018
Oscar Draguicevich,oscar-draguicevich-1,/cfb/players/oscar-draguicevich-1.html,Washington State,Pac-12,13,46,2103,45.7,,2018
Zach Von Rosenberg,zach-von-rosenberg-1,/cfb/players/zach-von-rosenberg-1.html,LSU,SEC,13,51,2330,45.7,,2018
Jack Fox,jack-fox-1,/cfb/players/jack-fox-1.html,Rice,CUSA,13,80,3636,45.5,,2018
Jacob Finn,jacob-finn-1,/cfb/players/jacob-finn-1.html,Florida,SEC,3,2,91,45.5,,2018
Zach Sinor,zach-sinor-1,/cfb/players/zach-sinor-1.html,Oklahoma State,Big 12,7,26,1184,45.5,,2018
Tommy Townsend,tommy-townsend-1,/cfb/players/tommy-townsend-1.html,Florida,SEC,13,51,2315,45.4,,2018
Mitch Wishnowsky,mitch-wishnowsky-1,/cfb/players/mitch-wishnowsky-1.html,Utah,Pac-12,14,59,2669,45.2,,2018
Tyler Sumpter,tyler-sumpter-1,/cfb/players/tyler-sumpter-1.html,Troy,Sun Belt,13,55,2482,45.1,,2018
Tyler Sumpter,tyler-sumpter-2,/cfb/players/tyler-sumpter-2.html,Troy,Sun Belt,13,55,2482,45.1,,2018
Parker Thome,parker-thome-1,/cfb/players/parker-thome-1.html,Vanderbilt,SEC,13,51,2288,44.9,,2018
Joseph Charlton,joseph-charlton-1,/cfb/players/joseph-charlton-1.html,South Carolina,SEC,13,48,2152,44.8,,2018
Max Duffy,max-duffy-1,/cfb/players/max-duffy-1.html,Kentucky,SEC,12,60,2687,44.8,,2018
Tyler Newsome,tyler-newsome-1,/cfb/players/tyler-newsome-1.html,Notre Dame,Ind,13,53,2367,44.7,,2018
Corey Fatony,corey-fatony-1,/cfb/players/corey-fatony-1.html,Missouri,SEC,13,50,2222,44.4,,2018
Tyson Dyer,tyson-dyer-1,/cfb/players/tyson-dyer-1.html,New Mexico,MWC,12,74,3278,44.3,,2018
Arryn Siposs,arryn-siposs-1,/cfb/players/arryn-siposs-1.html,Auburn,SEC,13,56,2476,44.2,,2018
Bryce Crawford,bryce-crawford-1,/cfb/players/bryce-crawford-1.html,San Jose State,MWC,12,65,2870,44.2,,2018
Jake Bailey,jake-bailey-1,/cfb/players/jake-bailey-1.html,Stanford,Pac-12,13,68,2996,44.1,,2018
Blake Gillikin,blake-gillikin-1,/cfb/players/blake-gillikin-1.html,Penn State,Big Ten,13,64,2813,44.0,,2018
Ryan Wright,ryan-wright-1,/cfb/players/ryan-wright-1.html,Tulane,American,11,45,1978,44.0,,2018
Stone Wilson,stone-wilson-1,/cfb/players/stone-wilson-1.html,Florida International,CUSA,13,43,1893,44.0,,2018
Andrew Hicks,andrew-hicks-2,/cfb/players/andrew-hicks-2.html,Kansas State,Big 12,8,20,876,43.8,,2018
Hayes Hicken,hayes-hicken-1,/cfb/players/hayes-hicken-1.html,Nevada-Las Vegas,MWC,12,65,2847,43.8,,2018
Michael Sleep-Dalton,michael-sleep-dalton-1,/cfb/players/michael-sleep-dalton-1.html,Arizona State,Pac-12,13,59,2586,43.8,,2018
Blake Hayes,blake-hayes-1,/cfb/players/blake-hayes-1.html,Illinois,Big Ten,12,62,2701,43.6,,2018
Clayton Howell,clayton-howell-1,/cfb/players/clayton-howell-1.html,Appalachian State,Sun Belt,13,47,2048,43.6,,2018
Devin Anctil,devin-anctil-1,/cfb/players/devin-anctil-1.html,Kansas State,Big 12,6,27,1177,43.6,,2018
Isaac Armstrong,isaac-armstrong-1,/cfb/players/isaac-armstrong-1.html,Nebraska,Big Ten,11,32,1396,43.6,,2018
Quinton Conaway,quinton-conaway-1,/cfb/players/quinton-conaway-1.html,Nevada,MWC,13,62,2701,43.6,,2018
Jake Julien,jake-julien-1,/cfb/players/jake-julien-1.html,Eastern Michigan,MAC,13,71,3078,43.4,,2018
Mac Loudermilk,mac-loudermilk-1,/cfb/players/mac-loudermilk-1.html,UCF,American,13,47,2042,43.4,,2018
Michael Farkas,michael-farkas-1,/cfb/players/michael-farkas-1.html,Ohio,MAC,13,43,1867,43.4,,2018
Kyle Thompson,kyle-thompson-1,/cfb/players/kyle-thompson-1.html,Kansas,Big 12,12,69,2986,43.3,,2018
Adam Williams,adam-williams-2,/cfb/players/adam-williams-2.html,Memphis,American,14,58,2503,43.2,,2018
Drue Chrisman,dru-chrisman-1,/cfb/players/dru-chrisman-1.html,Ohio State,Big Ten,14,61,2636,43.2,,2018
Drue Chrisman,drue-chrisman-1,/cfb/players/drue-chrisman-1.html,Ohio State,Big Ten,14,61,2636,43.2,,2018
Logan Tyler,logan-tyler-1,/cfb/players/logan-tyler-1.html,Florida State,ACC,12,82,3545,43.2,,2018
Matt Hockett,matt-hockett-1,/cfb/players/matt-hockett-1.html,Oklahoma State,Big 12,13,25,1079,43.2,,2018
Nick Schrage,nick-schrage-1,/cfb/players/nick-schrage-1.html,Army,Ind,12,21,907,43.2,,2018
Charles Ouverson,charles-ouverson-1,/cfb/players/charles-ouverson-1.html,Coastal Carolina,Sun Belt,12,47,2028,43.1,,2018
James Fonseca,james-fonseca-1,/cfb/players/james-fonseca-1.html,Akron,MAC,1,1,43,43.0,,2018
Yannis Routsas,yannis-routsas-1,/cfb/players/yannis-routsas-1.html,UTSA,CUSA,12,75,3224,43.0,,2018
Luke Magliozzi,luke-magliozzi-1,/cfb/players/luke-magliozzi-1.html,Connecticut,American,12,63,2705,42.9,,2018
Sterling Hofrichter,sterling-hofrichter-1,/cfb/players/sterling-hofrichter-1.html,Syracuse,ACC,13,67,2874,42.9,,2018
Trent Schneider,trent-schneider-1,/cfb/players/trent-schneider-1.html,South Florida,American,13,74,3176,42.9,,2018
Dontae Crow,dontae-crow-1,/cfb/players/dontae-crow-1.html,Wyoming,MWC,10,24,1026,42.8,,2018
Adam Korsak,adam-korsak-1,/cfb/players/adam-korsak-1.html,Rutgers,Big Ten,12,78,3333,42.7,,2018
Jake Camarda,jake-camarda-1,/cfb/players/jake-camarda-1.html,Georgia,SEC,14,43,1830,42.6,,2018
Joe Schopper,joe-schopper-1,/cfb/players/joe-schopper-1.html,Purdue,Big Ten,13,62,2642,42.6,,2018
Oscar Bradburn,oscar-bradburn-1,/cfb/players/oscar-bradburn-1.html,Virginia Tech,ACC,13,69,2940,42.6,,2018
Blake Maimone,blake-maimone-1,/cfb/players/blake-maimone-1.html,Oregon,Pac-12,13,45,1914,42.5,,2018
Connor Bowler,connor-bowler-1,/cfb/players/connor-bowler-1.html,Temple,American,13,57,2420,42.5,,2018
A.J. Cole III,aj-cole-iii-1,/cfb/players/aj-cole-iii-1.html,North Carolina State,ACC,13,49,2076,42.4,,2018
Drew Galitz,drew-galitz-1,/cfb/players/drew-galitz-1.html,Baylor,Big 12,12,51,2164,42.4,,2018
Alvin Kenworthy,alvin-kenworthy-1,/cfb/players/alvin-kenworthy-1.html,North Texas,CUSA,13,56,2366,42.3,,2018
Blake Cusick,blake-cusick-1,/cfb/players/blake-cusick-1.html,Fresno State,MWC,14,65,2745,42.2,,2018
