Player,Player_ID,Player_Link,class,pos,summary,School,Year
Donald Hammond III,donald-hammond-iii-1,/cfb/players/donald-hammond-iii-1.html,JR,QB,"56 Cmp, 111 Att, 1316 Yds, 13 TD",Air Force,2019
Mike Schmidt,mike-schmidt-2,/cfb/players/mike-schmidt-2.html,SR,QB,"5 Cmp, 6 Att, 147 Yds, 1 TD",Air Force,2019
Isaiah Sanders,isaiah-sanders-1,/cfb/players/isaiah-sanders-1.html,SR,QB,"5 Cmp, 5 Att, 76 Yds, 0 TD",Air Force,2019
Warren Bryan,warren-bryan-1,/cfb/players/warren-bryan-1.html,SO,QB,,Air Force,2019
C Stevenson,c-stevenson-1,/cfb/players/c-stevenson-1.html,,RB,"2 Att, 11 Yds, 5.5 Avg",Air Force,2019
Kadin Remsberg,kadin-remsberg-1,/cfb/players/kadin-remsberg-1.html,JR,RB,"181 Att, 1050 Yds, 5.8 Avg",Air Force,2019
Christian Mallard,christian-mallard-1,/cfb/players/christian-mallard-1.html,SR,RB,"40 Att, 192 Yds, 4.8 Avg",Air Force,2019
Joshua Stoner,joshua-stoner-1,/cfb/players/joshua-stoner-1.html,JR,RB,"23 Att, 207 Yds, 9.0 Avg",Air Force,2019
Nolan Eriksen,nolan-eriksen-1,/cfb/players/nolan-eriksen-1.html,SR,RB,"7 Att, 47 Yds, 6.7 Avg",Air Force,2019
Robert Gross,robert-gross-1,/cfb/players/robert-gross-1.html,,RB,"1 Att, 2 Yds, 2.0 Avg",Air Force,2019
Zachar Larrier,zachar-larrier-1,/cfb/players/zachar-larrier-1.html,,RB,"1 Att, -3 Yds, -3.0 Avg",Air Force,2019
L Leviston,l-leviston-1,/cfb/players/l-leviston-1.html,,RB,"1 Att, 8 Yds, 8.0 Avg",Air Force,2019
Qawi Ntsasa,qawi-ntsasa-1,/cfb/players/qawi-ntsasa-1.html,,RB,"1 Att, 4 Yds, 4.0 Avg",Air Force,2019
Jake Smith,jake-smith-9,/cfb/players/jake-smith-9.html,,RB,"1 Att, 11 Yds, 11.0 Avg",Air Force,2019
Jakeem Patrick,jakeem-patrick-1,/cfb/players/jakeem-patrick-1.html,SO,RB,,Air Force,2019
Joseph Saucier,joseph-saucier-1,/cfb/players/joseph-saucier-1.html,SR,RB,,Air Force,2019
Benjamin Waters,benjamin-waters-1,/cfb/players/benjamin-waters-1.html,SR,WR,"22 Rec, 658 Yds, 29.9 Avg",Air Force,2019
Geraud Sanders,geraud-sanders-1,/cfb/players/geraud-sanders-1.html,SR,WR,"30 Rec, 746 Yds, 24.9 Avg",Air Force,2019
Ben Peterson,ben-peterson-1,/cfb/players/ben-peterson-1.html,JR,WR,"3 Rec, 25 Yds, 8.3 Avg",Air Force,2019
Dane Kinamon,dane-kinamon-1,/cfb/players/dane-kinamon-1.html,FR,WR,,Air Force,2019
Daniel Morris,daniel-morris-2,/cfb/players/daniel-morris-2.html,JR,WR,"1 Rec, 10 Yds, 10.0 Avg",Air Force,2019
Luke Bohenek,luke-bohenek-1,/cfb/players/luke-bohenek-1.html,JR,WR,,Air Force,2019
David Cormier,david-cormier-1,/cfb/players/david-cormier-1.html,SO,WR,,Air Force,2019
