Player,Player_ID,Player_Link,class,pos,summary,School,Year
Taylor Lamb,taylor-lamb-1,/cfb/players/taylor-lamb-1.html,SR,QB,"206 Cmp, 337 Att, 2737 Yds, 27 TD",Appalachian State,2017
Zac Thomas,zac-thomas-2,/cfb/players/zac-thomas-2.html,FR,QB,"6 Cmp, 10 Att, 33 Yds, 0 TD",Appalachian State,2017
Jacob Huesman,jacob-huesman-1,/cfb/players/jacob-huesman-1.html,FR,QB,"2 Cmp, 3 Att, 14 Yds, 0 TD",Appalachian State,2017
Curtis Fitch,curtis-fitch-2,/cfb/players/curtis-fitch-2.html,JR,QB,,Appalachian State,2017
Peyton Derrick,peyton-derrick-1,/cfb/players/peyton-derrick-1.html,FR,QB,,Appalachian State,2017
Zeb Speir,zeb-speir-1,/cfb/players/zeb-speir-1.html,FR,QB,,Appalachian State,2017
Tanner Wilson,tanner-wilson-1,/cfb/players/tanner-wilson-1.html,FR,QB,,Appalachian State,2017
Jalin Moore,jalin-moore-1,/cfb/players/jalin-moore-1.html,JR,RB,"183 Att, 1037 Yds, 5.7 Avg",Appalachian State,2017
Marcus Williams Jr.,marcus-williams-12,/cfb/players/marcus-williams-12.html,FR,RB,"97 Att, 500 Yds, 5.2 Avg",Appalachian State,2017
Terrence Upshaw,terrence-upshaw-1,/cfb/players/terrence-upshaw-1.html,SR,RB,"68 Att, 314 Yds, 4.6 Avg",Appalachian State,2017
Daetrich Harrington,daetrich-harrington-1,/cfb/players/daetrich-harrington-1.html,FR,RB,"59 Att, 296 Yds, 5.0 Avg",Appalachian State,2017
Demarcus Harper,demarcus-harper-1,/cfb/players/demarcus-harper-1.html,FR,RB,"8 Att, 46 Yds, 5.8 Avg",Appalachian State,2017
Josh Boyd,josh-boyd-2,/cfb/players/josh-boyd-2.html,JR,RB,,Appalachian State,2017
Malik Williams,malik-williams-2,/cfb/players/malik-williams-2.html,FR,WR,"19 Rec, 172 Yds, 9.1 Avg",Appalachian State,2017
Ike Lewis,ike-lewis-2,/cfb/players/ike-lewis-2.html,SR,WR,"51 Rec, 733 Yds, 14.4 Avg",Appalachian State,2017
Jalen Virgil,jalen-virgil-1,/cfb/players/jalen-virgil-1.html,FR,WR,"20 Rec, 364 Yds, 18.2 Avg",Appalachian State,2017
T.J. Watkins,tj-watkins-2,/cfb/players/tj-watkins-2.html,JR,WR,"21 Rec, 295 Yds, 14.0 Avg",Appalachian State,2017
Thomas Hennigan,thomas-hennigan-1,/cfb/players/thomas-hennigan-1.html,FR,WR,"45 Rec, 585 Yds, 13.0 Avg",Appalachian State,2017
Dante Jones,dante-jones-3,/cfb/players/dante-jones-3.html,SR,WR,"14 Rec, 87 Yds, 6.2 Avg",Appalachian State,2017
Zireycus Letman,zireycus-letman-1,/cfb/players/zireycus-letman-1.html,SR,WR,"8 Rec, 106 Yds, 13.3 Avg",Appalachian State,2017
A'Darius Purifoy,adarius-purifoy-1,/cfb/players/adarius-purifoy-1.html,FR,WR,"1 Rec, 2 Yds, 2.0 Avg",Appalachian State,2017
Brad Absher,brad-absher-1,/cfb/players/brad-absher-1.html,JR,WR,,Appalachian State,2017
John Jennings,john-jennings-4,/cfb/players/john-jennings-4.html,FR,WR,,Appalachian State,2017
Mock Adams,mock-adams-1,/cfb/players/mock-adams-1.html,SO,WR,,Appalachian State,2017
Jake Easter,jake-easter-1,/cfb/players/jake-easter-1.html,SO,WR,,Appalachian State,2017
Darrynton Evans,darrynton-evans-1,/cfb/players/darrynton-evans-1.html,SO,WR,,Appalachian State,2017
Dillon Goode,dillon-goode-1,/cfb/players/dillon-goode-1.html,FR,WR,,Appalachian State,2017
Brock Gusler,brock-gusler-1,/cfb/players/brock-gusler-1.html,FR,WR,,Appalachian State,2017
