Player,Player_ID,Player_Link,class,pos,summary,School,Year
Brandon Dawkins,brandon-dawkins-2,/cfb/players/brandon-dawkins-2.html,SO,QB,"98 Cmp, 182 Att, 1348 Yds, 8 TD",Arizona,2016
Anu Solomon,anu-solomon-1,/cfb/players/anu-solomon-1.html,JR,QB,"37 Cmp, 63 Att, 462 Yds, 1 TD",Arizona,2016
Khalil Tate,khalil-tate-1,/cfb/players/khalil-tate-1.html,FR,QB,"18 Cmp, 45 Att, 243 Yds, 3 TD",Arizona,2016
Zach Werlinger,zach-werlinger-1,/cfb/players/zach-werlinger-1.html,SO,QB,"0 Cmp, 5 Att, 0 Yds, 0 TD",Arizona,2016
Zach Green,zach-green-2,/cfb/players/zach-green-2.html,JR,RB,"77 Att, 372 Yds, 4.8 Avg",Arizona,2016
Nick Wilson,nick-wilson-2,/cfb/players/nick-wilson-2.html,JR,RB,"55 Att, 320 Yds, 5.8 Avg",Arizona,2016
J.J. Taylor,jj-taylor-1,/cfb/players/jj-taylor-1.html,FR,RB,"38 Att, 261 Yds, 6.9 Avg",Arizona,2016
Branden Leon,branden-leon-1,/cfb/players/branden-leon-1.html,FR,RB,"8 Att, 38 Yds, 4.8 Avg",Arizona,2016
Orlando Bradford,orlando-bradford-1,/cfb/players/orlando-bradford-1.html,SO,RB,"5 Att, 16 Yds, 3.2 Avg",Arizona,2016
Samajie Grant,samajie-grant-1,/cfb/players/samajie-grant-1.html,SR,WR,"22 Rec, 247 Yds, 11.2 Avg",Arizona,2016
Tyrell Johnson,tyrell-johnson-2,/cfb/players/tyrell-johnson-2.html,JR,WR,"5 Rec, 46 Yds, 9.2 Avg",Arizona,2016
Shun Brown,shun-brown-1,/cfb/players/shun-brown-1.html,SO,WR,"29 Rec, 521 Yds, 18.0 Avg",Arizona,2016
Nate Phillips,nate-phillips-1,/cfb/players/nate-phillips-1.html,SR,WR,"33 Rec, 414 Yds, 12.5 Avg",Arizona,2016
Trey Griffey,trey-griffey-1,/cfb/players/trey-griffey-1.html,SR,WR,"23 Rec, 382 Yds, 16.6 Avg",Arizona,2016
Cam Denson,cam-denson-1,/cfb/players/cam-denson-1.html,JR,WR,"15 Rec, 242 Yds, 16.1 Avg",Arizona,2016
Shawn Poindexter,shawn-poindexter-1,/cfb/players/shawn-poindexter-1.html,JR,WR,"6 Rec, 82 Yds, 13.7 Avg",Arizona,2016
Cedric Peterson,cedric-peterson-1,/cfb/players/cedric-peterson-1.html,FR,WR,"3 Rec, 47 Yds, 15.7 Avg",Arizona,2016
Tony Ellison,tony-ellison-1,/cfb/players/tony-ellison-1.html,SO,WR,"2 Rec, 19 Yds, 9.5 Avg",Arizona,2016
Devaughn Cooper,devaughn-cooper-1,/cfb/players/devaughn-cooper-1.html,FR,WR,"1 Rec, 15 Yds, 15.0 Avg",Arizona,2016
Abraham Mendivil,abraham-mendivil-1,/cfb/players/abraham-mendivil-1.html,JR,WR,,Arizona,2016
Matt Morin,matt-morin-1,/cfb/players/matt-morin-1.html,SR,TE,,Arizona,2016
Trevor Wood,trevor-wood-1,/cfb/players/trevor-wood-1.html,SO,TE,"7 Rec, 49 Yds, 7.0 Avg",Arizona,2016
Josh Kern,josh-kern-1,/cfb/players/josh-kern-1.html,SR,TE,"5 Rec, 41 Yds, 8.2 Avg",Arizona,2016
Aiulua Fanene,aiulua-fanene-1,/cfb/players/aiulua-fanene-1.html,SR,OL,,Arizona,2016
Nathan Eldridge,nathan-eldridge-1,/cfb/players/nathan-eldridge-1.html,FR,OL,,Arizona,2016
