Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jayden Daniels,jayden-daniels-1,/cfb/players/jayden-daniels-1.html,FR,QB,"205 Cmp, 338 Att, 2943 Yds, 17 TD",Arizona State,2019
Joey Yellen,joey-yellen-1,/cfb/players/joey-yellen-1.html,FR,QB,"28 Cmp, 44 Att, 292 Yds, 4 TD",Arizona State,2019
Ethan Long,ethan-long-1,/cfb/players/ethan-long-1.html,FR,QB,,Arizona State,2019
Trenton Bourguet,trenton-bourguet-1,/cfb/players/trenton-bourguet-1.html,FR,QB,,Arizona State,2019
Dillon Sterling-Cole,dillon-sterling-cole-1,/cfb/players/dillon-sterling-cole-1.html,JR,QB,,Arizona State,2019
Eno Benjamin,eno-benjamin-1,/cfb/players/eno-benjamin-1.html,JR,RB,"253 Att, 1083 Yds, 4.3 Avg",Arizona State,2019
A.J. Carter,aj-carter-1,/cfb/players/aj-carter-1.html,FR,RB,"19 Att, 50 Yds, 2.6 Avg",Arizona State,2019
Demetrious Flowers,demetrious-flowers-1,/cfb/players/demetrious-flowers-1.html,FR,RB,"11 Att, 31 Yds, 2.8 Avg",Arizona State,2019
Isaiah Floyd,isaiah-floyd-1,/cfb/players/isaiah-floyd-1.html,JR,RB,"11 Att, 47 Yds, 4.3 Avg",Arizona State,2019
DeMarcus Johnson,demarcus-johnson-2,/cfb/players/demarcus-johnson-2.html,FR,RB,,Arizona State,2019
Paul Lucas,paul-lucas-1,/cfb/players/paul-lucas-1.html,SR,RB,,Arizona State,2019
Kyle Williams,kyle-williams-8,/cfb/players/kyle-williams-8.html,SR,WR,"45 Rec, 482 Yds, 10.7 Avg",Arizona State,2019
Brandon Aiyuk,brandon-aiyuk-1,/cfb/players/brandon-aiyuk-1.html,SR,WR,"65 Rec, 1192 Yds, 18.3 Avg",Arizona State,2019
Ricky Pearsall,ricky-pearsall-1,/cfb/players/ricky-pearsall-1.html,FR,WR,"7 Rec, 128 Yds, 18.3 Avg",Arizona State,2019
Frank Darby,frank-darby-1,/cfb/players/frank-darby-1.html,JR,WR,"31 Rec, 616 Yds, 19.9 Avg",Arizona State,2019
Geordon Porter,geordon-porter-1,/cfb/players/geordon-porter-1.html,FR,WR,"8 Rec, 83 Yds, 10.4 Avg",Arizona State,2019
Jordan Kerley,jordan-kerley-1,/cfb/players/jordan-kerley-1.html,FR,WR,"6 Rec, 81 Yds, 13.5 Avg",Arizona State,2019
Curtis Hodges,curtis-hodges-1,/cfb/players/curtis-hodges-1.html,JR,WR,"5 Rec, 58 Yds, 11.6 Avg",Arizona State,2019
Ryan Newsome,ryan-newsome-1,/cfb/players/ryan-newsome-1.html,SR,WR,"4 Rec, 42 Yds, 10.5 Avg",Arizona State,2019
