Player,Player_ID,Player_Link,class,pos,summary,School,Year
K.J. Jefferson,kj-jefferson-1,/cfb/players/kj-jefferson-1.html,JR,QB,"204 Cmp, 300 Att, 2636 Yds, 24 TD",Arkansas,2022
Cade Fortin,cade-fortin-1,/cfb/players/cade-fortin-1.html,SR,QB,"14 Cmp, 29 Att, 135 Yds, 1 TD",Arkansas,2022
Malik Hornsby,malik-hornsby-1,/cfb/players/malik-hornsby-1.html,SO,QB,"13 Cmp, 27 Att, 268 Yds, 1 TD",Arkansas,2022
Rykar Acebo,rykar-acebo-1,/cfb/players/rykar-acebo-1.html,SO,QB,,Arkansas,2022
Kade Renfro,kade-renfro-1,/cfb/players/kade-renfro-1.html,SO,QB,,Arkansas,2022
Raheim Sanders,raheim-sanders-1,/cfb/players/raheim-sanders-1.html,JR,RB,"222 Att, 1443 Yds, 6.5 Avg",Arkansas,2022
AJ Green,aj-green-6,/cfb/players/aj-green-6.html,JR,RB,"87 Att, 414 Yds, 4.8 Avg",Arkansas,2022
Rashod Dubinion,rashod-dubinion-1,/cfb/players/rashod-dubinion-1.html,SO,RB,"71 Att, 293 Yds, 4.1 Avg",Arkansas,2022
Dominique Johnson,dominique-johnson-2,/cfb/players/dominique-johnson-2.html,JR,RB,"8 Att, 43 Yds, 5.4 Avg",Arkansas,2022
James Jointer,james-jointer-1,/cfb/players/james-jointer-1.html,FR,RB,"3 Att, 9 Yds, 3.0 Avg",Arkansas,2022
Dennis Daniels,dennis-daniels-1,/cfb/players/dennis-daniels-1.html,SR,RB,,Arkansas,2022
Javion Hunt,javion-hunt-1,/cfb/players/javion-hunt-1.html,FR,RB,,Arkansas,2022
Jadon Haselwood,jadon-haselwood-1,/cfb/players/jadon-haselwood-1.html,JR,WR,"59 Rec, 704 Yds, 11.9 Avg",Arkansas,2022
Matt Landers,matt-landers-1,/cfb/players/matt-landers-1.html,SR,WR,"47 Rec, 901 Yds, 19.2 Avg",Arkansas,2022
Trey Knox,trey-knox-1,/cfb/players/trey-knox-1.html,SR,WR,"26 Rec, 287 Yds, 11.0 Avg",Arkansas,2022
Ketron Jackson Jr.,ketron-jackson-jr-1,/cfb/players/ketron-jackson-jr-1.html,SO,WR,"16 Rec, 277 Yds, 17.3 Avg",Arkansas,2022
Bryce Stephens,bryce-stephens-1,/cfb/players/bryce-stephens-1.html,SO,WR,"9 Rec, 109 Yds, 12.1 Avg",Arkansas,2022
Warren Thompson,warren-thompson-2,/cfb/players/warren-thompson-2.html,SR,WR,"12 Rec, 178 Yds, 14.8 Avg",Arkansas,2022
Jaedon Wilson,jaedon-wilson-1,/cfb/players/jaedon-wilson-1.html,SO,WR,"3 Rec, 49 Yds, 16.3 Avg",Arkansas,2022
Isaiah Sategna,isaiah-sategna-1,/cfb/players/isaiah-sategna-1.html,FR,WR,"2 Rec, 12 Yds, 6.0 Avg",Arkansas,2022
Harper Cole,harper-cole-1,/cfb/players/harper-cole-1.html,SO,WR,"1 Rec, 10 Yds, 10.0 Avg",Arkansas,2022
Sam Mbake,sam-mbake-1,/cfb/players/sam-mbake-1.html,SO,WR,,Arkansas,2022
Kamron Bibby,kamron-bibby-1,/cfb/players/kamron-bibby-1.html,FR,WR,,Arkansas,2022
Kalil Girault,kalil-girault-1,/cfb/players/kalil-girault-1.html,SO,WR,,Arkansas,2022
Chris Harris,chris-harris-7,/cfb/players/chris-harris-7.html,JR,WR,,Arkansas,2022
Hudson Henry,hudson-henry-1,/cfb/players/hudson-henry-1.html,JR,TE,"4 Rec, 27 Yds, 6.8 Avg",Arkansas,2022
Nathan Bax,nathan-bax-1,/cfb/players/nathan-bax-1.html,SR,TE,"3 Rec, 16 Yds, 5.3 Avg",Arkansas,2022
Ty Washington,ty-washington-2,/cfb/players/ty-washington-2.html,SO,TE,"1 Rec, 17 Yds, 17.0 Avg",Arkansas,2022
Zach Lee,zach-lee-2,/cfb/players/zach-lee-2.html,SO,TE,,Arkansas,2022
Erin Outley,erin-outley-1,/cfb/players/erin-outley-1.html,SO,TE,,Arkansas,2022
Landon Rogers,landon-rogers-1,/cfb/players/landon-rogers-1.html,FR,TE,,Arkansas,2022
Collin Sutherland,collin-sutherland-1,/cfb/players/collin-sutherland-1.html,JR,TE,,Arkansas,2022
Hunter Talley,hunter-talley-1,/cfb/players/hunter-talley-1.html,FR,TE,,Arkansas,2022
Ty'kieast Crawford,tykieast-crawford-1,/cfb/players/tykieast-crawford-1.html,SR,OL,,Arkansas,2022
E'Marion Harris,emarion-harris-1,/cfb/players/emarion-harris-1.html,FR,OL,,Arkansas,2022
Luke Jones,luke-jones-1,/cfb/players/luke-jones-1.html,SR,OL,,Arkansas,2022
Patrick Kutas,patrick-kutas-1,/cfb/players/patrick-kutas-1.html,SO,OL,,Arkansas,2022
Brady Latham,brady-latham-1,/cfb/players/brady-latham-1.html,SR,OL,,Arkansas,2022
Beaux Limmer,beaux-limmer-1,/cfb/players/beaux-limmer-1.html,SR,OL,,Arkansas,2022
