Player,Player_ID,Player_Link,class,pos,summary,School,Year
Christian Anderson,christian-anderson-2,/cfb/players/christian-anderson-2.html,SR,QB,"20 Cmp, 47 Att, 215 Yds, 1 TD",Army,2020
Jemel Jones,jemel-jones-1,/cfb/players/jemel-jones-1.html,SO,QB,"9 Cmp, 19 Att, 156 Yds, 2 TD",Army,2020
Tyhier Tyler,tyhier-tyler-1,/cfb/players/tyhier-tyler-1.html,SO,QB,"2 Cmp, 4 Att, 53 Yds, 0 TD",Army,2020
Cade Ballard,cade-ballard-1,/cfb/players/cade-ballard-1.html,FR,QB,"2 Cmp, 4 Att, 106 Yds, 1 TD",Army,2020
Maurice Bellan,maurice-bellan-1,/cfb/players/maurice-bellan-1.html,SO,QB,"1 Cmp, 1 Att, 10 Yds, 0 TD",Army,2020
Christian Parrish,christian-parrish-1,/cfb/players/christian-parrish-1.html,FR,QB,,Army,2020
Walter Harris,walter-harris-1,/cfb/players/walter-harris-1.html,SO,QB,,Army,2020
Jabari Laws,jabari-laws-1,/cfb/players/jabari-laws-1.html,JR,QB,,Army,2020
Steven Migut,steven-migut-1,/cfb/players/steven-migut-1.html,SO,QB,,Army,2020
Tyson Riley,tyson-riley-1,/cfb/players/tyson-riley-1.html,FR,RB,"13 Att, 59 Yds, 4.5 Avg",Army,2020
Jakobi Buchanan,jakobi-buchanan-1,/cfb/players/jakobi-buchanan-1.html,SO,RB,"111 Att, 474 Yds, 4.3 Avg",Army,2020
Sandon McCoy,sandon-mccoy-1,/cfb/players/sandon-mccoy-1.html,SR,RB,"86 Att, 268 Yds, 3.1 Avg",Army,2020
Tyrell Robinson,tyrell-robinson-2,/cfb/players/tyrell-robinson-2.html,FR,RB,"60 Att, 424 Yds, 7.1 Avg",Army,2020
Anthony Adkins,anthony-adkins-1,/cfb/players/anthony-adkins-1.html,SO,RB,"51 Att, 302 Yds, 5.9 Avg",Army,2020
Cade Barnard,cade-barnard-1,/cfb/players/cade-barnard-1.html,JR,RB,"25 Att, 119 Yds, 4.8 Avg",Army,2020
Artice Hobbs IV,artice-hobbs-iv-1,/cfb/players/artice-hobbs-iv-1.html,SR,RB,"17 Att, 106 Yds, 6.2 Avg",Army,2020
AJ Howard Jr.,aj-howard-jr-1,/cfb/players/aj-howard-jr-1.html,JR,RB,"15 Att, 75 Yds, 5.0 Avg",Army,2020
Braheam Murphy,braheam-murphy-1,/cfb/players/braheam-murphy-1.html,SO,RB,"7 Att, 38 Yds, 5.4 Avg",Army,2020
Brandon Walters,brandon-walters-1,/cfb/players/brandon-walters-1.html,JR,RB,,Army,2020
Justin Lescouflair,justin-lescouflair-1,/cfb/players/justin-lescouflair-1.html,SO,RB,"1 Att, 4 Yds, 4.0 Avg",Army,2020
Markens Pierre,markens-pierre-1,/cfb/players/markens-pierre-1.html,JR,RB,,Army,2020
Trey Bartlett,trey-bartlett-1,/cfb/players/trey-bartlett-1.html,SO,RB,,Army,2020
Adam Bazan,adam-bazan-1,/cfb/players/adam-bazan-1.html,SO,RB,,Army,2020
Kaelin Byrd,kaelin-byrd-1,/cfb/players/kaelin-byrd-1.html,JR,RB,,Army,2020
Dominic Distefano,dominic-distefano-1,/cfb/players/dominic-distefano-1.html,SR,RB,,Army,2020
Colton Dooley,colton-dooley-1,/cfb/players/colton-dooley-1.html,SO,RB,,Army,2020
Cole Truex,cole-truex-1,/cfb/players/cole-truex-1.html,SO,RB,,Army,2020
Jordan Blackman,jordan-blackman-1,/cfb/players/jordan-blackman-1.html,SR,WR,,Army,2020
Reikan Donaldson,reikan-donaldson-1,/cfb/players/reikan-donaldson-1.html,SO,WR,"4 Rec, 57 Yds, 14.3 Avg",Army,2020
Michael Roberts,michael-roberts-5,/cfb/players/michael-roberts-5.html,JR,WR,"7 Rec, 106 Yds, 15.1 Avg",Army,2020
Cole Caterbone,cole-caterbone-1,/cfb/players/cole-caterbone-1.html,SO,WR,"3 Rec, 29 Yds, 9.7 Avg",Army,2020
Isaiah Alston,isaiah-alston-1,/cfb/players/isaiah-alston-1.html,FR,WR,"2 Rec, 47 Yds, 23.5 Avg",Army,2020
Camden Harrison,camden-harrison-1,/cfb/players/camden-harrison-1.html,SR,WR,"1 Rec, 53 Yds, 53.0 Avg",Army,2020
Veshe Daniyan,veshe-daniyan-1,/cfb/players/veshe-daniyan-1.html,SO,WR,,Army,2020
Zion Davis-Thompson,zion-davis-thompson-1,/cfb/players/zion-davis-thompson-1.html,SO,WR,,Army,2020
Sean Eckert,sean-eckert-1,/cfb/players/sean-eckert-1.html,JR,WR,,Army,2020
Trenton Hollinquest,trenton-hollinquest-1,/cfb/players/trenton-hollinquest-1.html,SO,WR,,Army,2020
Ryan Jackovic,ryan-jackovic-1,/cfb/players/ryan-jackovic-1.html,SO,WR,,Army,2020
Jalen Moy,jalen-moy-1,/cfb/players/jalen-moy-1.html,JR,WR,,Army,2020
Noah West,noah-west-2,/cfb/players/noah-west-2.html,SO,WR,,Army,2020
Cole Wright,cole-wright-2,/cfb/players/cole-wright-2.html,SO,WR,,Army,2020
Chris Cameron,chris-cameron-2,/cfb/players/chris-cameron-2.html,JR,TE,"3 Rec, 82 Yds, 27.3 Avg",Army,2020
Shayne Buckingham,shayne-buckingham-1,/cfb/players/shayne-buckingham-1.html,SO,TE,,Army,2020
Ben Koch,ben-koch-1,/cfb/players/ben-koch-1.html,SO,TE,,Army,2020
Jake Lauer,jake-lauer-1,/cfb/players/jake-lauer-1.html,SR,TE,,Army,2020
Michael Johnson,michael-johnson-17,/cfb/players/michael-johnson-17.html,SR,OL,,Army,2020
Sam Barczak,sam-barczak-1,/cfb/players/sam-barczak-1.html,SO,OL,,Army,2020
Connor Bishop,connor-bishop-1,/cfb/players/connor-bishop-1.html,SO,OL,,Army,2020
Alex Faulkner,alex-faulkner-1,/cfb/players/alex-faulkner-1.html,SO,OL,,Army,2020
Robert Fitzsimmons,robert-fitzsimmons-1,/cfb/players/robert-fitzsimmons-1.html,SO,OL,,Army,2020
DJ Fuller Jr.,dj-fuller-jr-1,/cfb/players/dj-fuller-jr-1.html,SO,OL,,Army,2020
Blake Harris,blake-harris-1,/cfb/players/blake-harris-1.html,SO,OL,,Army,2020
Cade Hawley,cade-hawley-1,/cfb/players/cade-hawley-1.html,SO,OL,,Army,2020
Kamaron Holloway,kamaron-holloway-1,/cfb/players/kamaron-holloway-1.html,JR,OL,,Army,2020
Lachlan Holt,lachlan-holt-1,/cfb/players/lachlan-holt-1.html,SO,OL,,Army,2020
JB Hunter IV,jb-hunter-iv-1,/cfb/players/jb-hunter-iv-1.html,SR,OL,,Army,2020
Noah Knapp,noah-knapp-1,/cfb/players/noah-knapp-1.html,JR,OL,,Army,2020
Mason Kolinchak,mason-kolinchak-1,/cfb/players/mason-kolinchak-1.html,JR,OL,,Army,2020
Nick Kotok,nick-kotok-1,/cfb/players/nick-kotok-1.html,JR,OL,,Army,2020
Kenese Leomiti,kenese-leomiti-1,/cfb/players/kenese-leomiti-1.html,SO,OL,,Army,2020
Dan Lord,dan-lord-1,/cfb/players/dan-lord-1.html,JR,OL,,Army,2020
Luke McCleery,luke-mccleery-1,/cfb/players/luke-mccleery-1.html,SR,OL,,Army,2020
Daniel Parrish,daniel-parrish-1,/cfb/players/daniel-parrish-1.html,SO,OL,,Army,2020
Dean Powell,dean-powell-1,/cfb/players/dean-powell-1.html,JR,OL,,Army,2020
Peyton Reeder,peyton-reeder-1,/cfb/players/peyton-reeder-1.html,SR,OL,,Army,2020
Carson Shaffer,carson-shaffer-1,/cfb/players/carson-shaffer-1.html,SO,OL,,Army,2020
Jose Taveras,jose-taveras-1,/cfb/players/jose-taveras-1.html,SO,OL,,Army,2020
Zack Ward,zack-ward-1,/cfb/players/zack-ward-1.html,JR,OL,,Army,2020
Cody Winokur,cody-winokur-1,/cfb/players/cody-winokur-1.html,SO,OL,,Army,2020
Landon Salyers,landon-salyers-1,/cfb/players/landon-salyers-1.html,SR,K,,Army,2020
Andrew Bagley,andrew-bagley-1,/cfb/players/andrew-bagley-1.html,SO,K,,Army,2020
Matteo Cordray,matteo-cordray-1,/cfb/players/matteo-cordray-1.html,SO,K,,Army,2020
Michael Leisle,michael-leisle-1,/cfb/players/michael-leisle-1.html,SR,K,,Army,2020
Cole Talley,cole-talley-1,/cfb/players/cole-talley-1.html,SO,K,,Army,2020
Will Van Pamelen,will-van-pamelen-1,/cfb/players/will-van-pamelen-1.html,SO,K,,Army,2020
Kwabena Bonsu,kwabena-bonsu-1,/cfb/players/kwabena-bonsu-1.html,JR,DL,,Army,2020
Nolan Cockrill,nolan-cockrill-1,/cfb/players/nolan-cockrill-1.html,JR,DL,,Army,2020
Ryan Duran III,ryan-duran-iii-1,/cfb/players/ryan-duran-iii-1.html,JR,DL,,Army,2020
Chris Frey,chris-frey-2,/cfb/players/chris-frey-2.html,SO,DL,,Army,2020
Jordan Funk,jordan-funk-1,/cfb/players/jordan-funk-1.html,FR,DL,,Army,2020
Jack Hough,jack-hough-1,/cfb/players/jack-hough-1.html,SR,DL,,Army,2020
Tyler Komorowski,tyler-komorowski-1,/cfb/players/tyler-komorowski-1.html,SO,DL,,Army,2020
Darius Richardson,darius-richardson-1,/cfb/players/darius-richardson-1.html,SO,DL,,Army,2020
Nick Stokes,nick-stokes-1,/cfb/players/nick-stokes-1.html,SR,DL,,Army,2020
Ryan Bryce,ryan-bryce-1,/cfb/players/ryan-bryce-1.html,FR,DL,,Army,2020
Reed Chandler,reed-chandler-1,/cfb/players/reed-chandler-1.html,SO,DL,,Army,2020
Grady Chapman,grady-chapman-1,/cfb/players/grady-chapman-1.html,SO,DL,,Army,2020
David Gray,david-gray-3,/cfb/players/david-gray-3.html,SO,DL,,Army,2020
Conor Hough,conor-hough-1,/cfb/players/conor-hough-1.html,SO,DL,,Army,2020
Edriece Patterson,edriece-patterson-1,/cfb/players/edriece-patterson-1.html,SR,DL,,Army,2020
Wilson Catoe,wilson-catoe-1,/cfb/players/wilson-catoe-1.html,JR,LB,,Army,2020
Arik Smith,arik-smith-1,/cfb/players/arik-smith-1.html,JR,LB,,Army,2020
Andre Carter II,andre-carter-ii-1,/cfb/players/andre-carter-ii-1.html,SO,LB,,Army,2020
Peyton Hampton,peyton-hampton-1,/cfb/players/peyton-hampton-1.html,SO,LB,,Army,2020
Keeron Henderson,keeron-henderson-1,/cfb/players/keeron-henderson-1.html,FR,LB,,Army,2020
Spencer Jones,spencer-jones-2,/cfb/players/spencer-jones-2.html,FR,LB,,Army,2020
Jeremiah Lowery,jeremiah-lowery-1,/cfb/players/jeremiah-lowery-1.html,SR,LB,,Army,2020
JT Penick,jt-penick-1,/cfb/players/jt-penick-1.html,SO,LB,,Army,2020
Jon Rhattigan,jon-rhattigan-1,/cfb/players/jon-rhattigan-1.html,SR,LB,,Army,2020
Nathaniel Smith,nathaniel-smith-1,/cfb/players/nathaniel-smith-1.html,SO,LB,,Army,2020
Joe Stephenson,joe-stephenson-1,/cfb/players/joe-stephenson-1.html,SR,LB,,Army,2020
Fabrice Voyne,fabrice-voyne-1,/cfb/players/fabrice-voyne-1.html,SO,LB,,Army,2020
Amadeo West,amadeo-west-1,/cfb/players/amadeo-west-1.html,SR,LB,,Army,2020
Kemonte Yow,kemonte-yow-1,/cfb/players/kemonte-yow-1.html,JR,LB,,Army,2020
Trevor Cosenke,trevor-cosenke-1,/cfb/players/trevor-cosenke-1.html,SO,LB,,Army,2020
Cameron Hoelscher,cameron-hoelscher-1,/cfb/players/cameron-hoelscher-1.html,SO,LB,,Army,2020
Henry Janeway,henry-janeway-1,/cfb/players/henry-janeway-1.html,SO,LB,,Army,2020
Nate Jones,nate-jones-7,/cfb/players/nate-jones-7.html,JR,LB,,Army,2020
Ay'Juan Marshall,ayjuan-marshall-1,/cfb/players/ayjuan-marshall-1.html,FR,DB,,Army,2020
Javhari Bourdeau,javhari-bourdeau-1,/cfb/players/javhari-bourdeau-1.html,SR,DB,,Army,2020
Marquel Broughton,marquel-broughton-1,/cfb/players/marquel-broughton-1.html,SO,DB,,Army,2020
Cedrick Cunningham Jr.,cedrick-cunningham-jr-1,/cfb/players/cedrick-cunningham-jr-1.html,JR,DB,,Army,2020
Quindrelin Hammonds,quindrelin-hammonds-1,/cfb/players/quindrelin-hammonds-1.html,SO,DB,,Army,2020
Caleb John,caleb-john-2,/cfb/players/caleb-john-2.html,JR,DB,,Army,2020
Cameron Jones,cameron-jones-6,/cfb/players/cameron-jones-6.html,SO,DB,,Army,2020
Cole Mabry,cole-mabry-2,/cfb/players/cole-mabry-2.html,SO,DB,,Army,2020
Daryan McDonald,daryan-mcdonald-1,/cfb/players/daryan-mcdonald-1.html,SO,DB,,Army,2020
Julian McDuffie,julian-mcduffle-1,/cfb/players/julian-mcduffle-1.html,JR,DB,,Army,2020
Jabari Moore,jabari-moore-2,/cfb/players/jabari-moore-2.html,SO,DB,,Army,2020
Isaiah Morris,isaiah-morris-1,/cfb/players/isaiah-morris-1.html,SO,DB,,Army,2020
Malkelm Morrison,malkelm-morrison-1,/cfb/players/malkelm-morrison-1.html,JR,DB,,Army,2020
Chris Skyers,chris-skyers-1,/cfb/players/chris-skyers-1.html,SR,DB,,Army,2020
D'andre Tobias,dandre-tobias-1,/cfb/players/dandre-tobias-1.html,SO,DB,,Army,2020
Izzy Akojie,izzy-akojie-1,/cfb/players/izzy-akojie-1.html,SO,DB,,Army,2020
Tim Boone,tim-boone-1,/cfb/players/tim-boone-1.html,SO,DB,,Army,2020
Elijah Boyd,elijah-boyd-1,/cfb/players/elijah-boyd-1.html,SO,DB,,Army,2020
Jason Longwell,jason-longwell-1,/cfb/players/jason-longwell-1.html,JR,DB,,Army,2020
Dean Ngendakuriyo,dean-ngendakuriyo-1,/cfb/players/dean-ngendakuriyo-1.html,SR,DB,,Army,2020
Kyle Terry,kyle-terry-1,/cfb/players/kyle-terry-1.html,SO,DB,,Army,2020
Ke'Shaun Wells,keshaun-wells-1,/cfb/players/keshaun-wells-1.html,SR,DB,,Army,2020
Zach Harding,zach-harding-1,/cfb/players/zach-harding-1.html,JR,P,,Army,2020
Brooks Hosea,brooks-hosea-1,/cfb/players/brooks-hosea-1.html,JR,P,,Army,2020
Jimmy Ciarlo,jimmy-ciarlo-1,/cfb/players/jimmy-ciarlo-1.html,FR,S,,Army,2020
Paul Lawless,paul-lawless-1,/cfb/players/paul-lawless-1.html,SR,LS,,Army,2020
Leo Lowin,leo-lowin-1,/cfb/players/leo-lowin-1.html,FR,S,,Army,2020
Quinn Maretzki,quinn-maretzki-1,/cfb/players/quinn-maretzki-1.html,FR,PK,,Army,2020
Kyle O'Connor,kyle-oconnor-2,/cfb/players/kyle-oconnor-2.html,SR,LS,,Army,2020
Ryan Aguilar,ryan-aguilar-1,/cfb/players/ryan-aguilar-1.html,SO,LS,,Army,2020
Clayton Cribb,clayton-cribb-1,/cfb/players/clayton-cribb-1.html,SO,LS,,Army,2020
Patrick Szczesniak,patrick-szczesniak-1,/cfb/players/patrick-szczesniak-1.html,SO,LS,,Army,2020
