Player,Player_ID,Player_Link,class,pos,summary,School,Year
Kadin Semonza,kadin-semonza-1,/cfb/players/kadin-semonza-1.html,FR,QB,"275 Cmp, 427 Att, 2904 Yds, 25 TD",Ball State,2024
Aiden Leffler,aiden-leffler-1,/cfb/players/aiden-leffler-1.html,SO,QB,"2 Cmp, 6 Att, 6 Yds, 0 TD",Ball State,2024
Colin Blazek,colin-blazek-1,/cfb/players/colin-blazek-1.html,SO,QB,,Ball State,2024
Bodie Derrer,bodie-derrer-1,/cfb/players/bodie-derrer-1.html,FR,QB,,Ball State,2024
Chase Harrison,chase-harrison-1,/cfb/players/chase-harrison-1.html,SO,QB,,Ball State,2024
Braedon Sloan,braedon-sloan-1,/cfb/players/braedon-sloan-1.html,SR,RB,"150 Att, 597 Yds, 4.0 Avg",Ball State,2024
Vaughn Pemberton,vaughn-pemberton-1,/cfb/players/vaughn-pemberton-1.html,JR,RB,"61 Att, 276 Yds, 4.5 Avg",Ball State,2024
TJ Horton,tj-horton-2,/cfb/players/tj-horton-2.html,FR,RB,"23 Att, 107 Yds, 4.7 Avg",Ball State,2024
Charlie Spegal,charlie-spegal-1,/cfb/players/charlie-spegal-1.html,JR,RB,"12 Att, 39 Yds, 3.3 Avg",Ball State,2024
Christian Davis,christian-davis-2,/cfb/players/christian-davis-2.html,FR,RB,"11 Att, 11 Yds, 1.0 Avg",Ball State,2024
Maximus Webster,maximus-webster-1,/cfb/players/maximus-webster-1.html,SO,RB,"1 Rec, 9 Yds, 9.0 Avg",Ball State,2024
Jalen Alexander,jalen-alexander-4,/cfb/players/jalen-alexander-4.html,FR,RB,,Ball State,2024
Ayden Ewing,ayden-ewing-1,/cfb/players/ayden-ewing-1.html,FR,RB,,Ball State,2024
Cody Mikulich,cody-mikulich-1,/cfb/players/cody-mikulich-1.html,FR,RB,,Ball State,2024
Cam Pickett,cam-pickett-1,/cfb/players/cam-pickett-1.html,SO,WR,"49 Rec, 528 Yds, 10.8 Avg",Ball State,2024
Malcolm Gillie,malcolm-gillie-1,/cfb/players/malcolm-gillie-1.html,SR,WR,"19 Rec, 267 Yds, 14.1 Avg",Ball State,2024
Isaiah Thacker,isaiah-thacker-1,/cfb/players/isaiah-thacker-1.html,FR,WR,,Ball State,2024
Qian Magwood,qian-magwood-2,/cfb/players/qian-magwood-2.html,JR,WR,"23 Rec, 207 Yds, 9.0 Avg",Ball State,2024
Justin Bowick,justin-bowick-1,/cfb/players/justin-bowick-1.html,JR,WR,"20 Rec, 383 Yds, 19.2 Avg",Ball State,2024
Dahya Patel,dahya-patel-1,/cfb/players/dahya-patel-1.html,SO,WR,"7 Rec, 120 Yds, 17.1 Avg",Ball State,2024
Ty Robinson,ty-robinson-2,/cfb/players/ty-robinson-2.html,JR,WR,"5 Rec, 69 Yds, 13.8 Avg",Ball State,2024
Jamarion McDougle,jamarion-mcdougle-1,/cfb/players/jamarion-mcdougle-1.html,SO,WR,"3 Rec, 47 Yds, 15.7 Avg",Ball State,2024
Nick Munson,nick-munson-1,/cfb/players/nick-munson-1.html,SO,WR,"2 Rec, 12 Yds, 6.0 Avg",Ball State,2024
Nick Presley,nick-presley-1,/cfb/players/nick-presley-1.html,JR,WR,"1 Rec, 6 Yds, 6.0 Avg",Ball State,2024
Ty Curran,ty-curran-1,/cfb/players/ty-curran-1.html,FR,WR,,Ball State,2024
Trey Firestone,trey-firestone-1,/cfb/players/trey-firestone-1.html,SO,WR,,Ball State,2024
Eli Hohlt,eli-hohlt-1,/cfb/players/eli-hohlt-1.html,FR,WR,,Ball State,2024
R.J. Mukes III,rj-mukes-iii-1,/cfb/players/rj-mukes-iii-1.html,SO,WR,,Ball State,2024
Carson Neu,carson-neu-1,/cfb/players/carson-neu-1.html,FR,WR,,Ball State,2024
Tanner Koziol,tanner-koziol-1,/cfb/players/tanner-koziol-1.html,JR,TE,"94 Rec, 839 Yds, 8.9 Avg",Ball State,2024
Christian Abney,christian-abney-1,/cfb/players/christian-abney-1.html,SO,TE,"5 Rec, 50 Yds, 10.0 Avg",Ball State,2024
Tyce Ferrell,tyce-ferrell-1,/cfb/players/tyce-ferrell-1.html,SR,TE,"2 Rec, 5 Yds, 2.5 Avg",Ball State,2024
Leo Collins,leo-collins-1,/cfb/players/leo-collins-1.html,FR,TE,,Ball State,2024
