Player,Player_ID,Player_Link,class,pos,summary,School,Year
Seth Russell,seth-russell-1,/cfb/players/seth-russell-1.html,SR,QB,"152 Cmp, 278 Att, 2126 Yds, 20 TD",Baylor,2016
Zach Smith,zach-smith-6,/cfb/players/zach-smith-6.html,FR,QB,"116 Cmp, 196 Att, 1526 Yds, 13 TD",Baylor,2016
Preston Heard,preston-heard-1,/cfb/players/preston-heard-1.html,FR,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",Baylor,2016
Zack Bennema,zack-bennema-1,/cfb/players/zack-bennema-1.html,FR,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",Baylor,2016
Terence Williams,terence-williams-2,/cfb/players/terence-williams-2.html,SO,RB,"185 Att, 1048 Yds, 5.7 Avg",Baylor,2016
Shock Linwood,shock-linwood-1,/cfb/players/shock-linwood-1.html,SR,RB,"138 Att, 751 Yds, 5.4 Avg",Baylor,2016
JaMycal Hasty,jamycal-hasty-1,/cfb/players/jamycal-hasty-1.html,FR,RB,"119 Att, 623 Yds, 5.2 Avg",Baylor,2016
Wyatt Schrepfer,wyatt-schrepfer-1,/cfb/players/wyatt-schrepfer-1.html,JR,RB,"32 Att, 111 Yds, 3.5 Avg",Baylor,2016
Dwyer Bucey,dwyer-bucey-1,/cfb/players/dwyer-bucey-1.html,FR,RB,"3 Att, 4 Yds, 1.3 Avg",Baylor,2016
Blake Lynch,blake-lynch-1,/cfb/players/blake-lynch-1.html,FR,WR,"34 Rec, 404 Yds, 11.9 Avg",Baylor,2016
Ishmael Zamora,ishmael-zamora-1,/cfb/players/ishmael-zamora-1.html,SO,WR,"63 Rec, 809 Yds, 12.8 Avg",Baylor,2016
Lynx Hawthorne,lynx-hawthorne-1,/cfb/players/lynx-hawthorne-1.html,SR,WR,"6 Rec, 106 Yds, 17.7 Avg",Baylor,2016
Chris Platt,chris-platt-1,/cfb/players/chris-platt-1.html,SO,WR,"35 Rec, 567 Yds, 16.2 Avg",Baylor,2016
Jared Atkinson,jared-atkinson-1,/cfb/players/jared-atkinson-1.html,FR,WR,"4 Rec, 44 Yds, 11.0 Avg",Baylor,2016
Tony Nicholson,tony-nicholson-1,/cfb/players/tony-nicholson-1.html,FR,WR,,Baylor,2016
K.D. Cannon,kd-cannon-1,/cfb/players/kd-cannon-1.html,JR,WR,"87 Rec, 1215 Yds, 14.0 Avg",Baylor,2016
Pooh Stricklin,pooh-stricklin-1,/cfb/players/pooh-stricklin-1.html,FR,WR,"13 Rec, 226 Yds, 17.4 Avg",Baylor,2016
Quan Jones,quan-jones-1,/cfb/players/quan-jones-1.html,JR,WR,"5 Rec, 56 Yds, 11.2 Avg",Baylor,2016
Denzel Mims,denzel-mims-1,/cfb/players/denzel-mims-1.html,FR,WR,"4 Rec, 24 Yds, 6.0 Avg",Baylor,2016
Kaleb Moore,kaleb-moore-1,/cfb/players/kaleb-moore-1.html,SR,WR,,Baylor,2016
Trevor White,trevor-white-2,/cfb/players/trevor-white-2.html,SO,WR,,Baylor,2016
Jordan Feuerbacher,jordan-feurbacher-1,/cfb/players/jordan-feurbacher-1.html,JR,TE,"7 Rec, 104 Yds, 14.9 Avg",Baylor,2016
Sam Tecklenburg,sam-tecklenburg-1,/cfb/players/sam-tecklenburg-1.html,FR,TE,"3 Rec, 40 Yds, 13.3 Avg",Baylor,2016
Blake Blackmar,blake-blackmar-1,/cfb/players/blake-blackmar-1.html,SO,OL,,Baylor,2016
Dom Desouza,dom-desouza-1,/cfb/players/dom-desouza-1.html,JR,OL,,Baylor,2016
Tanner Thrift,tanner-thrift-1,/cfb/players/tanner-thrift-1.html,JR,OL,,Baylor,2016
Ira Lewis,ira-lewis-1,/cfb/players/ira-lewis-1.html,SO,DL,,Baylor,2016
Thomas Cletcher,thomas-cletcher-1,/cfb/players/thomas-cletcher-1.html,SO,LB,,Baylor,2016
Raaquan Davis,raaquan-davis-1,/cfb/players/raaquan-davis-1.html,JR,LB,,Baylor,2016
Aiavion Edwards,aiavion-edwards-1,/cfb/players/aiavion-edwards-1.html,SR,LB,,Baylor,2016
Clay Johnston,clay-johnston-1,/cfb/players/clay-johnston-1.html,FR,LB,,Baylor,2016
Lenoy Jones Jr.,lenoy-jones-jr-1,/cfb/players/lenoy-jones-jr-1.html,FR,LB,,Baylor,2016
Jordan Williams,jordan-williams-6,/cfb/players/jordan-williams-6.html,FR,LB,,Baylor,2016
Taylor Young,taylor-young-1,/cfb/players/taylor-young-1.html,JR,LB,,Baylor,2016
Travon Blanchard,travon-blanchard-1,/cfb/players/travon-blanchard-1.html,JR,DB,,Baylor,2016
Taylor Jaynes,taylor-jaynes-1,/cfb/players/taylor-jaynes-1.html,JR,DB,,Baylor,2016
Patrick Levels,patrick-levels-1,/cfb/players/patrick-levels-1.html,SR,DB,,Baylor,2016
Eric Ogor,eric-ogor-1,/cfb/players/eric-ogor-1.html,FR,DB,,Baylor,2016
Grayland Arnold,grayland-arnold-1,/cfb/players/grayland-arnold-1.html,FR,CB,,Baylor,2016
Henry Black,henry-black-1,/cfb/players/henry-black-1.html,FR,S,,Baylor,2016
Chris Callahan,chris-callahan-3,/cfb/players/chris-callahan-3.html,JR,PK,,Baylor,2016
Drew Galitz,drew-galitz-1,/cfb/players/drew-galitz-1.html,SO,PK,,Baylor,2016
Cody George,cody-george-1,/cfb/players/cody-george-1.html,FR,DT,,Baylor,2016
Davion Hall,davion-hall-1,/cfb/players/davion-hall-1.html,JR,S,,Baylor,2016
Jameson Houston,jameson-houston-1,/cfb/players/jameson-houston-1.html,FR,CB,,Baylor,2016
Tyrone Hunt,tyrone-hunt-1,/cfb/players/tyrone-hunt-1.html,FR,DE,,Baylor,2016
Jamie Jacobs,jamie-jacobs-1,/cfb/players/jamie-jacobs-1.html,SO,DE,,Baylor,2016
Micheal Johnson,micheal-johnson-1,/cfb/players/micheal-johnson-1.html,FR,DT,,Baylor,2016
Xavier Jones,xavier-jones-1,/cfb/players/xavier-jones-1.html,SO,DE,,Baylor,2016
Connor Martin,connor-martin-1,/cfb/players/connor-martin-1.html,FR,PK,,Baylor,2016
Ross Matiscik,ross-matiscik-1,/cfb/players/ross-matiscik-1.html,FR,LS,,Baylor,2016
Chris Miller,chris-miller-11,/cfb/players/chris-miller-11.html,FR,S,,Baylor,2016
Rajah Preciado,rajah-preciado-1,/cfb/players/rajah-preciado-1.html,FR,S,,Baylor,2016
Ryan Reid,ryan-reid-1,/cfb/players/ryan-reid-1.html,SR,CB,,Baylor,2016
Greg Roberts,greg-roberts-2,/cfb/players/greg-roberts-2.html,SO,DE,,Baylor,2016
Bravvion Roy,bravvion-roy-1,/cfb/players/bravvion-roy-1.html,FR,DT,,Baylor,2016
K.J. Smith,kj-smith-1,/cfb/players/kj-smith-1.html,JR,DE,,Baylor,2016
Orion Stewart,orion-stewart-1,/cfb/players/orion-stewart-1.html,SR,S,,Baylor,2016
Jordan Tolbert,jordan-tolbert-1,/cfb/players/jordan-tolbert-1.html,FR,CB,,Baylor,2016
Verkedric Vaughns,verkedric-vaughns-1,/cfb/players/verkedric-vaughns-1.html,SO,CB,,Baylor,2016
Chance Waz,chance-waz-1,/cfb/players/chance-waz-1.html,JR,S,,Baylor,2016
Peter Webster,peter-webster-1,/cfb/players/peter-webster-1.html,FR,PK,,Baylor,2016
Tion Wright,tion-wright-1,/cfb/players/tion-wright-1.html,SR,CB,,Baylor,2016
