Player,Player_ID,Player_Link,class,pos,summary,School,Year
Brett Rypien,brett-rypien-1,/cfb/players/brett-rypien-1.html,SR,QB,"301 Cmp, 447 Att, 3705 Yds, 30 TD",Boise State,2018
Chase Cord,chase-cord-1,/cfb/players/chase-cord-1.html,FR,QB,"6 Cmp, 9 Att, 67 Yds, 1 TD",Boise State,2018
Jaylon Henderson,jaylon-henderson-2,/cfb/players/jaylon-henderson-2.html,JR,QB,"1 Cmp, 1 Att, 14 Yds, 0 TD",Boise State,2018
Zach Matlock,zach-matlock-1,/cfb/players/zach-matlock-1.html,FR,QB,,Boise State,2018
Riley Smith,riley-smith-2,/cfb/players/riley-smith-2.html,FR,QB,,Boise State,2018
Alexander Mattison,alexander-mattison-1,/cfb/players/alexander-mattison-1.html,JR,RB,"302 Att, 1415 Yds, 4.7 Avg",Boise State,2018
Andrew Van Buren,andrew-van-buren-1,/cfb/players/andrew-van-buren-1.html,FR,RB,"34 Att, 163 Yds, 4.8 Avg",Boise State,2018
Robert Mahone,robert-mahone-1,/cfb/players/robert-mahone-1.html,SO,RB,"32 Att, 128 Yds, 4.0 Avg",Boise State,2018
Skyler Seibold,skylar-seibold-1,/cfb/players/skylar-seibold-1.html,SR,RB,"8 Att, 38 Yds, 4.8 Avg",Boise State,2018
Jake Shaddox,jake-shaddox-1,/cfb/players/jake-shaddox-1.html,JR,RB,,Boise State,2018
Spencer Keene,spencer-keene-1,/cfb/players/spencer-keene-1.html,FR,RB,,Boise State,2018
Danny Smith,danny-smith-5,/cfb/players/danny-smith-5.html,FR,RB,,Boise State,2018
Khalil Shakir,khalil-shakir-1,/cfb/players/khalil-shakir-1.html,FR,WR,"16 Rec, 170 Yds, 10.6 Avg",Boise State,2018
CT Thomas,ct-thomas-1,/cfb/players/ct-thomas-1.html,SO,WR,"41 Rec, 535 Yds, 13.0 Avg",Boise State,2018
John Hightower,john-hightower-1,/cfb/players/john-hightower-1.html,JR,WR,"31 Rec, 504 Yds, 16.3 Avg",Boise State,2018
Billy Bowens,billy-bowens-1,/cfb/players/billy-bowens-1.html,FR,WR,,Boise State,2018
Sean Modster,sean-modster-1,/cfb/players/sean-modster-1.html,SR,WR,"68 Rec, 978 Yds, 14.4 Avg",Boise State,2018
A.J. Richardson,aj-richardson-1,/cfb/players/aj-richardson-1.html,SR,WR,"54 Rec, 825 Yds, 15.3 Avg",Boise State,2018
Akilian Butler,akilian-butler-1,/cfb/players/akilian-butler-1.html,JR,WR,"25 Rec, 204 Yds, 8.2 Avg",Boise State,2018
Octavius Evans,octavius-evans-1,/cfb/players/octavius-evans-1.html,SO,WR,"2 Rec, 12 Yds, 6.0 Avg",Boise State,2018
Christian Blaser,christian-blaser-1,/cfb/players/christian-blaser-1.html,SO,WR,,Boise State,2018
Stefan Cobbs,stefan-cobbs-1,/cfb/players/stefan-cobbs-1.html,FR,WR,,Boise State,2018
Damon Cole,damon-cole-1,/cfb/players/damon-cole-1.html,FR,WR,,Boise State,2018
MacLaine Griffin,maclaine-griffin-1,/cfb/players/maclaine-griffin-1.html,FR,WR,,Boise State,2018
Connor Riddle,connor-riddle-1,/cfb/players/connor-riddle-1.html,FR,WR,,Boise State,2018
Garrett Collingham,garrett-collingham-1,/cfb/players/garrett-collingham-1.html,JR,TE,"5 Rec, 58 Yds, 11.6 Avg",Boise State,2018
Chase Blakley,chase-blakley-1,/cfb/players/chase-blakley-1.html,SR,TE,"17 Rec, 89 Yds, 5.2 Avg",Boise State,2018
John Bates,john-bates-1,/cfb/players/john-bates-1.html,SO,TE,"10 Rec, 155 Yds, 15.5 Avg",Boise State,2018
Matt Pistone,matt-pistone-1,/cfb/players/matt-pistone-1.html,JR,TE,"1 Rec, 4 Yds, 4.0 Avg",Boise State,2018
Daniel Cantrell,daniel-cantrell-1,/cfb/players/daniel-cantrell-1.html,FR,TE,,Boise State,2018
Kaden Deluna,kaden-deluna-1,/cfb/players/kaden-deluna-1.html,FR,TE,,Boise State,2018
Tyneil Hopper,tyneil-hopper-1,/cfb/players/tyneil-hopper-1.html,FR,TE,,Boise State,2018
Cole Ramseyer,cole-ramseyer-2,/cfb/players/cole-ramseyer-2.html,FR,TE,,Boise State,2018
Cody Shoemaker,cody-shoemaker-1,/cfb/players/cody-shoemaker-1.html,JR,TE,,Boise State,2018
Ezra Cleveland,ezra-cleveland-1,/cfb/players/ezra-cleveland-1.html,SO,OL,,Boise State,2018
John Molchon,john-molchon-1,/cfb/players/john-molchon-1.html,JR,OL,,Boise State,2018
Kole Bailey,kole-bailey-1,/cfb/players/kole-bailey-1.html,SO,OL,,Boise State,2018
